holdout,top_k,feature_index,feature_name,selection_count,mean_rank,mean_score
chrono_late_train_early_eval,32,211,source_rich_211,10,22.0,1.3692173957824707
chrono_late_train_early_eval,32,66,HpHp_5_mean_0,10,23.0,1.3422678709030151
chrono_late_train_early_eval,32,72,HpHp_3_weight_0,10,24.0,1.229843258857727
chrono_late_train_early_eval,32,59,HH_jit_0.1_weight,10,25.0,1.216599941253662
chrono_late_train_early_eval,32,99,HpHp_0.01_pcc_0_1,10,26.0,1.2046146392822266
chrono_late_train_early_eval,32,98,HpHp_0.01_covariance_0_1,10,27.0,1.1693671941757202
chrono_late_train_early_eval,32,29,HH_1_weight_0,10,28.0,1.1538958549499512
chrono_late_train_early_eval,32,170,source_rich_170,10,29.0,1.1505002975463867
chrono_late_train_early_eval,32,177,source_rich_177,10,30.0,1.1249217987060547
chrono_late_train_early_eval,32,104,source_rich_104,10,31.0,1.1223334074020386
chrono_late_train_early_eval,32,93,HpHp_0.01_weight_0,10,32.0,1.0152970552444458
holdout_bin_2,16,40,HH_0.1_magnitude_0_1,10,1.0,2.900515079498291
holdout_bin_2,16,118,source_rich_118,10,2.0,2.654550075531006
holdout_bin_2,16,237,source_rich_237,10,3.0,2.4302754402160645
holdout_bin_2,16,42,HH_0.1_pcc_0_1,10,4.0,2.194352388381958
holdout_bin_2,16,235,source_rich_235,10,5.0,1.9925494194030762
holdout_bin_2,16,86,HpHp_0.1_weight_0,10,6.0,1.8641620874404907
holdout_bin_2,16,52,HH_jit_5_std,10,7.0,1.8468408584594727
holdout_bin_2,16,151,source_rich_151,10,8.0,1.7044157981872559
holdout_bin_2,16,224,source_rich_224,10,9.0,1.640311360359192
holdout_bin_2,16,55,HH_jit_3_std,10,10.0,1.638169765472412
holdout_bin_2,16,164,source_rich_164,10,11.0,1.5474311113357544
holdout_bin_2,16,182,source_rich_182,10,12.0,1.5400023460388184
holdout_bin_2,16,27,HH_3_covariance_0_1,10,13.0,1.5379981994628906
holdout_bin_2,16,251,source_rich_251,10,14.0,1.4009045362472534
holdout_bin_2,16,223,source_rich_223,10,15.0,1.3712271451950073
holdout_bin_2,16,211,source_rich_211,10,16.0,1.3367494344711304
holdout_bin_2,32,40,HH_0.1_magnitude_0_1,10,1.0,2.900515079498291
holdout_bin_2,32,118,source_rich_118,10,2.0,2.654550075531006
holdout_bin_2,32,237,source_rich_237,10,3.0,2.4302754402160645
holdout_bin_2,32,42,HH_0.1_pcc_0_1,10,4.0,2.194352388381958
holdout_bin_2,32,235,source_rich_235,10,5.0,1.9925494194030762
holdout_bin_2,32,86,HpHp_0.1_weight_0,10,6.0,1.8641620874404907
holdout_bin_2,32,52,HH_jit_5_std,10,7.0,1.8468408584594727
holdout_bin_2,32,151,source_rich_151,10,8.0,1.7044157981872559
holdout_bin_2,32,224,source_rich_224,10,9.0,1.640311360359192
holdout_bin_2,32,55,HH_jit_3_std,10,10.0,1.638169765472412
holdout_bin_2,32,164,source_rich_164,10,11.0,1.5474311113357544
holdout_bin_2,32,182,source_rich_182,10,12.0,1.5400023460388184
holdout_bin_2,32,27,HH_3_covariance_0_1,10,13.0,1.5379981994628906
holdout_bin_2,32,251,source_rich_251,10,14.0,1.4009045362472534
holdout_bin_2,32,223,source_rich_223,10,15.0,1.3712271451950073
holdout_bin_2,32,211,source_rich_211,10,16.0,1.3367494344711304
holdout_bin_2,32,169,source_rich_169,10,17.0,1.3231991529464722
holdout_bin_2,32,34,HH_1_covariance_0_1,10,18.0,1.2958428859710693
holdout_bin_2,32,1,MI_dir_5_mean,10,19.0,1.251271367073059
holdout_bin_2,32,236,source_rich_236,10,20.0,1.2481238842010498
holdout_bin_2,32,39,HH_0.1_radius_0_1,10,21.0,1.2122951745986938
holdout_bin_2,32,29,HH_1_weight_0,10,22.0,1.15974760055542
holdout_bin_2,32,38,HH_0.1_std_0,10,23.0,1.157321810722351
holdout_bin_2,32,242,source_rich_242,10,24.0,1.1073009967803955
holdout_bin_2,32,176,source_rich_176,10,25.0,1.1001116037368774
holdout_bin_2,32,131,source_rich_131,10,26.0,1.0888551473617554
holdout_bin_2,32,47,HH_0.01_magnitude_0_1,10,27.0,1.0675607919692993
holdout_bin_2,32,7,MI_dir_1_mean,10,28.0,1.0663036108016968
holdout_bin_2,32,93,HpHp_0.01_weight_0,10,29.0,1.0461469888687134
holdout_bin_2,32,33,HH_1_magnitude_0_1,10,30.0,1.035825490951538
holdout_bin_2,32,170,source_rich_170,10,31.0,0.9950630068778992
holdout_bin_2,32,124,source_rich_124,10,32.0,0.8971298336982727
