holdout,method,method_group,seed,seed_group,support_method,representation,adapter,positive_budget,ood_target_label,attack_high_detection,ood_high_alarm,feasible,threshold,roc_auc,pr_auc,attack_eval_size,ood_eval_size,feature_dim,selected_feature_count,margin_weight,hard_negative_count,parameter_count,train_time,inference_time,result_source
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,46,main_42_46,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2485163204747774,0.0013,True,-3.5973359498042603,0.3331644658753709,0.3207161317463834,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,47,heldout_47_51,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2351632047477744,0.0014,True,-3.595493096572455,0.3143342729970326,0.3003430634212453,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,48,heldout_47_51,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.1995548961424332,0.0018,True,-3.303419058307803,0.256802002967359,0.2563585226058809,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,49,heldout_47_51,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2032640949554896,0.0017,True,-3.402039584608567,0.25668353115727,0.2571408100960436,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,50,heldout_47_51,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2277448071216617,0.0012,True,-3.565606192773382,0.3041067507418397,0.2950945630524118,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,51,heldout_47_51,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2477744807121661,0.0013,True,-3.5180060297341864,0.3372521513353115,0.3283268070166927,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,B_representation_repair,42,main_42_46,kcenter_32shot,selected_source_rich_top16,fixed_guard_lr,32,1pct,0.6637478108581436,0.0031,True,4.9014033985759395,0.972716783420899,0.9431026292181941,3426,10000,16,16,,0,17,0.10556979989632964,0.007040099939331412,issue19_repair_pilot
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,B_representation_repair,42,main_42_46,kcenter_32shot,original100_plus_selected_source_rich_top16,fixed_guard_lr,32,1pct,0.6970227670753065,0.0022,True,-3.5172054434501785,0.7218333917104496,0.7778023619182223,3426,10000,116,16,,0,117,1.2311296998523176,0.04525610012933612,issue19_repair_pilot
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,B_representation_repair,42,main_42_46,kcenter_32shot,selected_source_rich_top32,fixed_guard_lr,32,1pct,0.7314652656158785,0.0097,True,-0.46364417869220853,0.9806204028021016,0.9612652574285201,3426,10000,32,32,,0,33,0.28416729997843504,0.01459829998202622,issue19_repair_pilot
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,B_representation_repair,42,main_42_46,kcenter_32shot,original100_plus_selected_source_rich_top32,fixed_guard_lr,32,1pct,0.7019848219497957,0.0037,True,-4.508795654769984,0.7249630472854641,0.7800878528900268,3426,10000,132,32,,0,133,1.472268900135532,0.05188159993849695,issue19_repair_pilot
