holdout,method,seed,hard_negative_source,hard_negative_count,hard_tail_fraction,margin_weight,uses_final_ood_eval,uses_attack_eval
chrono_late_train_early_eval,original100_margin_hardneg_w8,44,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,44,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,45,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,45,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,45,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,45,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,45,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,45,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,45,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,45,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,45,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,45,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,46,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,46,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,46,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,46,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,46,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,46,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,46,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,46,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,46,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,46,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,47,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,47,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,47,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,47,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,47,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,47,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,47,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,47,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,47,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,47,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,48,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,48,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,48,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,48,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,48,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,48,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,48,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,48,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,48,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,48,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,49,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,49,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,49,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,49,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,49,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,49,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,49,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,49,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,49,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,49,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,50,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,50,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,50,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,50,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,50,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,50,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,50,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,50,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,50,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,50,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,selected_source_rich_top16_fixed_guard_lr,51,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top16_fixed_guard_lr,51,not_applicable,0,,,False,False
chrono_late_train_early_eval,selected_source_rich_top32_fixed_guard_lr,51,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_fixed_guard_lr,51,not_applicable,0,,,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w2,51,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w2,51,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w4,51,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w4,51,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
chrono_late_train_early_eval,original100_margin_hardneg_w8,51,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
chrono_late_train_early_eval,original100_plus_selected_source_rich_top32_margin_hardneg_w8,51,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,42,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,42,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,42,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,42,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,42,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,42,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,42,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,42,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,42,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,42,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,43,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,43,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,43,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,43,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,43,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,43,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,43,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,43,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,43,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,43,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,44,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,44,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,44,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,44,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,44,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,44,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,44,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,44,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,44,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,44,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,45,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,45,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,45,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,45,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,45,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,45,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,45,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,45,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,45,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,45,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,46,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,46,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,46,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,46,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,46,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,46,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,46,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,46,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,46,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,46,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,47,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,47,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,47,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,47,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,47,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,47,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,47,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,47,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,47,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,47,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,48,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,48,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,48,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,48,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,48,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,48,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,48,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,48,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,48,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,48,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,49,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,49,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,49,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,49,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,49,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,49,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,49,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,49,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,49,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,49,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,50,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,50,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,50,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,50,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,50,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,50,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,50,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,50,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,50,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,50,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,51,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,51,not_applicable,0,,,False,False
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,51,not_applicable,0,,,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,51,not_applicable,0,,,False,False
holdout_bin_2,original100_margin_hardneg_w2,51,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w2,51,ood_validation_top_5pct_by_base_model_score,100,0.05,2.0,False,False
holdout_bin_2,original100_margin_hardneg_w4,51,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w4,51,ood_validation_top_5pct_by_base_model_score,100,0.05,4.0,False,False
holdout_bin_2,original100_margin_hardneg_w8,51,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
holdout_bin_2,original100_plus_selected_source_rich_top32_margin_hardneg_w8,51,ood_validation_top_5pct_by_base_model_score,100,0.05,8.0,False,False
