device_key,arm,budget_type,budget,calibration_sessions,calibration_records,q_raw,requested_delta,accepted_delta,threshold,status
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-S64,SESSION,64,64,191,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-S128,SESSION,128,128,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-R100,RECORD,100,47,90,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-R500,RECORD,500,128,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,Q-R1000,RECORD,1000,128,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-S64,SESSION,64,64,149,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-S128,SESSION,128,128,270,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-R100,RECORD,100,50,93,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-R500,RECORD,500,130,286,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,Q-R1000,RECORD,1000,130,286,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-S64,SESSION,64,64,112,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-S128,SESSION,128,128,210,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-R100,RECORD,100,56,90,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-R500,RECORD,500,185,294,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,Q-R1000,RECORD,1000,185,294,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-S64,SESSION,64,64,113,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-S128,SESSION,128,128,208,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-R100,RECORD,100,57,90,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-R500,RECORD,500,187,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,Q-R1000,RECORD,1000,187,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-S64,SESSION,64,64,113,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-S128,SESSION,128,128,210,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-R100,RECORD,100,57,92,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-R500,RECORD,500,187,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,Q-R1000,RECORD,1000,187,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-S64,SESSION,64,64,115,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-S128,SESSION,128,128,210,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-R100,RECORD,100,55,99,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-R500,RECORD,500,187,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,Q-R1000,RECORD,1000,187,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
normal_1.pcap,Q-S64,SESSION,64,64,179,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Q-S128,SESSION,128,128,243,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Q-S256,SESSION,256,256,371,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Q-R100,RECORD,100,16,16,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Q-R500,RECORD,500,384,500,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_1.pcap,Q-R1000,RECORD,1000,884,1000,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
normal_2.pcap,Q-S64,SESSION,64,64,64,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Q-S128,SESSION,128,128,128,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Q-S256,SESSION,256,256,256,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Q-R100,RECORD,100,100,100,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Q-R500,RECORD,500,500,500,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
normal_2.pcap,Q-R1000,RECORD,1000,1000,1000,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
processed/iotsim-building-monitor-2.csv,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
processed/iotsim-building-monitor-2.csv,Q-S64,SESSION,64,64,139,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
processed/iotsim-building-monitor-2.csv,Q-S128,SESSION,128,128,286,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
processed/iotsim-building-monitor-2.csv,Q-S256,SESSION,256,256,568,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
processed/iotsim-building-monitor-2.csv,Q-R100,RECORD,100,43,97,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
