feature_index,feature_name,family,lambda,stat_type,restoration_source,model_input_status
101,HpHp_0.1_weight_0,HpHp,0.1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
102,HpHp_0.1_mean_0,HpHp,0.1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
103,HpHp_0.1_std_0,HpHp,0.1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
104,HpHp_0.1_radius_0_1,HpHp,0.1,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
105,HpHp_0.1_magnitude_0_1,HpHp,0.1,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
106,HpHp_0.1_covariance_0_1,HpHp,0.1,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
107,HpHp_0.1_pcc_0_1,HpHp,0.1,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
108,HpHp_0.01_weight_0,HpHp,0.01,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
109,HpHp_0.01_mean_0,HpHp,0.01,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
110,HpHp_0.01_std_0,HpHp,0.01,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
111,HpHp_0.01_radius_0_1,HpHp,0.01,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
112,HpHp_0.01_magnitude_0_1,HpHp,0.01,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
113,HpHp_0.01_covariance_0_1,HpHp,0.01,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
114,HpHp_0.01_pcc_0_1,HpHp,0.01,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
