method,representation,guard_type,input_mode,positive_budget,seed,seed_group,ood_negative_weight,threshold_policy,threshold,id_calib_alarm_at_selection,ood_val_alarm_at_selection,threshold_selection_feasible,roc_auc,pr_auc,final_ood_alarm,attack_detection,feasible,attack_eval_size,final_ood_eval_size,hidden_dim,pooling_type,checkpoint_id,train_time_seconds,inference_time_seconds,parameter_count,feature_dim
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-0.05776176810918496,0.0002,0.01,True,0.6165681454545455,0.5432292629302055,0.0166,0.509090909090909,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.052775399992242455,0.0035899998620152473,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,2.1276557608486932,0.0,0.01,True,0.5988915636363636,0.5192745449730324,0.0094,0.43272727272727274,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.045912900008261204,0.0030376999638974667,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,0.24308616331892635,0.0002,0.01,True,0.6036819636363635,0.5325332611836653,0.0163,0.5047272727272727,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.0380390000063926,0.0034443000331521034,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,0.5469689596834519,0.0002,0.01,True,0.6078622545454545,0.5348577524686263,0.0167,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.05125869996845722,0.004144599894061685,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-0.12736594778056068,0.0002,0.01,True,0.6045395636363635,0.5311914921193036,0.0161,0.49963636363636366,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.06360829994082451,0.0033542998135089874,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-0.3173862983393657,0.0008,0.0095,True,0.8426333818181819,0.6247762901497735,0.0154,0.5069090909090909,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.044706600019708276,0.0035088001750409603,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,0.005422969250141509,0.0,0.01,True,0.6221496,0.5467739647902047,0.0164,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.03992059989832342,0.003643800038844347,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,0.2891201203305571,0.0,0.01,True,0.6208980363636363,0.5455697701989508,0.0165,0.5061818181818182,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04765720013529062,0.003611199790611863,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-0.2704573192554968,0.0002,0.01,True,0.6297571636363637,0.5528043994946371,0.0165,0.5076363636363637,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.042635499965399504,0.003740300191566348,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,0.09582060864740574,0.0002,0.01,True,0.6259116363636363,0.549341906575684,0.0168,0.509090909090909,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.07042600004933774,0.003913799999281764,17,16
