feature_index,center_median,iqr,std,scale,scale_source
98,182.23895263671875,28.13714599609375,29.883551502687684,28.13714599609375,iqr
99,-0.006535711465403438,3.097305378222927,43.65303142864519,3.097305378222927,iqr
100,-0.10832935944199562,0.48029483057325706,0.285796049864782,0.48029483057325706,iqr
101,30.81908130645752,6277.628206729889,7273.174775985439,6277.628206729889,iqr
102,70.0,119.8439884185791,56.23797376590761,119.8439884185791,iqr
103,22.222387313842773,311.5647504311055,251.5374208221268,311.5647504311055,iqr
104,308.73828125,346.42556381225586,252.72127134189128,346.42556381225586,iqr
105,197.8497314453125,27.490692138671875,29.03580688359985,27.490692138671875,iqr
106,-8.129185199737549,38.561327427625656,35.52609465496919,38.561327427625656,iqr
107,-0.5389948189258575,0.2983709126710892,0.2658047224378375,0.2983709126710892,iqr
108,288.3186798095703,6323.770305633545,7297.7757711916365,6323.770305633545,iqr
109,70.0,115.88094139099121,55.764260787282865,115.88094139099121,iqr
110,22.0784912109375,413.800026897341,296.58326460807865,413.800026897341,iqr
111,413.04168701171875,203.66805267333984,269.7514765626684,203.66805267333984,iqr
112,194.11544799804688,27.586299896240234,28.06065566673515,27.586299896240234,iqr
113,-20.755409240722656,55.24162256717682,53.35969955433943,55.24162256717682,iqr
114,-0.6441827714443207,0.15826165676116943,0.2803076064216614,0.15826165676116943,iqr
