dataset,holdout,split_protocol,method,method_version,representation,adapter,support_method,positive_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,support_size,support_pool_size,feature_dim,selected_feature_count,train_time,inference_time,parameter_count,support_provenance_clean,threshold_provenance_clean,result_source
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.8734451000000263,0.027456299999357725,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.1858274000005622,0.013289600000462087,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.8016975000000457,0.02017820000037318,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.22538239999994403,0.009096700000554847,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.88237990000016,0.021906299999500334,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.18120490000001155,0.007198400000561378,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.8316702000001897,0.02492779999920458,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.2075181000000157,0.012019400000099267,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,48,heldout_47_51,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.8486494000007951,0.02286610000010114,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,48,heldout_47_51,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.17107790000045497,0.008281499999611697,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,49,heldout_47_51,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.85962919999929,0.022087199999987206,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,49,heldout_47_51,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.1960667999992438,0.008024599999771453,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,50,heldout_47_51,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.8646197000007305,0.021628100000270933,101,True,True,issue19b_same_protocol_backtest
