seed,active_label_budget,config_name,config_family,weighting_policy,threshold_rule,threshold,support_val_detection,active_heavy_val_detection,medium_attack_eval_detection_report_only,dev_heavy_query_detection_report_only,id_calib_alarm,ood_val_alarm,final_ood_alarm_report_only,medium_low_score_attack_covered_review_fraction,dev_heavy_low_score_attack_covered_review_fraction,medium_score_or_review_recall,dev_heavy_score_or_review_recall,uses_final_ood_for_selection,uses_eval_attack_for_selection,uses_dev_heavy_query_for_selection,triple_attack_min
43,64,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.7595139400338077,0.8125,1.0,0.4182222222222222,0.92575,0.0,0.0,0.0023333333333333335,0.5777777777777777,0.0,0.996,0.92575,False,False,False,0.4182222222222222
43,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.8051590854217412,0.75,1.0,0.06355555555555556,0.81875,0.0,0.0,0.001,0.9324444444444444,0.0,0.996,0.81875,False,False,False,0.06355555555555556
43,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.7361202102621344,0.78125,1.0,0.21866666666666668,0.8745,0.0,0.0,0.002,0.7773333333333333,0.0,0.996,0.8745,False,False,False,0.21866666666666668
43,64,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.004746338934049104, ""medium"": 0.12784758730870593}",0.96875,1.0,0.9924444444444445,0.9995,0.0033333333333333335,0.0,0.3416666666666667,0.005333333333333333,0.0,0.9977777777777778,0.9995,False,False,False,0.96875
43,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.004746338934049104, ""medium"": 0.12784758730870593}",0.90625,0.9375,0.9902222222222222,0.55575,0.0033333333333333335,0.0,0.004,0.005333333333333333,0.0,0.9955555555555555,0.55575,False,False,False,0.55575
43,128,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.7534013383620326,0.78125,0.9375,0.34755555555555556,0.91,0.0,0.0,0.0026666666666666666,0.6488888888888888,0.0,0.9964444444444445,0.91,False,False,False,0.34755555555555556
43,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.7534013383620326,0.78125,0.9375,0.34755555555555556,0.91,0.0,0.0,0.0026666666666666666,0.6488888888888888,0.0,0.9964444444444445,0.91,False,False,False,0.34755555555555556
43,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.6662264201374988,0.8125,0.96875,0.6195555555555555,0.9695,0.0,0.0,0.0033333333333333335,0.3768888888888889,0.0,0.9964444444444445,0.9695,False,False,False,0.6195555555555555
43,128,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009693168192119333, ""medium"": 0.12784758730870593}",0.96875,1.0,0.9924444444444445,0.9995,0.0033333333333333335,0.0,0.3416666666666667,0.005333333333333333,0.0,0.9977777777777778,0.9995,False,False,False,0.96875
43,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009693168192119333, ""medium"": 0.12784758730870593}",0.90625,0.9375,0.9902222222222222,0.5575,0.0033333333333333335,0.0,0.004,0.005333333333333333,0.0,0.9955555555555555,0.5575,False,False,False,0.5575
44,64,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.4854741410782011,0.78125,1.0,0.7986666666666666,0.989,0.0,0.0,0.08233333333333333,0.18888888888888888,0.0,0.9875555555555555,0.989,False,False,False,0.78125
44,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.5814431944599635,0.78125,1.0,0.7413333333333333,0.98025,0.0,0.0006666666666666666,0.041666666666666664,0.24755555555555556,0.0,0.9888888888888889,0.98025,False,False,False,0.7413333333333333
44,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.4567032525223725,0.84375,1.0,0.82,0.9955,0.0,0.0006666666666666666,0.041666666666666664,0.16977777777777778,0.0,0.9897777777777778,0.9955,False,False,False,0.82
44,64,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.00514731815330337, ""medium"": 0.04275031193618434}",0.96875,1.0,0.9928888888888889,0.9995,0.0033333333333333335,0.0,0.39866666666666667,0.0022222222222222222,0.0,0.9951111111111111,0.9995,False,False,False,0.96875
44,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.00514731815330337, ""medium"": 0.04275031193618434}",0.9375,0.9375,0.9768888888888889,0.6195,0.0,0.0,0.029666666666666668,0.0022222222222222222,0.0,0.9791111111111112,0.6195,False,False,False,0.6195
44,128,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.5030035928297352,0.78125,0.9375,0.8382222222222222,0.9975,0.0,0.0013333333333333333,0.05266666666666667,0.15155555555555555,0.0,0.9897777777777778,0.9975,False,False,False,0.78125
44,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.5030035928297352,0.78125,0.9375,0.8382222222222222,0.9975,0.0,0.0013333333333333333,0.05266666666666667,0.15155555555555555,0.0,0.9897777777777778,0.9975,False,False,False,0.78125
44,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.4637399093779202,0.78125,0.96875,0.8222222222222222,0.994,0.0,0.0006666666666666666,0.042666666666666665,0.16755555555555557,0.0,0.9897777777777778,0.994,False,False,False,0.78125
44,128,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009751789674392003, ""medium"": 0.04275031193618434}",0.96875,1.0,0.9928888888888889,0.9995,0.0033333333333333335,0.0,0.39866666666666667,0.0022222222222222222,0.0,0.9951111111111111,0.9995,False,False,False,0.96875
44,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009751789674392003, ""medium"": 0.04275031193618434}",0.9375,0.9375,0.9768888888888889,0.5105,0.0,0.0,0.029666666666666668,0.0022222222222222222,0.0,0.9791111111111112,0.5105,False,False,False,0.5105
45,64,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.4351479214271977,0.875,1.0,0.9142222222222223,0.99825,0.0,0.0,0.048666666666666664,0.05333333333333334,0.00075,0.9675555555555555,0.999,False,False,False,0.875
45,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.6147397882030256,0.78125,0.9375,0.7973333333333333,0.99725,0.0,0.0,0.011,0.17155555555555554,0.00125,0.9688888888888889,0.9985,False,False,False,0.78125
45,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.3756312005020391,0.875,1.0,0.8777777777777778,0.99825,0.0,0.0,0.028,0.09377777777777778,0.00075,0.9715555555555555,0.999,False,False,False,0.875
45,64,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.005015401185436479, ""medium"": 0.0636363687409533}",0.96875,1.0,0.9924444444444445,0.9995,0.005,0.0,0.344,0.0022222222222222222,0.0,0.9946666666666667,0.9995,False,False,False,0.96875
45,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.005015401185436479, ""medium"": 0.0636363687409533}",0.9375,0.9375,0.9373333333333334,0.985,0.0016666666666666668,0.0,0.0023333333333333335,0.0022222222222222222,0.0,0.9395555555555556,0.985,False,False,False,0.9373333333333334
45,128,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.7024414503729544,0.8125,1.0,0.7635555555555555,0.99725,0.0,0.0,0.003,0.18355555555555556,0.0,0.9471111111111111,0.99725,False,False,False,0.7635555555555555
45,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.7024414503729544,0.8125,1.0,0.7635555555555555,0.99725,0.0,0.0,0.003,0.18355555555555556,0.0,0.9471111111111111,0.99725,False,False,False,0.7635555555555555
45,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.45626613040493463,0.875,1.0,0.8608888888888889,0.99825,0.0,0.0,0.012333333333333333,0.09555555555555556,0.0,0.9564444444444444,0.99825,False,False,False,0.8608888888888889
45,128,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.01064014874138288, ""medium"": 0.0636363687409533}",0.96875,1.0,0.9924444444444445,0.9995,0.005,0.0,0.344,0.0022222222222222222,0.0,0.9946666666666667,0.9995,False,False,False,0.96875
45,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.01064014874138288, ""medium"": 0.0636363687409533}",0.9375,0.9375,0.9373333333333334,0.705,0.0016666666666666668,0.0,0.0023333333333333335,0.0022222222222222222,0.0,0.9395555555555556,0.705,False,False,False,0.705
46,64,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.5884520412650109,0.84375,1.0,0.772,0.991,0.0,0.0,0.042666666666666665,0.22311111111111112,0.0,0.9951111111111111,0.991,False,False,False,0.772
46,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.7904398769611076,0.6875,1.0,0.07777777777777778,0.81875,0.0,0.0,0.0016666666666666668,0.9173333333333333,0.0,0.9951111111111111,0.81875,False,False,False,0.07777777777777778
46,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.6060921296160797,0.8125,1.0,0.6786666666666666,0.979,0.0,0.0,0.0026666666666666666,0.3164444444444444,0.0,0.9951111111111111,0.979,False,False,False,0.6786666666666666
46,64,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.005164646009071987, ""medium"": 0.17559116925245868}",0.96875,1.0,0.992,0.9995,0.0016666666666666668,0.0,0.3403333333333333,0.0044444444444444444,0.0,0.9964444444444445,0.9995,False,False,False,0.96875
46,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.005164646009071987, ""medium"": 0.17559116925245868}",0.90625,0.9375,0.9906666666666667,0.74925,0.0016666666666666668,0.0,0.0023333333333333335,0.0044444444444444444,0.0,0.9951111111111111,0.74925,False,False,False,0.74925
46,128,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.6517088534902216,0.84375,1.0,0.3293333333333333,0.9105,0.0,0.0,0.042333333333333334,0.6657777777777778,0.0,0.9951111111111111,0.9105,False,False,False,0.3293333333333333
46,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.6517088534902216,0.84375,1.0,0.3293333333333333,0.9105,0.0,0.0,0.042333333333333334,0.6657777777777778,0.0,0.9951111111111111,0.9105,False,False,False,0.3293333333333333
46,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.5669106342808506,0.84375,1.0,0.5391111111111111,0.971,0.0,0.0,0.03233333333333333,0.456,0.0,0.9951111111111111,0.971,False,False,False,0.5391111111111111
46,128,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009624089476196756, ""medium"": 0.17559116925245868}",0.96875,1.0,0.992,0.9995,0.0016666666666666668,0.0,0.3403333333333333,0.0044444444444444444,0.0,0.9964444444444445,0.9995,False,False,False,0.96875
46,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009624089476196756, ""medium"": 0.17559116925245868}",0.90625,0.9375,0.9906666666666667,0.613,0.0016666666666666668,0.0,0.0023333333333333335,0.0044444444444444444,0.0,0.9951111111111111,0.613,False,False,False,0.613
