seed,active_label_budget,config_name,query_name,alarm_fraction,low_score_attack_covered_review_fraction,score_or_review_recall
46,64,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9906666666666667,0.0044444444444444444,0.9951111111111111
46,64,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.74925,0.0,0.74925
46,128,single_uniform_append,medium_attack_eval_report_only,0.3293333333333333,0.6657777777777778,0.9951111111111111
46,128,single_uniform_append,dev_heavy_query_report_only,0.9105,0.0,0.9105
46,128,single_region_equal_total,medium_attack_eval_report_only,0.3293333333333333,0.6657777777777778,0.9951111111111111
46,128,single_region_equal_total,dev_heavy_query_report_only,0.9105,0.0,0.9105
46,128,single_region_capped_total,medium_attack_eval_report_only,0.5391111111111111,0.456,0.9951111111111111
46,128,single_region_capped_total,dev_heavy_query_report_only,0.971,0.0,0.971
46,128,per_region_heads_or,medium_attack_eval_report_only,0.992,0.0044444444444444444,0.9964444444444445
46,128,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
46,128,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9906666666666667,0.0044444444444444444,0.9951111111111111
46,128,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.613,0.0,0.613
