seed,active_label_budget,config_name,config_family,weighting_policy,id_rows,ood_train_rows,id_weight,ood_weight,medium_region_attack_rows,medium_region_attack_per_row_weight,medium_region_attack_total_weight,heavy_region_attack_rows,heavy_region_attack_per_row_weight,heavy_region_attack_total_weight,total_rows,attack_total_weight,weighted_normal_to_attack_ratio,medium_head_rows,heavy_head_rows,medium_threshold,heavy_threshold,distance_gated
43,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,96,2.0,192.0,4092,384.0,14.0625,,,,,
43,128,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.12784758730870593,0.009693168192119333,False
43,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.12784758730870593,0.009693168192119333,True
44,64,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,4.0,192.0,4044,576.0,9.375,,,,,
44,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,8.0,384.0,4044,768.0,7.03125,,,,,
44,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,48,4.0,192.0,4044,384.0,14.0625,,,,,
44,64,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.04275031193618434,0.00514731815330337,False
44,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.04275031193618434,0.00514731815330337,True
44,128,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
44,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
44,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,96,2.0,192.0,4092,384.0,14.0625,,,,,
44,128,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.04275031193618434,0.009751789674392003,False
44,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.04275031193618434,0.009751789674392003,True
45,64,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,4.0,192.0,4044,576.0,9.375,,,,,
45,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,8.0,384.0,4044,768.0,7.03125,,,,,
45,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,48,4.0,192.0,4044,384.0,14.0625,,,,,
45,64,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.0636363687409533,0.005015401185436479,False
45,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.0636363687409533,0.005015401185436479,True
45,128,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
45,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
45,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,96,2.0,192.0,4092,384.0,14.0625,,,,,
45,128,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.0636363687409533,0.01064014874138288,False
45,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.0636363687409533,0.01064014874138288,True
46,64,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,4.0,192.0,4044,576.0,9.375,,,,,
46,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,8.0,384.0,4044,768.0,7.03125,,,,,
46,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,48,4.0,192.0,4044,384.0,14.0625,,,,,
46,64,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.17559116925245868,0.005164646009071987,False
46,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.17559116925245868,0.005164646009071987,True
46,128,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
46,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
46,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,96,2.0,192.0,4092,384.0,14.0625,,,,,
46,128,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.17559116925245868,0.009624089476196756,False
46,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.17559116925245868,0.009624089476196756,True
