seed,active_label_budget,query_name,region_id,p75_radius,p95_radius,covered_p75,covered_p95,nearest_p50,nearest_p95
45,64,dev_heavy_query_report_only,attack_medium_base,5.832374095916748,7.4719014167785645,0.1745,0.1795,4464.87158203125,9211.4208984375
45,64,dev_heavy_query_report_only,attack_active_heavy,5.593993186950684,629.642333984375,0.35475,0.8055,8.748435020446777,2114.39697265625
45,128,support_val_medium,attack_medium_base,5.832374095916748,7.4719014167785645,0.75,0.9375,4.592872619628906,7.4719014167785645
45,128,support_val_medium,attack_active_heavy,5.08554744720459,9.966285705566406,0.0,0.0,842.3359375,1350.5595703125
45,128,active_heavy_val,attack_medium_base,5.832374095916748,7.4719014167785645,0.0,0.0,5241.52197265625,9262.306640625
45,128,active_heavy_val,attack_active_heavy,5.08554744720459,9.966285705566406,0.75,0.9375,1.8878653049468994,9.966285705566406
45,128,medium_attack_eval_report_only,attack_medium_base,5.832374095916748,7.4719014167785645,0.8422222222222222,0.9395555555555556,3.6052980422973633,7.921701908111572
45,128,medium_attack_eval_report_only,attack_active_heavy,5.08554744720459,9.966285705566406,0.0,0.0,878.8081665039062,1137.6812744140625
45,128,dev_heavy_query_report_only,attack_medium_base,5.832374095916748,7.4719014167785645,0.1745,0.1795,4464.87158203125,9211.4208984375
45,128,dev_heavy_query_report_only,attack_active_heavy,5.08554744720459,9.966285705566406,0.338,0.5255,8.649557113647461,924.2666015625
46,64,support_val_medium,attack_medium_base,6.064065933227539,37.582725524902344,0.75,0.9375,4.349327087402344,37.582725524902344
46,64,support_val_medium,attack_active_heavy,6.0291266441345215,12.281786918640137,0.0,0.0,926.5264892578125,24139.658203125
46,64,active_heavy_val,attack_medium_base,6.064065933227539,37.582725524902344,0.0,0.0,7237.609375,10054.671875
46,64,active_heavy_val,attack_active_heavy,6.0291266441345215,12.281786918640137,0.75,0.9375,2.1024107933044434,12.281786918640137
46,64,medium_attack_eval_report_only,attack_medium_base,6.064065933227539,37.582725524902344,0.3942222222222222,0.9951111111111111,6.909756660461426,10.660736083984375
46,64,medium_attack_eval_report_only,attack_active_heavy,6.0291266441345215,12.281786918640137,0.0,0.0,957.622314453125,1834.0859375
46,64,dev_heavy_query_report_only,attack_medium_base,6.064065933227539,37.582725524902344,0.09575,0.1795,4467.009765625,9189.70703125
46,64,dev_heavy_query_report_only,attack_active_heavy,6.0291266441345215,12.281786918640137,0.36675,0.56975,8.884531021118164,1084.1729736328125
46,128,support_val_medium,attack_medium_base,6.064065933227539,37.582725524902344,0.75,0.9375,4.349327087402344,37.582725524902344
46,128,support_val_medium,attack_active_heavy,2.6096930503845215,7.063880443572998,0.0,0.0,881.1502075195312,20075.189453125
46,128,active_heavy_val,attack_medium_base,6.064065933227539,37.582725524902344,0.0,0.0,5578.8603515625,9143.7216796875
46,128,active_heavy_val,attack_active_heavy,2.6096930503845215,7.063880443572998,0.75,0.9375,1.5087246894836426,7.063880443572998
46,128,medium_attack_eval_report_only,attack_medium_base,6.064065933227539,37.582725524902344,0.3942222222222222,0.9951111111111111,6.909756660461426,10.660736083984375
46,128,medium_attack_eval_report_only,attack_active_heavy,2.6096930503845215,7.063880443572998,0.0,0.0,914.362548828125,1266.1549072265625
46,128,dev_heavy_query_report_only,attack_medium_base,6.064065933227539,37.582725524902344,0.09575,0.1795,4467.009765625,9189.70703125
