holdout,method,fpr_target,eval_ood_quantile_threshold,attack_tpr_at_eval_fpr,official_threshold,official_attack_detection,official_ood_alarm,attack_vs_ood_q99_margin_q25,pairwise_attack_below_ood_tail_rate
holdout_bin_6,A2_linear_SVM,0.005,-1916.5969990062972,0.8601398601398601,-2158.8799556712916,0.8751248751248751,0.0061,2314.66053222656,0.20225774225774226
holdout_bin_6,A2_linear_SVM,0.01,-2722.239350080468,0.9070929070929071,-2158.8799556712916,0.8751248751248751,0.0061,2314.66053222656,0.20225774225774226
holdout_bin_6,A2_linear_SVM,0.02,-3861.2263569164065,0.949050949050949,-2158.8799556712916,0.8751248751248751,0.0061,2314.66053222656,0.20225774225774226
holdout_bin_6,V1,0.005,-3.2582627728159226,0.991008991008991,-2.3665623121180643,0.9790209790209791,0.0019,9.683978252195846,0.07744255744255744
holdout_bin_6,V1,0.01,-3.8294430247505344,0.993006993006993,-2.3665623121180643,0.9790209790209791,0.0019,9.683978252195846,0.07744255744255744
holdout_bin_6,V1,0.02,-4.2448211742390285,0.994005994005994,-2.3665623121180643,0.9790209790209791,0.0019,9.683978252195846,0.07744255744255744
holdout_bin_6,V2_top64_LR,0.005,-4.283796505161361,0.97002997002997,-4.118561382207412,0.97002997002997,0.0045,11.114973824812532,0.031518481518481516
holdout_bin_6,V2_top64_LR,0.01,-4.9821447073030125,0.97002997002997,-4.118561382207412,0.97002997002997,0.0045,11.114973824812532,0.031518481518481516
holdout_bin_6,V2_top64_LR,0.02,-5.516316204610444,0.97002997002997,-4.118561382207412,0.97002997002997,0.0045,11.114973824812532,0.031518481518481516
holdout_bin_7,A1_weighted_LR,0.005,-4.594796245158245,0.9780893952673094,-4.0429225793898675,0.9780893952673094,0.0036,11.3163941711571,0.025468886941279578
holdout_bin_7,A1_weighted_LR,0.01,-5.274931847905683,0.9780893952673094,-4.0429225793898675,0.9780893952673094,0.0036,11.3163941711571,0.025468886941279578
holdout_bin_7,A1_weighted_LR,0.02,-5.800450581233946,0.9780893952673094,-4.0429225793898675,0.9780893952673094,0.0036,11.3163941711571,0.025468886941279578
holdout_bin_7,A2_linear_SVM,0.005,-1032.7844141623877,0.5021910604732691,-3841.6572447287776,0.7055214723926381,0.0145,-2201.429453125013,0.5726906222611744
holdout_bin_7,A2_linear_SVM,0.01,-2585.8646583029836,0.6187554776511832,-3841.6572447287776,0.7055214723926381,0.0145,-2201.429453125013,0.5726906222611744
holdout_bin_7,A2_linear_SVM,0.02,-4966.364511818617,0.7598597721297108,-3841.6572447287776,0.7055214723926381,0.0145,-2201.429453125013,0.5726906222611744
holdout_bin_7,V1,0.005,-3.2348412055490043,1.0,-2.3126683191097466,0.9973707274320771,0.002,20.107294755638318,0.0413672217353199
holdout_bin_7,V1,0.01,-3.797993747422315,1.0,-2.3126683191097466,0.9973707274320771,0.002,20.107294755638318,0.0413672217353199
holdout_bin_7,V1,0.02,-4.213511518886196,1.0,-2.3126683191097466,0.9973707274320771,0.002,20.107294755638318,0.0413672217353199
holdout_bin_7,V2_top64_LR,0.005,-4.347484044630218,0.9780893952673094,-4.067457114802276,0.9780893952673094,0.0041,11.034989865656632,0.02521472392638037
holdout_bin_7,V2_top64_LR,0.01,-4.980453820145744,0.9780893952673094,-4.067457114802276,0.9780893952673094,0.0041,11.034989865656632,0.02521472392638037
holdout_bin_7,V2_top64_LR,0.02,-5.5687375648329285,0.9780893952673094,-4.067457114802276,0.9780893952673094,0.0041,11.034989865656632,0.02521472392638037
holdout_bin_8,A1_weighted_LR,0.005,-4.811522882166594,0.8873239436619719,-4.432834494232043,0.8826291079812206,0.0037,8.939125465462038,0.12502347417840376
holdout_bin_8,A1_weighted_LR,0.01,-5.396861534015284,0.8896713615023474,-4.432834494232043,0.8826291079812206,0.0037,8.939125465462038,0.12502347417840376
holdout_bin_8,A1_weighted_LR,0.02,-5.78820425525086,0.8990610328638498,-4.432834494232043,0.8826291079812206,0.0037,8.939125465462038,0.12502347417840376
holdout_bin_8,A2_linear_SVM,0.005,-681.2455829163227,0.7816901408450704,-617.6896208191429,0.7723004694835681,0.004,264.93104431152346,0.38974178403755866
holdout_bin_8,A2_linear_SVM,0.01,-811.3388003845723,0.8028169014084507,-617.6896208191429,0.7723004694835681,0.004,264.93104431152346,0.38974178403755866
holdout_bin_8,A2_linear_SVM,0.02,-959.8439297791026,0.8192488262910798,-617.6896208191429,0.7723004694835681,0.004,264.93104431152346,0.38974178403755866
holdout_bin_8,V1,0.005,-2.8782479628143025,0.8333333333333334,-3.022682424935188,0.8356807511737089,0.0053,4.609478581474474,0.2645305164319249
holdout_bin_8,V1,0.01,-4.016802694567826,0.8661971830985915,-3.022682424935188,0.8356807511737089,0.0053,4.609478581474474,0.2645305164319249
holdout_bin_8,V1,0.02,-4.531688200126794,0.9225352112676056,-3.022682424935188,0.8356807511737089,0.0053,4.609478581474474,0.2645305164319249
holdout_bin_8,V2_top64_LR,0.005,-4.656457555577359,0.8849765258215962,-4.423520833673828,0.8826291079812206,0.0042,8.70416358777965,0.12539906103286386
holdout_bin_8,V2_top64_LR,0.01,-5.26277067714993,0.8896713615023474,-4.423520833673828,0.8826291079812206,0.0042,8.70416358777965,0.12539906103286386
holdout_bin_8,V2_top64_LR,0.02,-5.658103690490583,0.8990610328638498,-4.423520833673828,0.8826291079812206,0.0042,8.70416358777965,0.12539906103286386
