holdout,seed,rank,feature_index,feature_name
holdout_bin_6,42,14,182,source_rich_182
holdout_bin_6,42,15,64,HH_jit_0.01_std
holdout_bin_6,42,16,224,source_rich_224
holdout_bin_6,42,17,169,source_rich_169
holdout_bin_6,42,18,124,source_rich_124
holdout_bin_6,42,19,223,source_rich_223
holdout_bin_6,42,20,33,HH_1_magnitude_0_1
holdout_bin_6,42,21,164,source_rich_164
holdout_bin_6,42,22,236,source_rich_236
holdout_bin_6,42,23,34,HH_1_covariance_0_1
holdout_bin_6,42,24,211,source_rich_211
holdout_bin_6,42,25,131,source_rich_131
holdout_bin_6,42,26,28,HH_3_pcc_0_1
holdout_bin_6,42,27,121,source_rich_121
holdout_bin_6,42,28,29,HH_1_weight_0
holdout_bin_6,42,29,176,source_rich_176
holdout_bin_6,42,30,67,HpHp_5_std_0
holdout_bin_6,42,31,170,source_rich_170
holdout_bin_6,42,32,242,source_rich_242
holdout_bin_6,42,33,91,HpHp_0.1_covariance_0_1
holdout_bin_6,42,34,210,source_rich_210
holdout_bin_6,42,35,0,MI_dir_5_weight
holdout_bin_6,42,36,95,HpHp_0.01_std_0
holdout_bin_6,42,37,184,source_rich_184
holdout_bin_6,42,38,149,source_rich_149
holdout_bin_6,42,39,112,source_rich_112
holdout_bin_6,42,40,253,source_rich_253
holdout_bin_6,42,41,212,source_rich_212
holdout_bin_6,42,42,199,source_rich_199
holdout_bin_6,42,43,207,source_rich_207
holdout_bin_6,42,44,55,HH_jit_3_std
holdout_bin_6,42,45,185,source_rich_185
holdout_bin_6,42,46,227,source_rich_227
holdout_bin_6,42,47,122,source_rich_122
holdout_bin_6,42,48,107,source_rich_107
holdout_bin_6,42,49,172,source_rich_172
holdout_bin_6,42,50,163,source_rich_163
holdout_bin_6,42,51,40,HH_0.1_magnitude_0_1
holdout_bin_6,42,52,46,HH_0.01_radius_0_1
holdout_bin_6,42,53,200,source_rich_200
holdout_bin_6,42,54,189,source_rich_189
holdout_bin_6,42,55,213,source_rich_213
holdout_bin_6,42,56,201,source_rich_201
holdout_bin_6,42,57,162,source_rich_162
holdout_bin_6,42,58,241,source_rich_241
holdout_bin_6,42,59,106,source_rich_106
holdout_bin_6,42,60,226,source_rich_226
holdout_bin_6,42,61,225,source_rich_225
holdout_bin_6,42,62,75,HpHp_3_radius_0_1
holdout_bin_6,42,63,217,source_rich_217
holdout_bin_6,42,64,202,source_rich_202
holdout_bin_7,42,1,52,HH_jit_5_std
holdout_bin_7,42,2,125,source_rich_125
holdout_bin_7,42,3,250,source_rich_250
holdout_bin_7,42,4,73,HpHp_3_mean_0
holdout_bin_7,42,5,251,source_rich_251
holdout_bin_7,42,6,252,source_rich_252
holdout_bin_7,42,7,218,source_rich_218
holdout_bin_7,42,8,138,source_rich_138
holdout_bin_7,42,9,257,source_rich_257
holdout_bin_7,42,10,231,source_rich_231
holdout_bin_7,42,11,205,source_rich_205
holdout_bin_7,42,12,39,HH_0.1_radius_0_1
holdout_bin_7,42,13,99,HpHp_0.01_pcc_0_1
holdout_bin_7,42,14,182,source_rich_182
holdout_bin_7,42,15,72,HpHp_3_weight_0
holdout_bin_7,42,16,64,HH_jit_0.01_std
holdout_bin_7,42,17,164,source_rich_164
holdout_bin_7,42,18,224,source_rich_224
holdout_bin_7,42,19,169,source_rich_169
holdout_bin_7,42,20,124,source_rich_124
holdout_bin_7,42,21,223,source_rich_223
holdout_bin_7,42,22,33,HH_1_magnitude_0_1
holdout_bin_7,42,23,236,source_rich_236
holdout_bin_7,42,24,211,source_rich_211
holdout_bin_7,42,25,131,source_rich_131
holdout_bin_7,42,26,28,HH_3_pcc_0_1
holdout_bin_7,42,27,176,source_rich_176
holdout_bin_7,42,28,121,source_rich_121
holdout_bin_7,42,29,29,HH_1_weight_0
holdout_bin_7,42,30,255,source_rich_255
holdout_bin_7,42,31,170,source_rich_170
holdout_bin_7,42,32,177,source_rich_177
holdout_bin_7,42,33,67,HpHp_5_std_0
holdout_bin_7,42,34,210,source_rich_210
holdout_bin_7,42,35,0,MI_dir_5_weight
holdout_bin_7,42,36,91,HpHp_0.1_covariance_0_1
holdout_bin_7,42,37,120,source_rich_120
holdout_bin_7,42,38,184,source_rich_184
holdout_bin_7,42,39,112,source_rich_112
holdout_bin_7,42,40,83,HpHp_1_magnitude_0_1
holdout_bin_7,42,41,253,source_rich_253
holdout_bin_7,42,42,40,HH_0.1_magnitude_0_1
holdout_bin_7,42,43,149,source_rich_149
holdout_bin_7,42,44,114,source_rich_114
holdout_bin_7,42,45,227,source_rich_227
holdout_bin_7,42,46,233,source_rich_233
holdout_bin_7,42,47,212,source_rich_212
holdout_bin_7,42,48,88,HpHp_0.1_std_0
holdout_bin_7,42,49,199,source_rich_199
holdout_bin_7,42,50,185,source_rich_185
holdout_bin_7,42,51,74,HpHp_3_std_0
holdout_bin_7,42,52,95,HpHp_0.01_std_0
holdout_bin_7,42,53,163,source_rich_163
holdout_bin_7,42,54,107,source_rich_107
holdout_bin_7,42,55,189,source_rich_189
holdout_bin_7,42,56,122,source_rich_122
holdout_bin_7,42,57,53,HH_jit_3_weight
holdout_bin_7,42,58,201,source_rich_201
holdout_bin_7,42,59,213,source_rich_213
holdout_bin_7,42,60,254,source_rich_254
holdout_bin_7,42,61,162,source_rich_162
holdout_bin_7,42,62,226,source_rich_226
holdout_bin_7,42,63,217,source_rich_217
holdout_bin_7,42,64,200,source_rich_200
holdout_bin_8,42,1,52,HH_jit_5_std
holdout_bin_8,42,2,73,HpHp_3_mean_0
holdout_bin_8,42,3,125,source_rich_125
holdout_bin_8,42,4,250,source_rich_250
holdout_bin_8,42,5,252,source_rich_252
holdout_bin_8,42,6,218,source_rich_218
holdout_bin_8,42,7,251,source_rich_251
holdout_bin_8,42,8,39,HH_0.1_radius_0_1
holdout_bin_8,42,9,257,source_rich_257
holdout_bin_8,42,10,205,source_rich_205
holdout_bin_8,42,11,231,source_rich_231
holdout_bin_8,42,12,151,source_rich_151
holdout_bin_8,42,13,7,MI_dir_1_mean
holdout_bin_8,42,14,182,source_rich_182
holdout_bin_8,42,15,64,HH_jit_0.01_std
holdout_bin_8,42,16,124,source_rich_124
holdout_bin_8,42,17,224,source_rich_224
holdout_bin_8,42,18,169,source_rich_169
holdout_bin_8,42,19,223,source_rich_223
holdout_bin_8,42,20,33,HH_1_magnitude_0_1
holdout_bin_8,42,21,164,source_rich_164
holdout_bin_8,42,22,236,source_rich_236
holdout_bin_8,42,23,211,source_rich_211
holdout_bin_8,42,24,67,HpHp_5_std_0
holdout_bin_8,42,25,99,HpHp_0.01_pcc_0_1
holdout_bin_8,42,26,28,HH_3_pcc_0_1
holdout_bin_8,42,27,121,source_rich_121
holdout_bin_8,42,28,131,source_rich_131
holdout_bin_8,42,29,29,HH_1_weight_0
holdout_bin_8,42,30,91,HpHp_0.1_covariance_0_1
holdout_bin_8,42,31,0,MI_dir_5_weight
holdout_bin_8,42,32,176,source_rich_176
holdout_bin_8,42,33,170,source_rich_170
holdout_bin_8,42,34,210,source_rich_210
holdout_bin_8,42,35,242,source_rich_242
holdout_bin_8,42,36,95,HpHp_0.01_std_0
holdout_bin_8,42,37,184,source_rich_184
holdout_bin_8,42,38,207,source_rich_207
holdout_bin_8,42,39,212,source_rich_212
holdout_bin_8,42,40,199,source_rich_199
holdout_bin_8,42,41,253,source_rich_253
holdout_bin_8,42,42,149,source_rich_149
holdout_bin_8,42,43,47,HH_0.01_magnitude_0_1
holdout_bin_8,42,44,122,source_rich_122
holdout_bin_8,42,45,101,source_rich_101
holdout_bin_8,42,46,200,source_rich_200
holdout_bin_8,42,47,227,source_rich_227
holdout_bin_8,42,48,213,source_rich_213
holdout_bin_8,42,49,107,source_rich_107
holdout_bin_8,42,50,172,source_rich_172
holdout_bin_8,42,51,163,source_rich_163
holdout_bin_8,42,52,226,source_rich_226
holdout_bin_8,42,53,254,source_rich_254
holdout_bin_8,42,54,106,source_rich_106
holdout_bin_8,42,55,46,HH_0.01_radius_0_1
holdout_bin_8,42,56,202,source_rich_202
holdout_bin_8,42,57,201,source_rich_201
holdout_bin_8,42,58,225,source_rich_225
holdout_bin_8,42,59,189,source_rich_189
holdout_bin_8,42,60,75,HpHp_3_radius_0_1
holdout_bin_8,42,61,162,source_rich_162
holdout_bin_8,42,62,185,source_rich_185
holdout_bin_8,42,63,241,source_rich_241
holdout_bin_8,42,64,55,HH_jit_3_std
