seed,role,rows,raw_alarm_rate,hard_alarm_rate,suppress_rate,review_conflict_rate,review_unknown_rate,review_any_rate,review_overflow_rate,strong_attack_core_rate,near_attack_rate,near_benign_rate,conflict_uncapped_rate,unknown_sparse_uncapped_rate,attack_cov_p50,attack_cov_p95,benign_cov_p50,benign_cov_p95,score_strength_p50,score_strength_p95
44,id_calib,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,1.0,0.0,0.0,0.6812693476676941,13.876245498657227,0.0016755552496761084,0.016941959038376808,-0.012980598704806013,-0.012980598704806013
44,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14333333333333334,1.0,0.0,0.0,10.176395416259766,12830.947265625,0.0006702877581119537,0.0009979739552363753,-0.012980598704806013,-0.012980598704806013
44,ood_stress_val,2850,0.24140350877192981,0.0,0.051929824561403506,0.0003508771929824561,0.009473684210526316,0.009824561403508772,0.17964912280701753,0.0,0.44491228070175437,0.8901754385964912,0.0003508771929824561,0.039649122807017545,0.8987083435058594,384.55523681640625,0.0010402544867247343,1.2114462852478027,-0.012980598704806013,0.9395191281614712
44,support_medium_val,24,0.9166666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.875,0.0,0.9166666666666666,1.0,0.875,0.0,0.13444626331329346,1.0,0.0016305812168866396,0.0023225268814712763,0.6928492059453059,0.7850918256846049
44,support_heavy_val,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7777777777777778,1.0,0.7777777777777778,0.0,0.20402681827545166,0.9999999403953552,0.020810438320040703,0.02142791822552681,0.9395191281614712,0.9395191281614712
44,pseudo_medium_query,34,0.9117647058823529,0.0,0.029411764705882353,0.0,0.0,0.0,0.8823529411764706,0.0,0.9411764705882353,1.0,0.8823529411764706,0.0,0.14031481742858887,0.7308177947998047,0.0014258199371397495,0.0032352665439248085,0.7486756589400811,0.7780720838070967
44,pseudo_heavy_query,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4838709677419355,1.0,0.4838709677419355,0.0,0.7598193883895874,1.786616325378418,0.03340381756424904,0.03361456096172333,0.9395191281614712,0.9395191281614712
44,medium_attack_eval_report_only,2250,0.9915555555555555,0.0,0.0,0.009777777777777778,0.0,0.009777777777777778,0.9817777777777777,0.0,0.996,0.9982222222222222,0.9902222222222222,0.0013333333333333333,0.16498757898807526,0.2195795178413391,0.0011299899779260159,0.0016506327083334327,0.658008659142006,0.730243919218055
44,dev_heavy_query_report_only,4000,0.9995,0.0,0.0,0.01,0.0,0.01,0.9895,0.0,0.33375,1.0,0.33375,0.0,0.9601578712463379,44.244720458984375,0.021243847906589508,0.03358019143342972,0.9395191281614712,0.9395191281614712
44,final_ood_report_only,3000,0.3396666666666667,0.0,0.203,0.0016666666666666668,0.008333333333333333,0.01,0.12666666666666668,0.0,0.48433333333333334,0.996,0.0016666666666666668,0.0023333333333333335,0.8046027421951294,194.76593017578125,0.0010671111522242427,0.006512838415801525,-0.012980598704806013,0.9395191281614712
45,id_calib,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09833333333333333,1.0,0.0,0.0,1.63841712474823,13.935521125793457,0.0016755552496761084,0.016941959038376808,-0.007103259719683546,-0.007042458200617638
45,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048666666666666664,1.0,0.0,0.0,46.3828010559082,15658.1552734375,0.0006702877581119537,0.0009979739552363753,-0.007103259719683546,-0.007103259719683546
45,ood_stress_val,2850,0.23719298245614034,0.0,0.04807017543859649,0.0,0.009824561403508772,0.009824561403508772,0.1792982456140351,0.0,0.06280701754385964,0.8901754385964912,0.0,0.039649122807017545,2.031853199005127,574.5924072265625,0.0010402544867247343,1.2114462852478027,-0.007103259719683546,0.8874469864203335
45,support_medium_val,25,1.0,0.0,0.08,0.0,0.0,0.0,0.92,0.0,0.88,1.0,0.88,0.0,0.4834085702896118,1.0,0.0013985855039209127,0.004195204004645348,0.8178004036412625,0.8578805532283094
45,support_heavy_val,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,0.0,0.19648334383964539,1.0,0.03338665887713432,0.033529847860336304,0.9430610497326193,0.9430610497326193
45,pseudo_medium_query,28,0.6428571428571429,0.0,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.39285714285714285,1.0,0.35714285714285715,0.0,0.8279833793640137,1.4565726518630981,0.0012318696826696396,0.0020367992110550404,0.7171780672979797,0.8414722916256716
45,pseudo_heavy_query,33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7878787878787878,1.0,0.7878787878787878,0.0,0.5104011297225952,0.9790096879005432,0.02093580923974514,0.021364565938711166,0.9430610497326193,0.9430610497326193
45,medium_attack_eval_report_only,2250,0.9373333333333334,0.0,0.09377777777777778,0.009777777777777778,0.0,0.009777777777777778,0.8337777777777777,0.0,0.828,0.9982222222222222,0.8026666666666666,0.0013333333333333333,0.48627060651779175,0.9832134246826172,0.0011299899779260159,0.0016506327083334327,0.740962357158661,0.8397137837956401
45,dev_heavy_query_report_only,4000,0.9995,0.0,0.004,0.01,0.0,0.01,0.9855,0.0,0.65275,1.0,0.65275,0.0,0.5969239473342896,17.485408782958984,0.021243847906589508,0.03358019143342972,0.9430610497326193,0.9430610497326193
45,final_ood_report_only,3000,0.33766666666666667,0.0,0.202,0.0006666666666666666,0.009333333333333334,0.01,0.12566666666666668,0.0,0.09,0.996,0.0006666666666666666,0.0023333333333333335,1.3524703979492188,692.4118041992188,0.0010671111522242427,0.006512838415801525,-0.007103259719683546,0.8874469864203335
46,id_calib,600,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.04833333333333333,1.0,0.0,0.0,2.8547616004943848,97.93807983398438,0.0016755552496761084,0.016941959038376808,-0.004282499602904748,-0.004167175056149652
46,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.35273742675781,20742.087890625,0.0006702877581119537,0.0009979739552363753,-0.004282499602904748,-0.004282499602904748
46,ood_stress_val,2850,0.24280701754385964,0.0,0.05333333333333334,0.0,0.009824561403508772,0.009824561403508772,0.17964912280701753,0.0,0.023859649122807018,0.8901754385964912,0.0,0.039649122807017545,6.298135757446289,1692.27685546875,0.0010402544867247343,1.2114462852478027,-0.004282499602904748,0.7684407642244299
46,support_medium_val,16,0.9375,0.0,0.1875,0.0,0.0,0.0,0.75,0.0,0.625,1.0,0.625,0.0,0.6851810216903687,1.0,0.0015788690652698278,0.0022432319819927216,0.8198754046155123,0.8692424393544201
46,support_heavy_val,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,1.0,0.375,0.0,0.7613065242767334,1.0,0.021031130105257034,0.02131507359445095,0.9467315461713096,0.9467315461713096
46,pseudo_medium_query,66,0.9393939393939394,0.0,0.3333333333333333,0.0,0.0,0.0,0.6060606060606061,0.0,0.030303030303030304,1.0,0.015151515151515152,0.0,1.195976734161377,6.871184825897217,0.0013626350555568933,0.018900256603956223,0.5708332961964346,0.8692424393544201
46,pseudo_heavy_query,35,1.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,2.3114778995513916,11.749055862426758,0.033398356288671494,0.033614516258239746,0.9467315461713096,0.9467315461713096
46,medium_attack_eval_report_only,2250,0.992,0.0,0.09288888888888888,0.009777777777777778,0.0,0.009777777777777778,0.8893333333333333,0.0,0.6226666666666667,0.9982222222222222,0.6208888888888889,0.0013333333333333333,0.6766819953918457,1.2294255495071411,0.0011299899779260159,0.0016506327083334327,0.7299589677949739,0.8692424393544201
46,dev_heavy_query_report_only,4000,0.9995,0.0,0.00175,0.01,0.0,0.01,0.98775,0.0,0.1675,1.0,0.1675,0.0,3.0798914432525635,200.93783569335938,0.021243847906589508,0.03358019143342972,0.9467315461713096,0.9467315461713096
46,final_ood_report_only,3000,0.356,0.0,0.18733333333333332,0.01,0.0,0.01,0.15866666666666668,0.0,0.05533333333333333,0.996,0.010333333333333333,0.0023333333333333335,3.5123956203460693,1267.0919189453125,0.0010671111522242427,0.006512838415801525,-0.004282499602904748,0.7684407642244299
