route,epoch,loss,ce,supcon,rex,held_value
H3_c1_supcon_rex_proto,20,0.5488570133845011,0.0008384673904705172,5.480070352554321,4.600558655520892e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,21,0.548946941892306,0.0007948777104805534,5.481422344843547,3.9323320592125434e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,22,0.5487901816765467,0.0007527084429360306,5.4802952607472735,3.1801657439989306e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,23,0.5486555496851603,0.0007120041215481857,5.47934905687968,3.454866440094628e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,0,0.5786929031213125,0.0027001756825484335,5.758679906527202,0.0004989044904729253,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,1,0.5614907244841257,0.0026086538564413786,5.587736050287883,0.0004338436053024086,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,2,0.5572284211715063,0.0024960428127087653,5.54566244284312,0.0006644746404541232,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,3,0.5550117095311483,0.0023702192896356187,5.525124351183574,0.000516169575080716,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,4,0.5536526342233022,0.002241967498169591,5.513062755266826,0.0004175371968090739,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,5,0.5525769293308258,0.0021172029664739966,5.503754496574402,0.0003370423157901259,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,6,0.5516153375307719,0.0019864000496454537,5.495884656906128,0.00016181966942818704,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,7,0.5509234021107355,0.001868810853920877,5.489961663881938,0.0002336532925018009,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,8,0.550586998462677,0.0017582763199849676,5.487671136856079,0.0002464180716082269,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,9,0.5503181864817938,0.0016416505483600001,5.486411054929097,0.00014167991595037677,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,10,0.550338938832283,0.0015340712173686673,5.4875956773757935,0.0001811529614947164,iotsim-stream-consumer
