held_value,route,calib_role,rows,attack_q99,proto_margin_q99,review_score_q99,support_attack_q05,support_proto_margin_q05,attack_threshold,proto_margin_threshold,review_score_threshold
domotic-monitor,H4_c1_supcon_rex_proto_selective_budget,id_calib,4000,0.1777885933220386,-2.4929460936784746,2.88329167895019,,,,,
domotic-monitor,H4_c1_supcon_rex_proto_selective_budget,ood_val,4000,0.14606030747294427,-2.694236474544742,2.9927677042828873,,,,,
domotic-monitor,H4_c1_supcon_rex_proto_selective_budget,ood_stress,4000,0.1311924536526203,-2.688568815328181,3.0279779999679883,,,,,
domotic-monitor,H4_c1_supcon_rex_proto_selective_budget,support_val,11,,,,0.7417504191398621,2.3651654506102204,0.1777885933220386,-2.4929460936784746,3.0279779999679883
combined-cycle,H1_c1_mlp_ce,id_calib,4000,0.06398762568831443,-2.569783308459446,2.7135787303764665,,,,,
combined-cycle,H1_c1_mlp_ce,ood_val,4000,0.060345944650471196,-2.626037845495158,2.7865357885230333,,,,,
combined-cycle,H1_c1_mlp_ce,ood_stress,4000,0.05650991395115851,-2.6500845459848645,2.797190758275683,,,,,
combined-cycle,H1_c1_mlp_ce,support_val,5,,,,0.8346878409385681,2.6199988939915784,0.06398762568831443,-2.569783308459446,2.797190758275683
combined-cycle,H2_c1_supcon_proto,id_calib,4000,0.07695915624499318,-2.474862764645368,2.7034235339891164,,,,,
combined-cycle,H2_c1_supcon_proto,ood_val,4000,0.07156273938715457,-2.5504775089770555,2.7417191749834453,,,,,
combined-cycle,H2_c1_supcon_proto,ood_stress,4000,0.05992902170866727,-2.575840840416495,2.7638738799281417,,,,,
combined-cycle,H2_c1_supcon_proto,support_val,5,,,,0.8183424472808838,2.545572506566532,0.07695915624499318,-2.474862764645368,2.7638738799281417
combined-cycle,H3_c1_supcon_rex_proto,id_calib,4000,0.22111201375722883,-2.2987809442915026,2.743335068663582,,,,,
combined-cycle,H3_c1_supcon_rex_proto,ood_val,4000,0.184139743745327,-2.7261106334254146,3.051813498921692,,,,,
combined-cycle,H3_c1_supcon_rex_proto,ood_stress,4000,0.16657090857625007,-2.6232770665455614,2.9876813053665683,,,,,
combined-cycle,H3_c1_supcon_rex_proto,support_val,5,,,,0.6095262765884399,2.470327015640214,0.22111201375722883,-2.2987809442915026,3.051813498921692
combined-cycle,H4_c1_supcon_rex_proto_selective_budget,id_calib,4000,0.22111201375722883,-2.2987809442915026,2.743335068663582,,,,,
combined-cycle,H4_c1_supcon_rex_proto_selective_budget,ood_val,4000,0.184139743745327,-2.7261106334254146,3.051813498921692,,,,,
combined-cycle,H4_c1_supcon_rex_proto_selective_budget,ood_stress,4000,0.16657090857625007,-2.6232770665455614,2.9876813053665683,,,,,
combined-cycle,H4_c1_supcon_rex_proto_selective_budget,support_val,5,,,,0.6095262765884399,2.470327015640214,0.22111201375722883,-2.2987809442915026,3.051813498921692
iotsim-ip-camera-street,H1_c1_mlp_ce,id_calib,4000,0.05668536573648453,-2.625844995034859,2.7638665685988957,,,,,
iotsim-ip-camera-street,H1_c1_mlp_ce,ood_val,4000,0.05335950218141077,-2.64986514961347,2.796508214133792,,,,,
iotsim-ip-camera-street,H1_c1_mlp_ce,ood_stress,4000,0.050959277190268035,-2.577214512387291,2.745453030656208,,,,,
iotsim-ip-camera-street,H1_c1_mlp_ce,support_val,11,,,,0.8483186364173889,2.4837977830320597,0.05668536573648453,-2.577214512387291,2.796508214133792
iotsim-ip-camera-street,H2_c1_supcon_proto,id_calib,4000,0.06547531813383102,-2.5423223499953753,2.7317073293030263,,,,,
iotsim-ip-camera-street,H2_c1_supcon_proto,ood_val,4000,0.05970547694712877,-2.591496251486242,2.7716225670929995,,,,,
iotsim-ip-camera-street,H2_c1_supcon_proto,ood_stress,4000,0.05364693343639369,-2.561225543133915,2.75311420284037,,,,,
iotsim-ip-camera-street,H2_c1_supcon_proto,support_val,11,,,,0.8361420929431915,2.3537451662123203,0.06547531813383102,-2.5423223499953753,2.7716225670929995
iotsim-ip-camera-street,H3_c1_supcon_rex_proto,id_calib,4000,0.1777885933220386,-2.4929460936784746,2.88329167895019,,,,,
iotsim-ip-camera-street,H3_c1_supcon_rex_proto,ood_val,4000,0.14606030747294427,-2.694236474544742,2.9927677042828873,,,,,
iotsim-ip-camera-street,H3_c1_supcon_rex_proto,ood_stress,4000,0.1311924536526203,-2.688568815328181,3.0279779999679883,,,,,
iotsim-ip-camera-street,H3_c1_supcon_rex_proto,support_val,11,,,,0.7417504191398621,2.3651654506102204,0.1777885933220386,-2.4929460936784746,3.0279779999679883
iotsim-ip-camera-street,H4_c1_supcon_rex_proto_selective_budget,id_calib,4000,0.1777885933220386,-2.4929460936784746,2.88329167895019,,,,,
iotsim-ip-camera-street,H4_c1_supcon_rex_proto_selective_budget,ood_val,4000,0.14606030747294427,-2.694236474544742,2.9927677042828873,,,,,
iotsim-ip-camera-street,H4_c1_supcon_rex_proto_selective_budget,ood_stress,4000,0.1311924536526203,-2.688568815328181,3.0279779999679883,,,,,
iotsim-ip-camera-street,H4_c1_supcon_rex_proto_selective_budget,support_val,11,,,,0.7417504191398621,2.3651654506102204,0.1777885933220386,-2.4929460936784746,3.0279779999679883
