route,held_value,role,phase,role_kind,rows,hard_alarm_rate,raw_alarm_rate,review_rate,desired_hard_direction,error_rate_for_role,attack_threshold,proto_margin_threshold,review_score_threshold,attack_score_mean,proto_margin_mean
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-ip-camera-street,sealed_final_ood,all,benign_ood_report,4000,0.0025,0.0025,0.0,low,0.0025,0.05668536573648453,-2.577214512387291,2.796508214133792,0.04284244635794312,-2.752892570867203
H1_c1_mlp_ce,iotsim-ip-camera-street,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-ip-camera-street,sealed_final_ood,all,benign_ood_report,4000,0.002,0.002,0.0,low,0.002,0.06547531813383102,-2.5423223499953753,2.7716225670929995,0.04284943374432623,-2.7805826217865106
H2_c1_supcon_proto,iotsim-ip-camera-street,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,sealed_final_ood,all,benign_ood_report,4000,0.002,0.002,0.0,low,0.002,0.1777885933220386,-2.4929460936784746,3.0279779999679883,0.11075688124261797,-2.9294884531864662
H3_c1_supcon_rex_proto,iotsim-ip-camera-street,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,sealed_final_ood,all,benign_ood_report,4000,0.002,0.002,0.0,low,0.002,0.1777885933220386,-2.4929460936784746,3.0279779999679883,0.11075688124261797,-2.9294884531864662
H4_c1_supcon_rex_proto_selective_budget,iotsim-ip-camera-street,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
