candidate,decision,stack,risk_threshold,protect_attack,protect_benign_q,job_index,job_label,weighting,seed,role,role_kind,phase,stage,rows,candidate_hard_alarm_rate,candidate_veto_rate,candidate_review_rate,candidate_unknown_rate,candidate_high_risk_rate,candidate_attack_protected_rate,temporal_hard_alarm_rate,parent_hard_alarm_rate,raw_alarm_rate,temporal_attack_score_mean,temporal_attack_score_p50,temporal_attack_score_p95,temporal_ood_risk_mean,temporal_ood_risk_p50,temporal_ood_risk_p95,candidate_risk_score_mean,candidate_risk_score_p50,candidate_risk_score_p95,attack_score_mean,attack_score_p50,attack_score_p95,ood_risk_mean,ood_risk_p50,ood_risk_p95,d_attack_outer_min_mean,d_attack_outer_min_p50,d_attack_outer_min_p95,d_benign_core_min_mean,d_benign_core_min_p50,d_benign_core_min_p95
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,id_calib,benign_id,select,calibration_select,51497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9398358920778937e-05,2.939835892077895e-05,2.939835892077895e-05,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.0010651022289402997,0.0005341049064513134,0.0015224606485662478,0.9909550198300342,0.9909550198300345,0.9909550198300345,0.840859997972337,0.22583690285682678,1.94617919921875,0.15997714714100691,0.15714775025844574,0.20686061978340148
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_val,benign_ood,select,calibration_select,12205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.939835892077894e-05,2.939835892077895e-05,2.939835892077895e-05,0.9999706016410793,0.9999706016410792,0.9999706016410792,0.9999706016410793,0.9999706016410792,0.9999706016410792,0.001778519968191349,0.001207696103976683,0.0056051740456954475,0.9909550198300342,0.9909550198300345,0.9909550198300345,0.56016982467826,0.3675714135169983,1.8069212675094604,0.2521576992364349,0.2338835448026657,0.4508522093296051
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,support_val,attack,select,calibration_select,69,0.9420289855072463,0.0,0.0,0.057971014492753624,0.0,0.9420289855072463,0.9420289855072463,0.9565217391304348,0.9420289855072463,0.9418617553797188,0.9998206696579218,0.9998206696579218,0.058138244620281075,0.00017933034207811882,0.6000540931214731,0.058138244620281075,0.00017933034207811882,0.6000540931214731,0.9004846988342765,0.9835967173452959,0.9973929916932834,0.06590606844011446,0.009044584766142269,0.5956712257535788,0.1912225975614527,0.20870047807693481,0.2970812141895294,4.949573464313711,0.22832384705543518,32.90724868774414
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_stress,benign_ood,fit,hard_ood_dev_fit,149950,0.6827209069689897,0.0,0.0,0.3172790930310103,0.0,0.6827209069689897,0.6827209069689897,0.6827209069689897,0.6827209069689897,0.682607801879854,0.9998206696579218,0.9998206696579218,0.317392198120146,0.00017933034207811882,0.9999706016410792,0.317392198120146,0.00017933034207811882,0.9999706016410792,0.6628432076672243,0.9961096050362873,0.9961096050362873,0.3205842370408986,0.009044584766142269,0.9909550198300345,0.1308988538031659,0.12803010642528534,0.1382742077112198,1.2217648579927194,1.2441378831863403,1.4362099051475523
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_stress,benign_ood,select,hard_ood_dev_select,79950,0.6834896810506567,0.0,0.0,0.31651031894934334,0.0,0.6834896810506567,0.6834896810506567,0.6834896810506567,0.6834896810506567,0.6833764154963056,0.9998206696579218,0.9998206696579218,0.3166235845036944,0.00017933034207811882,0.9999706016410792,0.3166235845036944,0.00017933034207811882,0.9999706016410792,0.6632812522003414,0.9961096050362873,0.9961096050362873,0.3198293697479032,0.009044584766142269,0.9909550198300345,0.13099583898450226,0.12810561060905457,0.13861535713076592,1.1925257397122946,1.2332006096839905,1.433415526151657
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,same_file_query,attack,,read_only,125679,0.9658813326013097,0.0,0.0,0.034118667398690315,0.0,0.9658813326013097,0.9658813326013097,0.9765354593846227,0.9658813326013097,0.9657091238043574,0.9998206696579218,0.9998206696579218,0.034290876195642486,0.00017933034207811882,0.00017933034207811882,0.034290876195642486,0.00017933034207811882,0.00017933034207811882,0.8749839850157025,0.9835967173452959,0.9985625810899673,0.042500684874397794,0.009044584766142269,0.009044584766142269,0.2793733999720786,0.2682771384716034,0.6038384020328519,6.990577576476779,0.9336416125297546,33.233313369750974
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,future_query,attack,,read_only,378145,0.4845866003781618,0.0,0.0,0.5154133996218382,0.0,0.45471975036031154,0.4845866003781618,0.542392468497534,0.4845866003781618,0.48451485160546415,2.939835892077895e-05,0.9998206696579218,0.515485148394536,0.9999706016410792,0.9999706016410792,0.515485148394536,0.9999706016410792,0.9999706016410792,0.5072045068384974,0.43425887036936284,0.9961096050362873,0.5148854688133191,0.9867556530785457,0.9909550198300345,12.030564596396804,0.2228345423936844,0.4169149458408354,3.998445289193905,0.17790484428405762,28.885646057128906
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,sealed_final_ood,benign_ood,,report_only,154900,0.9966107165913493,0.0,0.0,0.0033892834086507425,0.0,0.9966107165913493,0.9966107165913493,0.9966107165913493,0.9966107165913493,0.9964320936899942,0.9998206696579218,0.9998206696579218,0.003567906310005655,0.00017933034207811882,0.00017933034207811882,0.003567906310005655,0.00017933034207811882,0.00017933034207811882,0.992872270414058,0.9961096050362873,0.9961096050362873,0.012372557512485349,0.009044584766142269,0.009044584766142269,0.1326267429351268,0.12875311821699142,0.15603312477469433,1.2368373185322603,1.240908920764923,1.5765157461166381
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,sealed_final_attack,attack,,report_only,110104,0.6993115599796556,0.0,0.0,0.3006884400203444,0.0,0.6979310470100996,0.6993115599796556,0.6993115599796556,0.6993115599796556,0.6991949919450683,0.9998206696579218,0.9998206696579218,0.3008050080549317,0.00017933034207811882,0.9999706016410792,0.3008050080549317,0.00017933034207811882,0.9999706016410792,0.6574061675784497,0.925875775839104,0.9970985476596583,0.30429370172520165,0.009044584766142269,0.9909550198300345,0.35019770276203643,0.29835131764411926,0.8014458090066909,2.1013809560416727,0.4855678081512451,10.782660722732544
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,id_calib,benign_id,select,calibration_select,51497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9398358920778937e-05,2.939835892077895e-05,2.939835892077895e-05,0.89562882733196,0.8956288273319604,0.8956288273319604,0.89562882733196,0.8956288273319604,0.8956288273319604,0.0010651022289402997,0.0005341049064513134,0.0015224606485662478,0.970500124852991,0.9721017744456782,0.9721017744456782,0.840859997972337,0.22583690285682678,1.94617919921875,0.15997714714100691,0.15714775025844574,0.20686061978340148
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_val,benign_ood,select,calibration_select,12205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.939835892077894e-05,2.939835892077895e-05,2.939835892077895e-05,0.8956288273319601,0.8956288273319604,0.8956288273319604,0.8956288273319601,0.8956288273319604,0.8956288273319604,0.001778519968191349,0.001207696103976683,0.0056051740456954475,0.9682503582373466,0.9721017744456782,0.9725890770212774,0.56016982467826,0.3675714135169983,1.8069212675094604,0.2521576992364349,0.2338835448026657,0.4508522093296051
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,support_val,attack,select,calibration_select,69,0.7101449275362319,0.0,0.0,0.0,0.0,0.7101449275362319,0.7101449275362319,0.9565217391304348,0.7101449275362319,0.710026098266907,0.9998206696579218,0.9998206696579218,0.4372045348550553,0.10484692280929911,0.8956288273319604,0.4372045348550553,0.10484692280929911,0.8956288273319604,0.9004846988342765,0.9835967173452959,0.9973929916932834,0.27815412738394824,0.034217046233162525,0.9714140694040855,0.1912225975614527,0.20870047807693481,0.2970812141895294,4.949573464313711,0.22832384705543518,32.90724868774414
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_stress,benign_ood,fit,hard_ood_dev_fit,149950,0.0013737912637545849,0.0,0.0,0.0,0.0,0.0013737912637545849,0.0013737912637545849,0.5149049683227742,0.0013737912637545849,0.0014029028730094366,2.939835892077895e-05,2.939835892077895e-05,0.8951963890780699,0.8956288273319604,0.8956288273319604,0.8951963890780699,0.8956288273319604,0.8956288273319604,0.6628432076672243,0.9961096050362873,0.9961096050362873,0.967733383739169,0.9703825118416962,0.9703825118416962,0.1308988538031659,0.12803010642528534,0.1382742077112198,1.2217648579927194,1.2441378831863403,1.4362099051475523
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,ood_stress,benign_ood,select,hard_ood_dev_select,79950,0.0013008130081300813,0.0,0.0,0.0,0.0,0.0013008130081300813,0.0013008130081300813,0.5155597248280175,0.0013008130081300813,0.0013299398500414305,2.939835892077895e-05,2.939835892077895e-05,0.8951738433718845,0.8956288273319604,0.8956288273319604,0.8951738433718845,0.8956288273319604,0.8956288273319604,0.6632812522003414,0.9961096050362873,0.9961096050362873,0.967586509188106,0.9703825118416962,0.9703825118416962,0.13099583898450226,0.12810561060905457,0.13861535713076592,1.1925257397122946,1.2332006096839905,1.433415526151657
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,same_file_query,attack,,read_only,125679,0.8078517492978142,0.0,0.0,0.0,0.0,0.8078517492978142,0.8078517492978142,0.9795749488776964,0.8078517492978142,0.8077125258105042,0.9998206696579218,0.9998206696579218,0.6789674590816295,0.8956288273319604,0.8956288273319604,0.6789674590816295,0.8956288273319604,0.8956288273319604,0.8749839850157025,0.9835967173452959,0.9985625810899673,0.26044876867513433,0.18922693850534264,0.9703825118416962,0.2793733999720786,0.2682771384716034,0.6038384020328519,6.990577576476779,0.9336416125297546,33.233313369750974
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,6,strict_weight4_seed42,strict_frozen_weight4,42,future_query,attack,,read_only,378145,0.4338758941675812,0.0,0.0,0.0,0.0,0.40400904414973093,0.4338758941675812,0.585423580901506,0.4338758941675812,0.4338147301747178,2.939835892077895e-05,0.9998206696579218,0.6759698592928329,0.8956288273319604,0.8956288273319604,0.6759698592928329,0.8956288273319604,0.8956288273319604,0.5072045068384974,0.43425887036936284,0.9961096050362873,0.5204684052827132,0.45426011914891956,0.9725890770212774,12.030564596396804,0.2228345423936844,0.4169149458408354,3.998445289193905,0.17790484428405762,28.885646057128906
