dataset,holdout,method,seed,seed_group,ood_target,ood_target_label,threshold,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,ood_val_alarm_at_selection,id_calib_alarm_at_selection
primary_lowood,primary_lowood,M3_source_rich_top32_kcenter64_fixed_guard,44,main_42_46,0.008,0.8pct,-3.365456147684626,True,True,False,False,0.008,0.0028
primary_lowood,primary_lowood,M3_source_rich_top32_kcenter64_fixed_guard,44,main_42_46,0.01,1.0pct,-3.5349695206729077,True,True,False,False,0.01,0.0034
primary_lowood,primary_lowood,M3_source_rich_top32_kcenter64_fixed_guard,44,main_42_46,0.012,1.2pct,-3.7321768342754478,True,True,False,False,0.012,0.0054
primary_lowood,primary_lowood,M3_source_rich_top32_kcenter64_fixed_guard,44,main_42_46,0.015,1.5pct,-3.959410598828532,True,True,False,False,0.015,0.0094
primary_lowood,primary_lowood,M3_source_rich_top32_kcenter64_fixed_guard,44,main_42_46,0.02,2.0pct,-4.272374099646548,True,True,False,False,0.0195,0.02
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.005,0.5pct,2.731169235116356,True,True,False,False,0.002,0.0048
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.008,0.8pct,2.2356464231684967,True,True,False,False,0.002,0.008
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.01,1.0pct,0.5530462766700903,True,True,False,False,0.004,0.01
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.012,1.2pct,-0.6504439653707231,True,True,False,False,0.009,0.0118
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.015,1.5pct,-1.4917582906150122,True,True,False,False,0.012,0.0148
primary_lowood,primary_lowood,M4_source_rich_top32_kcenter128_fixed_guard,44,main_42_46,0.02,2.0pct,-2.0362600351332754,True,True,False,False,0.014,0.02
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.005,0.5pct,3.7070877287354107,True,True,False,False,0.0,0.005
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.008,0.8pct,1.7529884824911588,True,True,False,False,0.0,0.0078
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.01,1.0pct,0.9029007152382801,True,True,False,False,0.0,0.0098
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.012,1.2pct,0.47124633145325534,True,True,False,False,0.0,0.012
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.015,1.5pct,-1.6808596435527197,True,True,False,False,0.0045,0.015
