dataset,holdout,split_protocol,method,method_group,representation,adapter,support_method,support_size,support_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,feature_dim,selected_topk,hard_negative_count,train_time,inference_time,parameter_count,provenance_clean,threshold_diagnostic_only,final_eval_used_for_selection
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.01,1.0pct,0.983276290909091,0.96859840734783,0.9447272727272727,0.0011,True,-2.728787762819004,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,False,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.012,1.2pct,0.983276290909091,0.96859840734783,0.9447272727272727,0.0011,True,-2.80501408678755,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.015,1.5pct,0.983276290909091,0.96859840734783,0.9454545454545454,0.0012,True,-2.879304775335605,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.02,2.0pct,0.983276290909091,0.96859840734783,0.9454545454545454,0.0015,True,-3.0122047303719746,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.005,0.5pct,0.9545896,0.9422806208720851,0.8698181818181818,0.0034,True,0.8227135750337576,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.008,0.8pct,0.9545896,0.9422806208720851,0.8741818181818182,0.0035,True,0.6582405219288783,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.01,1.0pct,0.9545896,0.9422806208720851,0.8770909090909091,0.0036,True,0.5732657166769332,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,False,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.012,1.2pct,0.9545896,0.9422806208720851,0.8785454545454545,0.0036,True,0.457143862720154,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.015,1.5pct,0.9545896,0.9422806208720851,0.88,0.0037,True,0.2612653654966432,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,selected_source_rich_top16,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.02,2.0pct,0.9545896,0.9422806208720851,0.888,0.0039,True,-0.1260793574850285,1375,10000,16,16,0,0.0833305999985896,0.0026856000040424988,17,True,True,False
