seed,scorer_kind,weighting_policy,subspace_name,region_policy,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,attack_outer_norm,benign_core_norm,conflict_slack,review_budget,role,rows,attack_outer_p50,attack_outer_p95,benign_outer_p50,benign_outer_p95,score_strength_mean
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,id_calib,600,0.13059793412685394,0.3807406336069107,0.0008982758154161274,0.002319304272532463,-0.05087995012378387
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_val,1500,0.12500353902578354,13427.830615234374,0.0005205014022067189,0.0008477508090436459,-0.051243398610660074
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_stress_val,2850,0.1223280169069767,146.755923461914,0.0006632967852056026,1.2114520072937012,-0.038141414742089576
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_medium_val,16,0.08104236423969269,0.30961962044239044,0.0010248480830341578,0.0015553900739178061,0.6140792552666952
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_heavy_val,8,0.33481043577194214,0.3754059791564941,0.021231913939118385,0.021329127252101898,0.8396794770581206
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_medium_query,66,0.1205792985856533,0.5818503350019455,0.0011692888801917434,0.01890018954873085,0.5474101775925158
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_heavy_query,35,0.31193628907203674,0.3359381973743438,0.013395333662629128,0.013533176854252815,0.7251076667001027
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,medium_attack_eval_report_only,2250,0.10321839526295662,0.12653094157576533,0.0008614691905677319,0.0014151036739349365,0.2870395258793174
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,dev_heavy_query_report_only,4000,0.3295573443174362,4.3566634178161525,0.013538473285734653,0.02130798064172268,0.7099351436887504
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,final_ood_report_only,3000,0.12077419832348824,0.6850177377462388,0.0006447070045396686,0.005457394290715456,-0.030944930791817274
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,id_calib,600,0.42412109673023224,0.9245798230171203,0.0008982758154161274,0.002319304272532463,-0.062055040555753546
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_val,1500,0.40980711579322815,19455.49462890625,0.0005205014022067189,0.0008477508090436459,-0.05397544313045008
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_stress_val,2850,0.41601160168647766,234.916803741455,0.0006632967852056026,1.2114520072937012,-0.03826558732274995
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_medium_val,24,0.39456456899642944,0.48536260873079295,0.0011740056797862053,0.0022576439660042524,0.5845539247174799
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_heavy_val,9,0.42981278896331787,0.4813310384750366,0.013317299075424671,0.01356480736285448,0.6126817680639834
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_medium_query,34,0.36183126270771027,0.676911473274231,0.0010957936756312847,0.002157686511054635,0.5560194645962152
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_heavy_query,31,0.6765246987342834,0.8383304178714752,0.021223431453108788,0.021324507892131805,0.4879780924346639
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,medium_attack_eval_report_only,2250,0.3924192190170288,0.40191859751939774,0.0008614691905677319,0.0014151036739349365,0.4530044028780009
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,dev_heavy_query_report_only,4000,0.6800470054149628,6.223160076141344,0.013538473285734653,0.02130798064172268,0.5826278763246454
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,final_ood_report_only,3000,0.41197261214256287,1.1964651465415952,0.0006447070045396686,0.005457394290715456,-0.04092738135888894
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,id_calib,600,0.5020116716623306,2.5431068301200863,0.0008982758154161274,0.002319304272532463,-0.08690752227923158
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_val,1500,0.7343806326389313,21415.85908203125,0.0005205014022067189,0.0008477508090436459,-0.08754116369314814
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_stress_val,2850,0.4831686168909073,665.9232360839837,0.0006632967852056026,1.2114520072937012,-0.05831565671130342
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_medium_val,25,0.4852958917617798,0.9325643539428702,0.0011203120229765773,0.002424899721518159,0.6701505579234504
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_heavy_val,8,0.45187853276729584,0.9382299572229384,0.021221045404672623,0.02127664163708687,0.7163345443931273
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_medium_query,28,0.4731828272342682,0.6817383944988251,0.0010406742803752422,0.0019049114780500531,0.4232236908228531
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_heavy_query,33,0.7589507102966309,1.0310881853103637,0.013395333662629128,0.013535573147237301,0.2660993304846753
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,medium_attack_eval_report_only,2250,0.3022877871990204,0.5882267445325848,0.0008614691905677319,0.0014151036739349365,0.4097993573716155
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,dev_heavy_query_report_only,4000,0.7286962568759918,17.784454536437977,0.013538473285734653,0.02130798064172268,0.48074302015101533
45,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,final_ood_report_only,3000,0.4102689176797867,3.6884840369224503,0.0006447070045396686,0.005457394290715456,-0.0688710770287249
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,id_calib,600,0.13968148082494736,0.3872699454426765,0.0008982758154161274,0.002319304272532463,-0.17968157382031846
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_val,1500,0.12915730476379395,3081.2258544921874,0.0005205014022067189,0.0008477508090436459,-0.18460014329347438
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_stress_val,2850,0.13632187992334366,108.26024208068847,0.0006632967852056026,1.2114520072937012,-0.17997004618511014
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_medium_val,16,0.10456465184688568,0.12872527912259102,0.0012170441914349794,0.002137476811185479,0.4328469057899058
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_heavy_val,8,0.3017485588788986,0.3116869628429413,0.013429545797407627,0.013512627221643925,0.6782109157443396
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_medium_query,66,0.1254315823316574,0.5636133179068565,0.0011692888801917434,0.01890018954873085,0.37460941059529507
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_heavy_query,35,0.3277648091316223,0.4329732626676551,0.021217122673988342,0.021321387961506844,0.450865908164128
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,medium_attack_eval_report_only,2250,0.1251404657959938,0.13379072695970534,0.0008614691905677319,0.0014151036739349365,0.22683884135742285
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,dev_heavy_query_report_only,4000,0.32862599194049835,3.65980584621429,0.013538473285734653,0.02130798064172268,0.4106041759685281
46,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,final_ood_report_only,3000,0.13387136161327362,0.7079131335020065,0.0006447070045396686,0.005457394290715456,-0.17408876430532927
