candidate_name,seed,medium_support_to_pseudo_q50_gap,heavy_support_to_pseudo_q50_gap,dev_attack_hard_min,report_only_attack_hard_min,uses_report_only_for_selection
lda_metric_HH_HpHp__ood_val_only,44,0.2524871230125427,0.07778167724609375,0.2647058823529412,0.20266666666666666,False
lda_metric_HH_HpHp__ood_val_plus_stress,44,0.2524871230125427,0.07778167724609375,0.0,0.0,False
lda_metric_MI_H_HHjit__ood_val_only,44,-0.028630167245864868,-2.0019683837890625,0.20833333333333334,0.668,False
lda_metric_MI_H_HHjit__ood_val_plus_stress,44,-0.028630167245864868,-2.0019683837890625,0.125,0.648,False
calibrated_two_head_margin__ood_val_only,45,0.10062233634328277,0.0,0.6428571428571429,0.9373333333333334,False
calibrated_two_head_margin__ood_val_plus_stress,45,0.10062233634328277,0.0,0.0,0.0,False
logistic_twohead_fusion_uniform_rows__ood_val_only,45,0.059814957953814196,0.0,0.6428571428571429,0.9373333333333334,False
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,45,0.059814957953814196,0.0,0.6428571428571429,0.8795555555555555,False
logistic_twohead_fusion_balanced_regions__ood_val_only,45,0.00030225953613194356,0.0,0.6428571428571429,0.9373333333333334,False
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,45,0.00030225953613194356,0.0,0.6428571428571429,0.756,False
lda_metric_all115__ood_val_only,45,-0.07114815711975098,56.57853889465332,0.25,0.696,False
lda_metric_all115__ood_val_plus_stress,45,-0.07114815711975098,56.57853889465332,0.0,0.0,False
lda_metric_HH_HpHp__ood_val_only,45,0.6808035373687744,54.51163864135742,0.10714285714285714,0.03777777777777778,False
lda_metric_HH_HpHp__ood_val_plus_stress,45,0.6808035373687744,54.51163864135742,0.0,0.0,False
lda_metric_MI_H_HHjit__ood_val_only,45,0.12067142128944397,43.838233947753906,0.12,0.664,False
lda_metric_MI_H_HHjit__ood_val_plus_stress,45,0.12067142128944397,43.838233947753906,0.12,0.6573333333333333,False
calibrated_two_head_margin__ood_val_only,46,0.2490421084190777,0.0,0.9375,0.992,False
calibrated_two_head_margin__ood_val_plus_stress,46,0.2490421084190777,0.0,0.45454545454545453,0.33644444444444443,False
logistic_twohead_fusion_uniform_rows__ood_val_only,46,0.29937127268824937,0.0,0.9375,0.992,False
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,46,0.29937127268824937,0.0,0.8857142857142857,0.9915555555555555,False
logistic_twohead_fusion_balanced_regions__ood_val_only,46,2.313400935372023e-06,0.0,0.9375,0.992,False
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,46,2.313400935372023e-06,0.0,0.9375,0.9915555555555555,False
lda_metric_all115__ood_val_only,46,0.5497892200946808,5.480234146118164,0.3333333333333333,0.7737777777777778,False
lda_metric_all115__ood_val_plus_stress,46,0.5497892200946808,5.480234146118164,0.13636363636363635,0.6017777777777777,False
lda_metric_HH_HpHp__ood_val_only,46,0.6806716322898865,3.402141571044922,0.30303030303030304,0.6151111111111112,False
lda_metric_HH_HpHp__ood_val_plus_stress,46,0.6806716322898865,3.402141571044922,0.0,0.014222222222222223,False
lda_metric_MI_H_HHjit__ood_val_only,46,-0.041395366191864014,-1.3105297088623047,0.045454545454545456,0.6635555555555556,False
lda_metric_MI_H_HHjit__ood_val_plus_stress,46,-0.041395366191864014,-1.3105297088623047,0.045454545454545456,0.6635555555555556,False
