feature_index,feature_name,finite_rate,nan_count,inf_count,std,min,max
63,HH_0.01_covariance_0_1,1.0,0,0,7757.1708984375,-615523.6875,13313.6728515625
64,HH_0.01_pcc_0_1,1.0,0,0,0.2393014132976532,-6.901841163635254,3.8891091346740723
65,HH_jit_5_weight,1.0,0,0,699.0318603515625,1.0,7249.2099609375
66,HH_jit_5_mean,1.0,0,0,94.166259765625,0.0,3833.8681640625
67,HH_jit_5_std,1.0,0,0,44082.38671875,0.0,3674636.0
68,HH_jit_3_weight,1.0,0,0,697.8069458007812,1.0,7249.5361328125
69,HH_jit_3_mean,1.0,0,0,94.16370391845703,0.0,3833.8681640625
70,HH_jit_3_std,1.0,0,0,44091.54296875,0.0,3674636.0
71,HH_jit_1_weight,1.0,0,0,696.244384765625,1.0,7251.38427734375
72,HH_jit_1_mean,1.0,0,0,94.15739440917969,0.0,3833.8681640625
73,HH_jit_1_std,1.0,0,0,44100.7109375,0.0,3674636.0
74,HH_jit_0.1_weight,1.0,0,0,1174.5634765625,1.0,7278.28955078125
75,HH_jit_0.1_mean,1.0,0,0,94.1438980102539,0.0,3833.8681640625
76,HH_jit_0.1_std,1.0,0,0,44105.0234375,0.0,3674636.0
77,HH_jit_0.01_weight,1.0,0,0,8341.7421875,1.0,23425.94921875
78,HH_jit_0.01_mean,1.0,0,0,93.78179168701172,0.0,3833.8681640625
79,HH_jit_0.01_std,1.0,0,0,44107.9765625,0.0,3674636.0
80,HpHp_5_weight_0,1.0,0,0,6087.5302734375,1.0,31609.224609375
81,HpHp_5_mean_0,1.0,0,0,655.8427734375,42.0,1514.0
82,HpHp_5_std_0,1.0,0,0,44725.91015625,0.0,523456.53125
83,HpHp_5_radius_0_1,1.0,0,0,45463.8046875,0.0,523456.53125
84,HpHp_5_magnitude_0_1,1.0,0,0,634.4210205078125,42.0,1515.5263671875
85,HpHp_5_covariance_0_1,1.0,0,0,239.88999938964844,-6400.25390625,11550.36328125
86,HpHp_5_pcc_0_1,1.0,0,0,7200.859375,-925547.4375,1058686.875
87,HpHp_3_weight_0,1.0,0,0,6083.1259765625,1.0,31609.560546875
88,HpHp_3_mean_0,1.0,0,0,654.4420166015625,42.0,1514.0
89,HpHp_3_std_0,1.0,0,0,45066.8828125,0.0,513235.8125
90,HpHp_3_radius_0_1,1.0,0,0,46053.66796875,0.0,513235.8125
91,HpHp_3_magnitude_0_1,1.0,0,0,633.017578125,42.0,1515.5263671875
92,HpHp_3_covariance_0_1,1.0,0,0,259.9161071777344,-7673.7080078125,11659.01953125
93,HpHp_3_pcc_0_1,1.0,0,0,7467.95068359375,-908333.75,1198264.0
94,HpHp_1_weight_0,1.0,0,0,6061.587890625,1.0,31611.423828125
95,HpHp_1_mean_0,1.0,0,0,652.637451171875,42.0,1514.0
96,HpHp_1_std_0,1.0,0,0,46254.453125,0.0,523288.0
97,HpHp_1_radius_0_1,1.0,0,0,47874.8046875,0.0,523288.0
98,HpHp_1_magnitude_0_1,1.0,0,0,631.1492309570312,42.0,1515.5263671875
99,HpHp_1_covariance_0_1,1.0,0,0,353.4869689941406,-9645.72265625,11722.095703125
100,HpHp_1_pcc_0_1,1.0,0,0,50.729103088378906,-7077.6826171875,4684.185546875
101,HpHp_0.1_weight_0,1.0,0,0,5868.5615234375,1.0,31638.076171875
102,HpHp_0.1_mean_0,1.0,0,0,648.9269409179688,42.0,1514.0
103,HpHp_0.1_std_0,1.0,0,0,57261.1171875,0.0,521701.71875
104,HpHp_0.1_radius_0_1,1.0,0,0,62014.81640625,0.0,521701.71875
105,HpHp_0.1_magnitude_0_1,1.0,0,0,626.5067138671875,42.0,1514.0
106,HpHp_0.1_covariance_0_1,1.0,0,0,699.2346801757812,-10364.2119140625,11710.8701171875
107,HpHp_0.1_pcc_0_1,1.0,0,0,0.3780995011329651,-4.5129523277282715,3.9610321521759033
108,HpHp_0.01_weight_0,1.0,0,0,8807.6396484375,1.0,31873.09765625
109,HpHp_0.01_mean_0,1.0,0,0,647.187255859375,42.0,1514.0
110,HpHp_0.01_std_0,1.0,0,0,65581.8046875,0.0,521083.09375
111,HpHp_0.01_radius_0_1,1.0,0,0,73571.5703125,0.0,521083.09375
112,HpHp_0.01_magnitude_0_1,1.0,0,0,624.1207275390625,42.0,1514.0
113,HpHp_0.01_covariance_0_1,1.0,0,0,243.87449645996094,-3782.607177734375,12437.25
114,HpHp_0.01_pcc_0_1,1.0,0,0,0.3492022454738617,-2.592528820037842,3.7754619121551514
