evaluation_role,dataset,holdout,seed,seed_group,alpha,selected_by_validation,threshold,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct,final_metrics_report_only
locked,locked_harder_holdout,holdout_bin_6,47,heldout_47_51,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,47,heldout_47_51,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,47,heldout_47_51,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,47,heldout_47_51,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,47,heldout_47_51,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,48,heldout_47_51,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,48,heldout_47_51,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,48,heldout_47_51,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,48,heldout_47_51,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,48,heldout_47_51,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
