evaluation_role,dataset,holdout,method,seed_group,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate
locked,locked_harder_holdout,holdout_bin_5,F1_V2_top64_baseline,main_42_46,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_5,F2_linear_alpha_selected,heldout_47_51,0.9836411246655171,0.9680729760547321,0.9680729760547321,0.0032,1.0
locked,locked_harder_holdout,holdout_bin_5,F2_linear_alpha_selected,main_42_46,0.9839012622978061,0.9689851767388825,0.9678449258836945,0.0032,1.0
locked,locked_harder_holdout,holdout_bin_5,F3_residual_lr_selected,heldout_47_51,0.983236593457596,0.9870011402508553,0.9680729760547321,0.0065,1.0
locked,locked_harder_holdout,holdout_bin_5,F3_residual_lr_selected,main_42_46,0.98376145264521,0.9908779931584949,0.9680729760547321,0.0049,1.0
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,heldout_47_51,0.9820424815067355,0.9744583808437856,0.9685290763968073,0.0057,1.0
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,main_42_46,0.9816345123565375,0.9744583808437856,0.9685290763968073,0.0057,1.0
locked,locked_harder_holdout,holdout_bin_6,F0_V1_baseline,heldout_47_51,0.9610841419886647,0.993006993006993,0.979020979020979,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_6,F0_V1_baseline,main_42_46,0.9610841419886647,0.993006993006993,0.979020979020979,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_6,F1_V2_top64_baseline,heldout_47_51,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_6,F1_V2_top64_baseline,main_42_46,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_6,F2_linear_alpha_selected,heldout_47_51,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1.0
locked,locked_harder_holdout,holdout_bin_6,F2_linear_alpha_selected,main_42_46,0.9849547437487136,0.9710289710289711,0.97002997002997,0.0035,1.0
locked,locked_harder_holdout,holdout_bin_6,F3_residual_lr_selected,heldout_47_51,0.9841685952238717,0.9868131868131869,0.97002997002997,0.0066,1.0
locked,locked_harder_holdout,holdout_bin_6,F3_residual_lr_selected,main_42_46,0.9846384771007888,0.991008991008991,0.97002997002997,0.0052,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,heldout_47_51,0.982890476357813,0.9742257742257742,0.97002997002997,0.0057,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,main_42_46,0.9825159764858258,0.9742257742257742,0.97002997002997,0.0057,1.0
locked,locked_harder_holdout,holdout_bin_7,F0_V1_baseline,heldout_47_51,0.9792124513892864,1.0,0.9973707274320771,0.002,1.0
locked,locked_harder_holdout,holdout_bin_7,F0_V1_baseline,main_42_46,0.9792124513892864,1.0,0.9973707274320771,0.002,1.0
locked,locked_harder_holdout,holdout_bin_7,F1_V2_top64_baseline,heldout_47_51,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0041,1.0
locked,locked_harder_holdout,holdout_bin_7,F1_V2_top64_baseline,main_42_46,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0041,1.0
locked,locked_harder_holdout,holdout_bin_7,F2_linear_alpha_selected,heldout_47_51,0.9885976772556913,0.9780893952673095,0.9780893952673095,0.003,1.0
locked,locked_harder_holdout,holdout_bin_7,F2_linear_alpha_selected,main_42_46,0.9886760709771469,0.9780893952673095,0.9780893952673095,0.003,1.0
locked,locked_harder_holdout,holdout_bin_7,F3_residual_lr_selected,heldout_47_51,0.9845722917831929,0.992988606485539,0.9780893952673095,0.0046,1.0
locked,locked_harder_holdout,holdout_bin_7,F3_residual_lr_selected,main_42_46,0.9845722917831929,0.992988606485539,0.9780893952673095,0.0046,1.0
locked,locked_harder_holdout,holdout_bin_7,F4_conservative_max_selected,heldout_47_51,0.9859930678810354,0.9810692375109553,0.9780893952673095,0.005,1.0
locked,locked_harder_holdout,holdout_bin_7,F4_conservative_max_selected,main_42_46,0.9842366961890964,0.9840490797546012,0.9780893952673095,0.0051,1.0
locked,locked_harder_holdout,holdout_bin_8,F0_V1_baseline,heldout_47_51,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0053,1.0
locked,locked_harder_holdout,holdout_bin_8,F0_V1_baseline,main_42_46,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0053,1.0
locked,locked_harder_holdout,holdout_bin_8,F1_V2_top64_baseline,heldout_47_51,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0042,1.0
locked,locked_harder_holdout,holdout_bin_8,F1_V2_top64_baseline,main_42_46,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0042,1.0
locked,locked_harder_holdout,holdout_bin_8,F2_linear_alpha_selected,heldout_47_51,0.9426946941279166,0.895774647887324,0.887793427230047,0.0026,1.0
locked,locked_harder_holdout,holdout_bin_8,F2_linear_alpha_selected,main_42_46,0.9426946941279166,0.895774647887324,0.887793427230047,0.0026,1.0
locked,locked_harder_holdout,holdout_bin_8,F3_residual_lr_selected,heldout_47_51,0.9240333121004081,0.892018779342723,0.8873239436619718,0.0046,1.0
locked,locked_harder_holdout,holdout_bin_8,F3_residual_lr_selected,main_42_46,0.9241371175124448,0.892018779342723,0.8873239436619718,0.0048,1.0
locked,locked_harder_holdout,holdout_bin_8,F4_conservative_max_selected,heldout_47_51,0.9191379432373135,0.8896713615023474,0.8873239436619718,0.0065,1.0
locked,locked_harder_holdout,holdout_bin_8,F4_conservative_max_selected,main_42_46,0.9247056880647369,0.8896713615023474,0.8873239436619718,0.0065,1.0
