evaluation_role,dataset,holdout,split_protocol,method,method_group,candidate,fusion_family,selected_config_id,seed,seed_group,ood_target,threshold,support_size,feature_dim,train_time,inference_time,parameter_count,provenance_clean,final_eval_used_for_selection,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,51,heldout_47_51,0.01,-4.102580408336336,32,64,0.3289983000140637,0.019107099971733987,65,True,False,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.90,51,heldout_47_51,0.01,1.8322651301399804,32,2,6.350001785904169e-05,0.09821999998530373,0,True,False,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,51,heldout_47_51,0.01,-4.651984122472564,32,5,0.0239280000096187,0.09950329997809604,6,True,False,0.9995380843785633,0.9952455423608991,0.9837614526452101,0.9908779931584949,0.9680729760547321,0.0049,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_0.75,51,heldout_47_51,0.01,1.9470669667280993,32,2,5.1799986977130175e-05,0.09383119997801259,0,True,False,0.9994582668187001,0.9944996173769707,0.9807819026718542,0.9680729760547321,0.9680729760547321,0.0054,877,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,42,main_42_46,0.01,-2.3665623121180643,32,100,1.0473391999839805,0.03209729999070987,101,True,False,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.9790209790209791,0.0019,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,42,main_42_46,0.01,-4.118561382207412,32,64,0.3307245000032708,0.019860200001858175,65,True,False,0.9826834165834166,0.9750582019196735,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.90,42,main_42_46,0.01,1.857977632703146,32,2,6.410002242773771e-05,0.1043362999917008,0,True,False,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,42,main_42_46,0.01,-4.645508729211221,32,5,0.021181499992962927,0.101506499981042,6,True,False,0.9995252747252747,0.9957875868252555,0.9846384771007887,0.991008991008991,0.97002997002997,0.0052,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_0.50,42,main_42_46,0.01,1.9554021961189494,32,2,5.229999078437686e-05,0.1047837000223808,0,True,False,0.9981303696303696,0.9884233427738577,0.9839055416944864,0.97002997002997,0.97002997002997,0.0053,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,43,main_42_46,0.01,-2.3665623121180643,32,100,1.0204278000164777,0.02842290000990033,101,True,False,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.9790209790209791,0.0019,1001,10000,True
