holdout,support_method,budget,seed,seed_group,ood_target,target_label,threshold,attack_high_detection,ood_high_alarm,feasible_for_target,feasible_for_1pct,attack_eval_size,ood_eval_size,roc_auc,pr_auc,attack_margin_q25,attack_margin_q50,attack_margin_q75,ood_margin_q95,ood_margin_q99,train_time,inference_time,parameter_count
chrono_late_train_early_eval,random_32shot_baseline,32,51,heldout_47_51,0.02,2pct,-4.019284242260445,0.6952714535901926,0.003,True,True,3426,10000,0.7139203736135435,0.7602502631184488,-11.410022771616323,11.350287309487632,16.635935107611488,-1.7975876024178623,-0.9712614590973032,0.5655149000231177,0.024331900058314204,101
holdout_bin_2,kcenter_32shot,32,42,main_42_46,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6736576999537647,0.018439800012856722,101
holdout_bin_2,kcenter_32shot,32,42,main_42_46,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6736576999537647,0.018439800012856722,101
holdout_bin_2,kcenter_32shot,32,42,main_42_46,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6736576999537647,0.018439800012856722,101
holdout_bin_2,kcenter_32shot,32,43,main_42_46,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6929949000477791,0.02064769994467497,101
holdout_bin_2,kcenter_32shot,32,43,main_42_46,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6929949000477791,0.02064769994467497,101
holdout_bin_2,kcenter_32shot,32,43,main_42_46,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6929949000477791,0.02064769994467497,101
holdout_bin_2,kcenter_32shot,32,44,main_42_46,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6611080998554826,0.017788900062441826,101
holdout_bin_2,kcenter_32shot,32,44,main_42_46,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6611080998554826,0.017788900062441826,101
holdout_bin_2,kcenter_32shot,32,44,main_42_46,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6611080998554826,0.017788900062441826,101
holdout_bin_2,kcenter_32shot,32,45,main_42_46,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.670440100133419,0.018613900057971478,101
holdout_bin_2,kcenter_32shot,32,45,main_42_46,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.670440100133419,0.018613900057971478,101
holdout_bin_2,kcenter_32shot,32,45,main_42_46,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.670440100133419,0.018613900057971478,101
holdout_bin_2,kcenter_32shot,32,46,main_42_46,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6827670000493526,0.02084930008277297,101
