holdout,support_method,seed,seed_group,ood_target,target_label,threshold,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,threshold_record_source,id_calib_alarm_at_selection,ood_val_alarm_at_selection
chrono_late_train_early_eval,random_32shot_baseline,51,heldout_47_51,0.02,2pct,-4.019284242260445,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
holdout_bin_2,kcenter_32shot,42,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,42,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,42,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,43,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,43,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,43,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,44,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,44,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,44,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,45,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,45,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,45,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,46,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,46,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,46,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,49,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,49,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,49,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,50,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,50,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,50,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,51,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,51,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,51,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,random_32shot_baseline,42,main_42_46,0.005,0.5pct,-4.1054677985168935,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,42,main_42_46,0.01,1pct,-4.493964740794713,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.011,0.0
holdout_bin_2,random_32shot_baseline,42,main_42_46,0.02,2pct,-4.803945624649292,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.0
holdout_bin_2,random_32shot_baseline,43,main_42_46,0.005,0.5pct,-3.6939183629129935,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,43,main_42_46,0.01,1pct,-4.020133028854047,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0102,0.0
holdout_bin_2,random_32shot_baseline,43,main_42_46,0.02,2pct,-4.4054737420580725,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.0
holdout_bin_2,random_32shot_baseline,44,main_42_46,0.005,0.5pct,-3.045744364515329,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,44,main_42_46,0.01,1pct,-3.559022389761504,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0136,0.0005
holdout_bin_2,random_32shot_baseline,44,main_42_46,0.02,2pct,-3.8109525293322233,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
holdout_bin_2,random_32shot_baseline,45,main_42_46,0.005,0.5pct,-2.8315288066858457,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,45,main_42_46,0.01,1pct,-3.481806003392498,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0136,0.0
holdout_bin_2,random_32shot_baseline,45,main_42_46,0.02,2pct,-3.6877092872955464,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
holdout_bin_2,random_32shot_baseline,46,main_42_46,0.005,0.5pct,-3.0050249398378748,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,46,main_42_46,0.01,1pct,-3.5973359498042603,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.014,0.0
holdout_bin_2,random_32shot_baseline,46,main_42_46,0.02,2pct,-3.837193127317633,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
holdout_bin_2,random_32shot_baseline,47,heldout_47_51,0.005,0.5pct,-3.0610947416265297,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,47,heldout_47_51,0.01,1pct,-3.595493096572455,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0134,0.0005
holdout_bin_2,random_32shot_baseline,47,heldout_47_51,0.02,2pct,-3.8596694216983605,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
holdout_bin_2,random_32shot_baseline,48,heldout_47_51,0.005,0.5pct,-2.6734982008024533,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,48,heldout_47_51,0.01,1pct,-3.303419058307803,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0132,0.0005
holdout_bin_2,random_32shot_baseline,48,heldout_47_51,0.02,2pct,-3.6060314638829785,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,random_32shot_baseline,49,heldout_47_51,0.005,0.5pct,-2.8398454496229344,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,49,heldout_47_51,0.01,1pct,-3.402039584608567,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0122,0.0005
holdout_bin_2,random_32shot_baseline,49,heldout_47_51,0.02,2pct,-3.736287462931848,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,random_32shot_baseline,50,heldout_47_51,0.005,0.5pct,-3.0502990266776187,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,50,heldout_47_51,0.01,1pct,-3.565606192773382,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0136,0.0
holdout_bin_2,random_32shot_baseline,50,heldout_47_51,0.02,2pct,-3.814378045067806,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
holdout_bin_2,random_32shot_baseline,51,heldout_47_51,0.005,0.5pct,-2.8475536799911683,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,random_32shot_baseline,51,heldout_47_51,0.01,1pct,-3.5180060297341864,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0134,0.0
holdout_bin_2,random_32shot_baseline,51,heldout_47_51,0.02,2pct,-3.7220237611162794,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.0
