holdout,support_method,seed_group,ood_target,target_label,n_seeds,attack_high_detection_mean,attack_high_detection_min,attack_high_detection_max,ood_high_alarm_mean,ood_high_alarm_max,feasible_rate_for_target,feasible_rate_for_1pct,threshold_mean,roc_auc_mean,pr_auc_mean,attack_margin_q25_mean,attack_margin_q50_mean,attack_margin_q75_mean,ood_margin_q99_mean
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.01,1pct,5,0.6918272037361355,0.6827203736135435,0.695563339171045,0.00152,0.0017,1.0,1.0,-3.4298183240998874,0.7201123876240514,0.7688526724278277,-14.17061030255715,12.751458892941807,18.300177835006,-1.5722730576736748
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.02,2pct,5,0.6925861062463514,0.6833041447752481,0.6964389959136019,0.0017399999999999998,0.0022,1.0,1.0,-3.6607349523299377,0.7201123876240514,0.7688526724278277,-13.939693674327103,12.982375521171857,18.53109446323605,-1.3413564294436247
holdout_bin_2,kcenter_32shot,heldout_47_51,0.005,0.5pct,5,0.32047477744807124,0.32047477744807124,0.32047477744807124,0.001,0.001,1.0,1.0,-2.581646605551015,0.39120140949554894,0.40456989791595277,-52.36406438594234,-19.054650332281774,3.837804891189203,-2.3216922582438198
holdout_bin_2,kcenter_32shot,heldout_47_51,0.01,1pct,5,0.3264094955489614,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,1.0,-3.126371385544741,0.39120140949554894,0.40456989791595277,-51.819339605948606,-18.509925552288045,4.382529671182929,-1.7769674782500942
holdout_bin_2,kcenter_32shot,heldout_47_51,0.02,2pct,5,0.3353115727002967,0.3353115727002967,0.3353115727002967,0.0016,0.0016,1.0,1.0,-3.5529003738716143,0.39120140949554894,0.40456989791595277,-51.39281061762174,-18.083396563961173,4.809058659509802,-1.350438489923221
holdout_bin_2,kcenter_32shot,main_42_46,0.005,0.5pct,5,0.32047477744807124,0.32047477744807124,0.32047477744807124,0.001,0.001,1.0,1.0,-2.581646605551015,0.39120140949554894,0.40456989791595277,-52.36406438594234,-19.054650332281774,3.837804891189203,-2.3216922582438198
holdout_bin_2,kcenter_32shot,main_42_46,0.01,1pct,5,0.3264094955489614,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,1.0,-3.126371385544741,0.39120140949554894,0.40456989791595277,-51.819339605948606,-18.509925552288045,4.382529671182929,-1.7769674782500942
holdout_bin_2,kcenter_32shot,main_42_46,0.02,2pct,5,0.3353115727002967,0.3353115727002967,0.3353115727002967,0.0016,0.0016,1.0,1.0,-3.5529003738716143,0.39120140949554894,0.40456989791595277,-51.39281061762174,-18.083396563961173,4.809058659509802,-1.350438489923221
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.005,0.5pct,5,0.2123145400593472,0.1847181008902077,0.23664688427299704,0.0012799999999999999,0.0014,1.0,1.0,-2.894458219744141,0.2938357418397626,0.2874527532384549,-58.02477749951807,-30.238604088891947,-2.9883069680069836,-2.1026891954306195
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.01,1pct,5,0.22270029673590502,0.19955489614243324,0.24777448071216618,0.00148,0.0018,1.0,1.0,-3.476912792399278,0.2938357418397626,0.2874527532384549,-57.442322926862936,-29.65614951623681,-2.405852395351846,-1.5202346227754815
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.02,2pct,5,0.2271513353115727,0.20400593471810088,0.2529673590504451,0.00162,0.0019,1.0,1.0,-3.747678030939454,0.2938357418397626,0.2874527532384549,-57.171557688322764,-29.38538427769663,-2.1350871568116703,-1.2494693842353057
holdout_bin_2,random_32shot_baseline,main_42_46,0.005,0.5pct,5,0.3143916913946588,0.22700296735905046,0.44881305637982194,0.0013599999999999999,0.0027,1.0,1.0,-3.336336854493787,0.4011678783382789,0.3878275666917035,-41.568864561070285,-16.843148742686232,2.7981568702608226,-2.020831580252599
holdout_bin_2,random_32shot_baseline,main_42_46,0.01,1pct,5,0.3212166172106825,0.23293768545994065,0.45252225519287836,0.0015400000000000001,0.003,1.0,1.0,-3.8304524225214047,0.4011678783382789,0.3878275666917035,-41.07474899304267,-16.349033174658615,3.29227243828844,-1.5267160122249819
holdout_bin_2,random_32shot_baseline,main_42_46,0.02,2pct,5,0.3268545994065282,0.2344213649851632,0.4621661721068249,0.00172,0.0032,1.0,1.0,-4.109054862130554,0.4011678783382789,0.3878275666917035,-40.796146553433516,-16.070430735049467,3.5708748778975883,-1.248113572615833
