control_name,holdout,seed,attack_detection,final_ood_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,id_calib_alarm,ood_val_alarm,threshold,threshold_source,inference_time,support_val_detection,support_val_margin_median,ood_val_q99,selection_feasible_on_ood_val,train_time,expected_behavior,control_status,feasible_under_1pct
positive_control_real_support,holdout_bin_8,42,1.0,0.0001,1.0,1.0,1.0,1.0,0.005,0.0,0.0016210777571729795,id_calib_plus_ood_val_guarded_0.0050,0.05550830002175644,,,0.00016242507402386254,True,0.5597998999874108,should match issue27f perfect result,reference,
label_permutation_same_positive_count,holdout_bin_8,42,0.0,0.004,0.5725190140845071,0.0658470156048862,0.49748743718592964,0.0,0.0048,0.002,0.03126912090092024,,,,,,,0.32644469995284453,attack detection should collapse well below 1.0,normal_collapse,True
ood_benign_as_positive_support,holdout_bin_8,42,0.004694835680751174,0.0043,0.8216523474178403,0.18334279801538145,0.5000825724868474,0.011737089201877934,0.0,0.0045,0.012461499914264023,id_calib_plus_ood_val_guarded_0.0050,0.028197199979331344,,,0.010450027087785587,True,0.40225549996830523,attack detection should collapse because no attack support remains,normal_collapse,
random_50_feature_subset,holdout_bin_8,42,1.0,0.0001,1.0,1.0,1.0,1.0,0.0006,0.0,0.008941338623867754,id_calib_plus_ood_val_guarded_0.0050,0.04369950003456324,,,0.00015034567752611393,True,0.4909277999540791,"may remain strong if attack signal is distributed; persistent perfection is a caution signal, not standalone leakage proof",caution_still_perfect,
threshold_recompute_idcalib_oodval_only,holdout_bin_8,42,1.0,0.0001,1.0,1.0,1.0,1.0,0.005,0.0,0.0016210777571729795,,,,,,,0.0,threshold path should exactly use ID_calib + OOD_val,pass,True
positive_control_real_support,holdout_bin_8,43,1.0,0.0001,1.0,1.0,1.0,1.0,0.005,0.0,0.0021348915703099103,id_calib_plus_ood_val_guarded_0.0050,0.049858200014568865,,,0.00016246407169474966,True,0.563486999948509,should match issue27f perfect result,reference,
label_permutation_same_positive_count,holdout_bin_8,43,0.014084507042253521,0.0042,0.5165384976525822,0.0656066305953768,0.5022648453535282,0.014084507042253521,0.0034,0.005,0.017922338710220278,,,,,,,0.2866251000086777,attack detection should collapse well below 1.0,normal_collapse,True
ood_benign_as_positive_support,holdout_bin_8,43,0.0,0.0069,0.43187241784037556,0.046934560623269735,0.49748743718592964,0.0,0.0006,0.004,0.008229334995494959,id_calib_plus_ood_val_guarded_0.0050,0.016820100019685924,,,0.008229334995494959,True,0.3483805999858305,attack detection should collapse because no attack support remains,normal_collapse,
random_50_feature_subset,holdout_bin_8,43,0.08685446009389672,0.0007,0.6425630281690141,0.2531420967067912,0.5837638898718946,0.2887323943661972,0.0044,0.0005,0.0014195355597141433,id_calib_plus_ood_val_guarded_0.0050,0.04095870000310242,,,0.00022791504216087305,True,0.44669579999754205,"may remain strong if attack signal is distributed; persistent perfection is a caution signal, not standalone leakage proof",weakened_or_nonperfect,
threshold_recompute_idcalib_oodval_only,holdout_bin_8,43,1.0,0.0001,1.0,1.0,1.0,1.0,0.005,0.0,0.0021348915703099103,,,,,,,0.0,threshold path should exactly use ID_calib + OOD_val,pass,True
