seed,budget,threshold_rule,threshold,requested_labels,confirmed_attack_labels,label_efficiency,id_calib_alarm,ood_val_alarm,support_val_detection,final_ood_alarm_report_only,medium_attack_eval_detection_report_only,dev_query_detection_report_only,dev_query_coverage_sufficient_fraction,dev_query_coverage_review_or_better_fraction,final_ood_used_for_selection,attack_eval_used_for_selection,dev_query_used_for_selection
44,32,support_val_guided_empirical_1pct,0.5300888116349906,32,32,1.0,0.0,0.0,0.78125,0.08,0.7982222222222223,0.98775,0.2455,0.30975,False,False,False
44,32,np_orderstat_id_ood_1pct,0.4942885310305075,32,32,1.0,0.0,0.0013333333333333333,0.78125,0.08566666666666667,0.8048888888888889,0.98775,0.2455,0.30975,False,False,False
45,0,support_val_guided_empirical_1pct,0.0636363687409533,0,0,0.0,0.005,0.0,0.96875,0.007666666666666666,0.9924444444444445,0.93375,0.1745,0.1795,False,False,False
45,0,np_orderstat_id_ood_1pct,0.0593461570116413,0,0,0.0,0.006666666666666667,0.0,0.96875,0.008,0.9928888888888889,0.93375,0.1745,0.1795,False,False,False
45,4,support_val_guided_empirical_1pct,0.16675696009328106,4,4,1.0,0.0,0.0,0.875,0.316,0.9715555555555555,0.9995,0.14325,0.18375,False,False,False
45,4,np_orderstat_id_ood_1pct,0.160257227803375,4,4,1.0,0.0,0.0013333333333333333,0.875,0.317,0.9728888888888889,0.9995,0.14325,0.18375,False,False,False
45,8,support_val_guided_empirical_1pct,0.28785183349941174,8,8,1.0,0.0,0.0,0.875,0.259,0.9666666666666667,0.9995,0.15025,0.2435,False,False,False
45,8,np_orderstat_id_ood_1pct,0.28785183349941174,8,8,1.0,0.0,0.0,0.875,0.259,0.9666666666666667,0.9995,0.15025,0.2435,False,False,False
45,16,support_val_guided_empirical_1pct,0.544696663258148,16,16,1.0,0.0,0.0,0.875,0.03266666666666666,0.9008888888888889,0.99825,0.1505,0.322,False,False,False
45,16,np_orderstat_id_ood_1pct,0.544696663258148,16,16,1.0,0.0,0.0,0.875,0.03266666666666666,0.9008888888888889,0.99825,0.1505,0.322,False,False,False
45,32,support_val_guided_empirical_1pct,0.4666763671280501,32,32,1.0,0.0,0.0,0.875,0.03133333333333333,0.8822222222222222,0.99825,0.1585,0.58875,False,False,False
45,32,np_orderstat_id_ood_1pct,0.4666763671280501,32,32,1.0,0.0,0.0,0.875,0.03133333333333333,0.8822222222222222,0.99825,0.1585,0.58875,False,False,False
46,0,support_val_guided_empirical_1pct,0.17559116925245868,0,0,0.0,0.0016666666666666668,0.0,0.96875,0.004,0.992,0.1795,0.09575,0.1795,False,False,False
46,0,np_orderstat_id_ood_1pct,0.05118906196152679,0,0,0.0,0.008333333333333333,0.0026666666666666666,0.96875,0.06866666666666667,0.9924444444444445,0.1845,0.09575,0.1795,False,False,False
46,4,support_val_guided_empirical_1pct,0.1952254981737623,4,4,1.0,0.0,0.0,0.90625,0.277,0.9915555555555555,0.9995,0.09425,0.85625,False,False,False
46,4,np_orderstat_id_ood_1pct,0.1952254981737623,4,4,1.0,0.0,0.0,0.90625,0.277,0.9915555555555555,0.9995,0.09425,0.85625,False,False,False
46,8,support_val_guided_empirical_1pct,0.33535513758898494,8,8,1.0,0.0,0.0,0.84375,0.25266666666666665,0.9884444444444445,0.9995,0.11875,0.892,False,False,False
46,8,np_orderstat_id_ood_1pct,0.33535513758898494,8,8,1.0,0.0,0.0,0.84375,0.25266666666666665,0.9884444444444445,0.9995,0.11875,0.892,False,False,False
46,16,support_val_guided_empirical_1pct,0.6353162438349494,16,16,1.0,0.0,0.0,0.84375,0.021666666666666667,0.7644444444444445,0.991,0.132,0.89525,False,False,False
46,16,np_orderstat_id_ood_1pct,0.6353162438349494,16,16,1.0,0.0,0.0,0.84375,0.021666666666666667,0.7644444444444445,0.991,0.132,0.89525,False,False,False
46,32,support_val_guided_empirical_1pct,0.49136385273488375,32,32,1.0,0.0,0.0,0.84375,0.064,0.8013333333333333,0.99525,0.20325,0.896,False,False,False
46,32,np_orderstat_id_ood_1pct,0.49136385273488375,32,32,1.0,0.0,0.0,0.84375,0.064,0.8013333333333333,0.99525,0.20325,0.896,False,False,False
