weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
medium_mass_ratio_recalibrated,sealed_final_attack,TCP Scan,ip-camera-street,unseen_in_support,15000.0,0.45912,0.3703066666666667,0.3702587713960829,2.939835892077895e-05
strict_frozen_weight4,future_query,CoAP Amplification,combined-cycle,unseen_in_support,12000.0,0.4025666666666667,0.39508333333333334,0.39503026646130107,2.939835892077895e-05
strict_frozen_weight4,future_query,Ingress Tool Transfer,ip-camera-museum,seen_in_support,108.0,0.45925925925925926,0.44074074074074077,0.44067814385736936,0.3999459068785212
strict_frozen_weight4,future_query,Ingress Tool Transfer,city-power,seen_in_support,105.0,0.4780952380952381,0.47619047619047616,0.4761204799298736,0.5999041611383215
strict_frozen_weight4,future_query,Mirai UDP Flooding,building-monitor,seen_in_support,12000.0,0.4826333333333333,0.4826333333333333,0.48256199226352864,2.939835892077895e-05
medium_mass_ratio_recalibrated,support_val,Mirai C&C Communication,ip-camera-museum,seen_in_support,2.0,0.8,0.5,0.4999250340084213,0.4999250340084213
strict_frozen_weight4,future_query,Ingress Tool Transfer,air-quality,seen_in_support,109.0,0.5229357798165137,0.5192660550458715,0.5191870676756497,0.5999041611383215
strict_frozen_weight4,same_file_query,Merlin ICMP Flooding,city-power,seen_in_support,6680.0,0.5695508982035928,0.5379341317365269,0.5378512478029074,0.5999041611383215
medium_mass_ratio_recalibrated,same_file_query,Mirai C&C Communication,ip-camera-museum,seen_in_support,106.0,0.9132075471698113,0.5509433962264151,0.5508577968859175,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin ICMP Flooding,city-power,seen_in_support,6680.0,1.0,0.6006586826347305,0.6005627062870812,0.5999041611383215
medium_mass_ratio_recalibrated,future_query,Ingress Tool Transfer,city-power,seen_in_support,105.0,0.6571428571428571,0.6114285714285714,0.6113303470960243,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Ingress Tool Transfer,air-quality,seen_in_support,109.0,0.6568807339449542,0.618348623853211,0.6182489551071104,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Merlin TCP Flooding,combined-cycle,seen_in_support,12000.0,0.99295,0.6303166666666666,0.6302144998465362,0.5999041611383215
medium_mass_ratio_recalibrated,future_query,Merlin TCP Flooding,building-monitor,seen_in_support,12000.0,0.9912333333333333,0.6448333333333334,0.6447281364682266,0.5999041611383215
medium_mass_ratio_recalibrated,support_val,Ingress Tool Transfer,combined-cycle,seen_in_support,3.0,1.0,0.7333333333333333,0.7332096639781882,0.9998206696579218
strict_frozen_weight4,future_query,Telnet Brute Force,ip-camera-museum,unseen_in_support,12000.0,0.8333166666666667,0.7873,0.7871650662526243,0.7998624153981216
medium_mass_ratio_recalibrated,same_file_query,Merlin TCP Flooding,city-power,seen_in_support,12000.0,1.0,0.7875,0.7873650245068841,0.7998624153981216
strict_frozen_weight4,future_query,Merlin TCP Flooding,combined-cycle,seen_in_support,12000.0,0.8731833333333333,0.78755,0.787415014070449,0.9998206696579218
strict_frozen_weight4,future_query,Merlin C&C Communication,combined-cycle,seen_in_support,9933.0,0.7910802375918655,0.7898520084566596,0.7897165420318739,0.9998206696579218
strict_frozen_weight4,future_query,TCP Scan,ip-camera-museum,unseen_in_support,12000.0,0.8056166666666666,0.7955666666666666,0.795430007428696,0.7998624153981216
medium_mass_ratio_recalibrated,support_val,File Download,combined-cycle,seen_in_support,3.0,0.7333333333333333,0.7999999999999999,0.7998624153981216,0.9998206696579218
strict_frozen_weight4,support_val,Ingress Tool Transfer,combined-cycle,seen_in_support,3.0,0.7999999999999999,0.7999999999999999,0.7998624153981216,0.9998206696579218
strict_frozen_weight4,support_val,Merlin ICMP Flooding,city-power,seen_in_support,1.0,1.0,0.8,0.7998624153981216,0.7998624153981216
medium_mass_ratio_recalibrated,future_query,Merlin ICMP Flooding,building-monitor,seen_in_support,9150.0,1.0,0.8004590163934426,0.8003213359816687,0.7998624153981216
medium_mass_ratio_recalibrated,future_query,Merlin ICMP Flooding,combined-cycle,seen_in_support,9042.0,1.0,0.8004866180048662,0.8003489318318437,0.7998624153981216
medium_mass_ratio_recalibrated,future_query,Merlin TCP Flooding,domotic-monitor,seen_in_support,12000.0,0.9999333333333333,0.8271833333333334,0.8270400747895994,0.7998624153981216
medium_mass_ratio_recalibrated,future_query,Merlin C&C Communication,combined-cycle,seen_in_support,9933.0,0.8304238397261653,0.8294372294372294,0.8292935004406895,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Merlin C&C Communication,building-monitor,seen_in_support,9657.0,0.8545511028269649,0.8539297918608264,0.8537809505635477,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Merlin TCP Flooding,city-power,seen_in_support,6.0,1.0,0.8666666666666667,0.866515166818055,0.9998206696579218
strict_frozen_weight4,future_query,Merlin TCP Flooding,building-monitor,seen_in_support,12000.0,0.9188333333333333,0.88115,0.8809954770640355,0.9998206696579218
strict_frozen_weight4,future_query,Merlin C&C Communication,building-monitor,seen_in_support,9657.0,0.8850574712643678,0.8838562700631666,0.8837011822509674,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,CoAP Amplification,combined-cycle,unseen_in_support,12000.0,0.9998,0.8992166666666667,0.8990583726988376,0.7998624153981216
strict_frozen_weight4,sealed_final_attack,Merlin TCP Flooding,ip-camera-street,seen_in_support,15000.0,0.9113066666666667,0.91328,0.9131187706108724,0.9998206696579218
strict_frozen_weight4,future_query,Merlin ICMP Flooding,combined-cycle,seen_in_support,9042.0,0.9987834549878345,0.9188011501880115,0.9186387683763773,0.9998206696579218
strict_frozen_weight4,future_query,Merlin ICMP Flooding,building-monitor,seen_in_support,9150.0,0.9987978142076502,0.920327868852459,0.9201651683708211,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin C&C Communication,ip-camera-museum,seen_in_support,6827.0,0.9334407499633807,0.9352570675259997,0.9350912508921158,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin C&C Communication,ip-camera-museum,seen_in_support,6827.0,0.9551486743811337,0.9516332210341292,0.9514639862269961,0.9998206696579218
strict_frozen_weight4,support_val,Merlin TCP Flooding,city-power,seen_in_support,6.0,0.9666666666666667,0.9666666666666667,0.9664942939479552,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Ingress Tool Transfer,ip-camera-museum,seen_in_support,108.0,1.0,0.9962962962962962,0.9961177390234811,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,File Download,ip-camera-street,seen_in_support,1231.0,0.99821283509342,0.99821283509342,0.9980338777839514,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7038.0,0.998437055981813,0.998437055981813,0.9982580518710095,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,File Download,building-monitor,seen_in_support,1191.0,0.998320738874895,0.9984886649874055,0.9983096501043214,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,File Download,domotic-monitor,seen_in_support,1187.0,0.9986520640269587,0.9988205560235889,0.99864147186532,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,Merlin ICMP Flooding,ip-camera-street,seen_in_support,10011.0,0.9989012086704625,0.9989012086704625,0.9987221076776712,0.9998206696579218
strict_frozen_weight4,future_query,Merlin TCP Flooding,domotic-monitor,seen_in_support,12000.0,0.9997166666666667,0.9997166666666667,0.999537395464387,0.9998206696579218
strict_frozen_weight4,future_query,Merlin UDP Flooding,domotic-monitor,seen_in_support,5000.0,0.9998,0.9998,0.999620711403662,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,Mirai TCP Flooding,ip-camera-street,seen_in_support,15000.0,0.9998266666666666,0.9998266666666666,0.99964737250423,0.9998206696579218
