candidate,variant,kind,env_field,adv_lambda,split,seed,role,phase,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,conflict_score_mean
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,future_query,select,228649,0.6557914590835572,0.9044824162799749,0.0,0.9044824162799749,0,206809,0.9183029758686744,0.05416752710299327
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,sealed_final_ood,all,154900,0.6557914590835572,0.004622336991607488,0.0,0.004622336991607488,0,716,0.00485869028064364,0.9950114738964081
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,sealed_final_attack,all,110104,0.6557914590835572,0.7748583157741772,0.0,0.7748583157741772,0,85315,0.7885159947600089,0.2113891194655174
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,id_calib,select,51497,0.01305690315020079,0.0009515117385478765,0.0009515117385478765,0.0,49,0,0.0003350345939201706,0.9991881490838916
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,ood_val,select,12205,0.01305690315020079,0.009832036050798854,0.009832036050798854,0.0,120,0,0.001087812501249367,0.9509616002039889
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,ood_stress,select,79950,0.01305690315020079,0.004840525328330207,0.004677923702313946,0.00016260162601626016,374,13,0.0006249461898334523,0.9984376215415626
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,support_val,select,69,0.01305690315020079,1.0,0.014492753623188406,0.9855072463768116,1,68,0.9771406692718105,0.022047560036528975
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,same_file_query,select,67749,0.01305690315020079,1.0,0.0026125846875968647,0.9973874153124032,177,67572,0.9859859600889311,0.009817143117671272
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,future_query,select,228649,0.01305690315020079,0.9990815616949997,0.09750315986512077,0.901578401829879,22294,206145,0.8591894560403663,0.1020551412392693
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,sealed_final_ood,all,154900,0.01305690315020079,0.10806326662362814,0.10466107165913492,0.0034021949644932213,16212,527,0.009858789260189705,0.9889435739323074
CKN_C0_c4_histgb_seed43,C0_c4_histgb,histgb,,0.0,main,43,sealed_final_attack,all,110104,0.01305690315020079,0.9984741698757539,0.003133401148005522,0.9953407687277483,345,109591,0.9820572504721065,0.01258973048897711
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,id_calib,select,51497,0.8058092594146729,0.0001553488552731227,0.0,0.0001553488552731227,0,8,0.004069403838631249,0.981942195556558
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,ood_val,select,12205,0.8058092594146729,0.009832036050798854,0.0,0.009832036050798854,0,120,0.01151000591817835,0.9562624955735262
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,ood_stress,select,79950,0.8058092594146729,0.007141963727329581,0.0,0.007141963727329581,0,571,0.007595782115778369,0.9918808224187655
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,support_val,select,69,0.8058092594146729,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9844513012879137,0.014163583736045456
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,same_file_query,select,67749,0.8058092594146729,0.9742726829916308,0.0,0.9742726829916308,0,66006,0.9763356603450842,0.02333247895313889
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,future_query,select,228649,0.8058092594146729,0.9307759928974104,0.0,0.9307759928974104,0,212821,0.9536520383266133,0.037220932851043324
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,sealed_final_ood,all,154900,0.8058092594146729,0.004622336991607488,0.0,0.004622336991607488,0,716,0.004877559417048914,0.9949703191021347
CKN_N1_mlp_erm_seed43,N1_mlp_erm,neural,,0.0,main,43,sealed_final_attack,all,110104,0.8058092594146729,0.7313449102666569,0.0,0.7313449102666569,0,80524,0.7399808944761871,0.2596096110470195
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,id_calib,select,51497,0.8816672563552624,9.70930345457017e-05,0.0,9.70930345457017e-05,0,5,0.024770814713945006,0.9471535883104367
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,ood_val,select,12205,0.8816672563552624,0.0010651372388365424,0.0,0.0010651372388365424,0,13,0.012576002749799267,0.9577005861347273
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,ood_stress,select,79950,0.8816672563552624,0.010006253908692933,0.0,0.010006253908692933,0,800,0.012242319065888322,0.9872231599593537
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,support_val,select,69,0.8816672563552624,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9860803156659224,0.00920368712886427
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,same_file_query,select,67749,0.8816672563552624,0.9741988811642976,0.0,0.9741988811642976,0,66001,0.9920244536312469,0.006657122516940356
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,future_query,select,228649,0.8816672563552624,0.783191704315348,0.0,0.783191704315348,0,179076,0.9092958183193738,0.06807115445383771
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,sealed_final_ood,all,154900,0.8816672563552624,0.0049386701097482244,0.0,0.0049386701097482244,0,765,0.009196331673840378,0.9906766037117751
CKN_N2_dann_device_family_seed43,N2_dann_device_family,neural,device_family,0.2,main,43,sealed_final_attack,all,110104,0.8816672563552624,0.7349778391339098,0.0,0.7349778391339098,0,80924,0.7613076640003112,0.2380753001299324
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,id_calib,select,51497,0.5966464281082153,0.00048546517272850845,0.0,0.00048546517272850845,0,25,0.024535126435819628,0.9282900219616976
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,ood_val,select,12205,0.5966464281082153,0.004096681687832855,0.0,0.004096681687832855,0,50,0.016814359785319963,0.9428877097992499
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,ood_stress,select,79950,0.5966464281082153,0.008980612883051908,0.0,0.008980612883051908,0,718,0.009764367229050672,0.9894601207353206
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,support_val,select,69,0.5966464281082153,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9814651059931603,0.011729107878225963
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,same_file_query,select,67749,0.5966464281082153,0.9648850905548422,0.0,0.9648850905548422,0,65370,0.9618014378652922,0.03389129264917936
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,future_query,select,228649,0.5966464281082153,0.9200608793390743,0.0,0.9200608793390743,0,210371,0.9068310937254581,0.05942276980142211
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,sealed_final_ood,all,154900,0.5966464281082153,0.0049903163331181406,0.0,0.0049903163331181406,0,773,0.006870727268720267,0.9929450500003089
CKN_N3_dann_source_family_seed43,N3_dann_source_family,neural,source_family,0.2,main,43,sealed_final_attack,all,110104,0.5966464281082153,0.7834411102230618,0.0,0.7834411102230618,0,86260,0.7972659840262942,0.20077218446663606
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,id_calib,select,51497,0.01336644857623776,0.0011262792007301395,0.0011262792007301395,0.0,58,0,0.00036678026556225007,0.9991485147771627
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,ood_val,select,12205,0.01336644857623776,0.009995903318312167,0.009995903318312167,0.0,122,0,0.0011408803946090045,0.9504988173835955
