variant,region_id,exact_attack_label,semantic_attack_group,train_rows,val_rows,requested_prototypes,effective_prototypes,prototype_cluster_rows,provenance_source_count,support_val_uncertain_coverage,support_val_nearest_label_consistency,ood_val_core_intrusion_rate,ood_val_core_plus_near_intrusion_rate,region_status
E64_nested_source_time_balanced,E64_nested_source_time_balanced_region_704820898382,Mirai C&C Communication,mirai,13,3,1,1,13,1,1.0,0.3333333333333333,0.2774583333333333,0.5067083333333333,ambiguous_region
E64_nested_source_time_balanced,E64_nested_source_time_balanced_region_a9be197bc385,Mirai GRE Flooding,mirai,68,20,2,2,40|28,2,0.95,1.0,0.0,0.0,active_strong
E64_nested_source_time_balanced,E64_nested_source_time_balanced_region_a1eb14dc651b,Mirai TCP Flooding,mirai,68,20,2,2,42|26,2,1.0,0.65,0.605,0.650125,ambiguous_region
E64_nested_source_time_balanced,E64_nested_source_time_balanced_region_8f8a32f3c5de,Mirai UDP Flooding,mirai,68,20,2,2,40|28,2,0.9,1.0,0.0,0.0,active_strong
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_baa4038e686a,File Download,tooling,23,5,2,1,23,1,1.0,0.6,0.0,0.0,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_98413eff6d95,Ingress Tool Transfer,tooling,26,5,2,2,11|15,1,1.0,1.0,0.000125,0.04529166666666667,active_conflict_sensitive
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_4f662ce1d1da,Merlin C&C Communication,merlin,42,10,2,1,42,1,1.0,0.0,0.17095833333333332,0.32916666666666666,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_4e337f656139,Merlin ICMP Flooding,merlin,59,14,2,1,59,2,1.0,0.2857142857142857,0.026708333333333334,0.028625,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_1e35a23f930c,Merlin TCP Flooding,merlin,76,20,2,2,46|30,2,1.0,0.65,0.30216666666666664,0.3765833333333333,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_5199177e241f,Merlin UDP Flooding,merlin,42,10,2,2,23|19,2,1.0,0.9,0.33641666666666664,0.36070833333333335,active_conflict_sensitive
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_704820898382,Mirai C&C Communication,mirai,17,3,2,1,17,1,1.0,0.3333333333333333,0.46520833333333333,0.5990833333333333,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_a9be197bc385,Mirai GRE Flooding,mirai,76,20,2,2,47|29,2,0.95,1.0,0.0,0.0,active_strong
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_a1eb14dc651b,Mirai TCP Flooding,mirai,76,20,2,2,42|34,2,1.0,0.7,0.6424583333333334,0.6708333333333333,ambiguous_region
E128_nested_source_time_balanced,E128_nested_source_time_balanced_region_8f8a32f3c5de,Mirai UDP Flooding,mirai,76,20,2,2,44|32,2,0.95,1.0,0.0,0.0,active_strong
