variant,role,true_attack_label,nearest_attack_label,rows,rate_within_true_label,read_only,evidence_status
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin ICMP Flooding,27944,0.9985349294264785,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin TCP Flooding,1,3.573342862247633e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin UDP Flooding,30,0.0010720028586742897,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Mirai C&C Communication,5,0.00017866714311238162,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Mirai TCP Flooding,2,7.146685724495266e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,Mirai UDP Flooding,3,0.00010720028586742898,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin C&C Communication,1,2.777777777777778e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin ICMP Flooding,23262,0.6461666666666667,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin TCP Flooding,6725,0.18680555555555556,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin UDP Flooding,3120,0.08666666666666667,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Mirai C&C Communication,3,8.333333333333333e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Mirai TCP Flooding,38,0.0010555555555555555,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,Mirai UDP Flooding,2851,0.07919444444444444,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin UDP Flooding,Merlin ICMP Flooding,1,6.666666666666667e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin UDP Flooding,Merlin UDP Flooding,1680,0.112,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin UDP Flooding,Mirai UDP Flooding,13319,0.8879333333333334,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Ingress Tool Transfer,2,0.002793296089385475,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Merlin C&C Communication,12,0.01675977653631285,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Merlin ICMP Flooding,5,0.006983240223463687,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Merlin TCP Flooding,647,0.9036312849162011,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Merlin UDP Flooding,24,0.0335195530726257,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Mirai C&C Communication,9,0.012569832402234637,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Mirai TCP Flooding,16,0.0223463687150838,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,Mirai UDP Flooding,1,0.0013966480446927375,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai GRE Flooding,Merlin UDP Flooding,1,2.777777777777778e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai GRE Flooding,Mirai GRE Flooding,3421,0.09502777777777778,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai GRE Flooding,Mirai TCP Flooding,30335,0.8426388888888889,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai GRE Flooding,Mirai UDP Flooding,2243,0.06230555555555556,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai TCP Flooding,Merlin UDP Flooding,2,5.555555555555556e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai TCP Flooding,Mirai GRE Flooding,1467,0.04075,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai TCP Flooding,Mirai TCP Flooding,27385,0.7606944444444445,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai TCP Flooding,Mirai UDP Flooding,7146,0.1985,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai UDP Flooding,Mirai UDP Flooding,36000,1.0,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Ingress Tool Transfer,41,0.18303571428571427,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Merlin C&C Communication,28,0.125,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Merlin ICMP Flooding,8,0.03571428571428571,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Merlin TCP Flooding,46,0.20535714285714285,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Merlin UDP Flooding,17,0.07589285714285714,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Mirai C&C Communication,82,0.36607142857142855,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,Mirai TCP Flooding,2,0.008928571428571428,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,File Download,458,0.006361111111111111,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Ingress Tool Transfer,49210,0.6834722222222223,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Merlin C&C Communication,318,0.004416666666666667,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Merlin ICMP Flooding,8192,0.11377777777777778,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Merlin TCP Flooding,7673,0.10656944444444444,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Merlin UDP Flooding,13,0.00018055555555555555,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Mirai C&C Communication,5198,0.07219444444444445,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Mirai GRE Flooding,259,0.003597222222222222,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Mirai TCP Flooding,305,0.0042361111111111115,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,Mirai UDP Flooding,374,0.005194444444444444,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,File Download,270,0.00375,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Ingress Tool Transfer,65144,0.9047777777777778,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Merlin C&C Communication,40,0.0005555555555555556,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Merlin ICMP Flooding,272,0.003777777777777778,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Merlin TCP Flooding,162,0.00225,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Mirai C&C Communication,4891,0.06793055555555555,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Mirai GRE Flooding,596,0.008277777777777778,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Mirai TCP Flooding,552,0.007666666666666666,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,Mirai UDP Flooding,73,0.0010138888888888888,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,File Download,7,0.0016501650165016502,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Ingress Tool Transfer,188,0.04431871758604432,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Merlin C&C Communication,3,0.0007072135785007072,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Merlin ICMP Flooding,22,0.005186232909005186,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Merlin TCP Flooding,3356,0.7911362564827912,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Merlin UDP Flooding,5,0.0011786892975011788,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Mirai C&C Communication,438,0.10325318246110325,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Mirai TCP Flooding,221,0.052098066949552095,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,Mirai UDP Flooding,2,0.0004714757190004715,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,File Download,File Download,105,1.0,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Ingress Tool Transfer,718,0.3015539689206216,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Merlin ICMP Flooding,1143,0.4800503989920202,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Merlin TCP Flooding,30,0.0125997480050399,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Mirai C&C Communication,141,0.059218815623687526,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Mirai GRE Flooding,162,0.06803863922721545,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Mirai TCP Flooding,183,0.07685846283074338,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,Mirai UDP Flooding,4,0.0016799664006719867,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,File Download,3407,0.49904789805185296,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Ingress Tool Transfer,132,0.019334993408524976,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Merlin C&C Communication,618,0.09052292368536692,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Merlin UDP Flooding,310,0.04540793906547532,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Mirai GRE Flooding,135,0.019774425076900543,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Mirai TCP Flooding,1597,0.2339241247985938,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,Mirai UDP Flooding,628,0.09198769591328548,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,Merlin ICMP Flooding,13694,0.9982504738300044,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,Merlin UDP Flooding,22,0.0016037323224959907,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,Mirai UDP Flooding,2,0.0001457938474996355,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Merlin ICMP Flooding,6764,0.2818333333333333,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Merlin TCP Flooding,1,4.1666666666666665e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Merlin UDP Flooding,2025,0.084375,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Mirai GRE Flooding,271,0.011291666666666667,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Mirai TCP Flooding,443,0.018458333333333334,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,Mirai UDP Flooding,14496,0.604,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin UDP Flooding,Mirai UDP Flooding,6542,1.0,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai C&C Communication,Merlin TCP Flooding,46,0.4339622641509434,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai C&C Communication,Merlin UDP Flooding,47,0.44339622641509435,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai C&C Communication,Mirai C&C Communication,12,0.11320754716981132,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai C&C Communication,Mirai UDP Flooding,1,0.009433962264150943,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai GRE Flooding,Mirai TCP Flooding,24000,1.0,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai TCP Flooding,Mirai GRE Flooding,4,0.00016666666666666666,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai TCP Flooding,Mirai TCP Flooding,15906,0.66275,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai TCP Flooding,Mirai UDP Flooding,8090,0.33708333333333335,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Mirai UDP Flooding,Mirai UDP Flooding,24000,1.0,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Ingress Tool Transfer,4,0.015625,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Merlin C&C Communication,2,0.0078125,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Merlin ICMP Flooding,3,0.01171875,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Merlin TCP Flooding,131,0.51171875,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Merlin UDP Flooding,1,0.00390625,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Mirai C&C Communication,97,0.37890625,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,C&C Communication,Mirai UDP Flooding,18,0.0703125,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,CoAP Amplification,Merlin ICMP Flooding,7,0.0005833333333333334,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,CoAP Amplification,Mirai UDP Flooding,11993,0.9994166666666666,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,File Download,File Download,2366,0.9949537426408747,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,File Download,Merlin ICMP Flooding,2,0.0008410428931875525,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,File Download,Mirai UDP Flooding,10,0.004205214465937763,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,File Download,61,0.0078669074026309,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Ingress Tool Transfer,7305,0.9420944028888316,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin C&C Communication,2,0.00025793139025019347,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin ICMP Flooding,2,0.00025793139025019347,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin TCP Flooding,10,0.0012896569512509672,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai C&C Communication,5,0.0006448284756254836,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai TCP Flooding,326,0.04204281661078153,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai UDP Flooding,43,0.005545524890379159,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,File Download,11030,0.5630423685553854,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Ingress Tool Transfer,1971,0.1006125574272588,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Merlin C&C Communication,1365,0.06967840735068913,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Merlin ICMP Flooding,4,0.0002041858090862685,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Merlin TCP Flooding,63,0.003215926493108729,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Merlin UDP Flooding,131,0.006687085247575293,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Mirai C&C Communication,312,0.015926493108728942,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Mirai TCP Flooding,1833,0.09356814701378255,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin C&C Communication,Mirai UDP Flooding,2881,0.1470648289943849,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin ICMP Flooding,27947,0.9986421297123459,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin TCP Flooding,1,3.573342862247633e-05,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin ICMP Flooding,Merlin UDP Flooding,30,0.0010720028586742897,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin ICMP Flooding,Mirai TCP Flooding,2,7.146685724495266e-05,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin ICMP Flooding,Mirai UDP Flooding,5,0.00017866714311238162,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin TCP Flooding,Ingress Tool Transfer,3438,0.0955,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin ICMP Flooding,21466,0.5962777777777778,True,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,dev_future_attack_query_exact,Merlin TCP Flooding,Merlin TCP Flooding,5076,0.141,True,reused_development_diagnostic_not_fresh_validation
