variant,exact_attack_label,requested_prototypes,effective_prototypes,shell_scheme,core_radius,near_radius,uncertain_radius
E64_nested_source_time_balanced,File Download,2,1,wide,1.9243728550567156,2.0800652459727886,2.167990232856053
E64_nested_source_time_balanced,Ingress Tool Transfer,2,2,tight,2.0489905287157004,2.2392553320219344,2.3558453283868976
E64_nested_source_time_balanced,Ingress Tool Transfer,2,2,medium,2.250790436109772,2.3558453283868976,2.4633053568078442
E64_nested_source_time_balanced,Ingress Tool Transfer,2,2,wide,2.3632466277460265,2.4633053568078442,2.4909038148691494
E64_nested_source_time_balanced,Merlin C&C Communication,2,1,tight,2.363519303302155,2.49109757559011,2.551206433504897
E64_nested_source_time_balanced,Merlin C&C Communication,2,1,medium,2.4955829164079146,2.551206433504897,2.62541144991068
E64_nested_source_time_balanced,Merlin C&C Communication,2,1,wide,2.5659978946365234,2.62541144991068,2.636199981340846
E64_nested_source_time_balanced,Merlin ICMP Flooding,2,2,tight,1.1932736081548123,1.299636151976971,1.5948154989386878
E64_nested_source_time_balanced,Merlin ICMP Flooding,2,2,medium,1.3064503768468076,1.5948154989386878,1.6690762163783412
E64_nested_source_time_balanced,Merlin ICMP Flooding,2,2,wide,1.5872345433091204,1.6690762163783412,1.77244714299817
E64_nested_source_time_balanced,Merlin TCP Flooding,2,1,tight,2.2639394428181014,2.4069172334691027,2.5126056328389086
E64_nested_source_time_balanced,Merlin TCP Flooding,2,1,medium,2.4268873636018746,2.5126056328389086,2.6133205835746356
E64_nested_source_time_balanced,Merlin TCP Flooding,2,1,wide,2.5485593989153195,2.6133205835746356,2.7325802108006827
E64_nested_source_time_balanced,Merlin UDP Flooding,2,2,tight,2.0393848594976567,2.1239833313429113,2.1887831495792893
E64_nested_source_time_balanced,Merlin UDP Flooding,2,2,medium,2.1502641867793444,2.1887831495792893,2.2077056384566265
E64_nested_source_time_balanced,Merlin UDP Flooding,2,2,wide,2.200232594047768,2.2077056384566265,2.208465267724693
E64_nested_source_time_balanced,Mirai C&C Communication,1,1,tight,1.544844492292229,2.1591852789347064,2.280170125069101
E64_nested_source_time_balanced,Mirai C&C Communication,1,1,medium,2.0911543992318866,2.280170125069101,2.3421824867639036
E64_nested_source_time_balanced,Mirai C&C Communication,1,1,wide,2.2057927557344144,2.3421824867639036,2.3520104588313737
E64_nested_source_time_balanced,Mirai GRE Flooding,2,2,tight,1.7894895771931685,1.8330536401072608,1.9256889654465852
E64_nested_source_time_balanced,Mirai GRE Flooding,2,2,medium,1.8330536401072608,1.9256889654465852,1.9866541006359575
E64_nested_source_time_balanced,Mirai GRE Flooding,2,2,wide,1.9062024210706308,1.9866541006359575,2.040249292593235
E64_nested_source_time_balanced,Mirai TCP Flooding,2,2,tight,2.0122404817151525,2.1836566268097317,2.2374693076714705
E64_nested_source_time_balanced,Mirai TCP Flooding,2,2,medium,2.1832122317056886,2.2374693076714705,2.296379252622639
E64_nested_source_time_balanced,Mirai TCP Flooding,2,2,wide,2.239949245049387,2.296379252622639,2.299562879960876
E64_nested_source_time_balanced,Mirai UDP Flooding,2,2,tight,1.189774358008921,1.3027434740234844,1.3379215759525158
E64_nested_source_time_balanced,Mirai UDP Flooding,2,2,medium,1.304310299596105,1.3379215759525158,1.361608236479052
E64_nested_source_time_balanced,Mirai UDP Flooding,2,2,wide,1.333842225280999,1.361608236479052,1.3773931470201914
E128_nested_source_time_balanced,File Download,2,1,tight,1.3915164414495702,1.478505679279375,1.8729707963529703
