evidence_space,exact_attack_label,median_top1_fraction,median_top5_fraction,dominant_feature,MI_dir_mean_share,H_mean_share,HH_mean_share,HH_jit_mean_share,HpHp_mean_share
S1_bounded_heavytail_global,File Download,0.8871765536669435,0.9999812386290532,HpHp_5_pcc_0_1,2.544693918497678e-07,2.544115470366494e-07,0.26561754459511433,0.2355440129159792,0.43217126694130076
S1_bounded_heavytail_global,Ingress Tool Transfer,0.9875972574153424,0.9992737931741031,HH_5_covariance_0_1,7.271719261582633e-08,7.12589863489939e-08,0.7231233446812024,0.14543536494725193,0.07588559083981113
S1_bounded_heavytail_global,Merlin C&C Communication,0.7814283170300234,0.9997903319202311,HH_jit_5_std,1.7246924047597482e-08,1.6514852923274782e-08,0.25294909917780106,0.6361188620062971,0.07759867172079168
S1_bounded_heavytail_global,Merlin ICMP Flooding,0.5962030206470603,0.9999985354192988,HH_jit_5_weight,1.6425626929764957e-06,1.6352806487199316e-06,6.901770819125397e-06,0.9767338774125496,1.290198012091594e-07
S1_bounded_heavytail_global,Merlin TCP Flooding,0.7624140879763068,0.9996322880064428,HH_jit_5_std,0.00033852884299082227,0.00033677293213684866,0.0003497852643236435,0.9821833393116909,0.00012490698219096917
S1_bounded_heavytail_global,Merlin UDP Flooding,0.7619551090002399,0.9995964096384775,HH_jit_5_std,7.390482411207956e-07,7.344987336256781e-07,1.2191867107872646e-06,0.9666639739329811,0.0
S1_bounded_heavytail_global,Mirai C&C Communication,0.6981358239147682,0.9979547110142696,HH_5_covariance_0_1,7.831519569638848e-05,7.795073095085724e-05,0.6297505605364134,0.2571057510361731,0.0018763113896551843
S1_bounded_heavytail_global,Mirai GRE Flooding,0.6866814243459706,0.9988062410255899,HH_jit_5_std,1.3653761451175648e-07,1.350671728577437e-07,3.868947143867887e-07,0.9833326723258895,2.507942177434935e-09
S1_bounded_heavytail_global,Mirai TCP Flooding,0.6968324348319698,0.9988862015235365,HH_jit_5_std,5.07431248828874e-08,5.0599034674206025e-08,1.2881803302446488e-07,0.9833329693606775,1.338124632589105e-07
S1_bounded_heavytail_global,Mirai UDP Flooding,0.7393087894437231,0.9999999999045812,HH_jit_5_weight,1.4885171160035447e-05,1.4799313177354936e-05,1.892983888011555e-05,0.9832847189855092,2.4606586578654814e-11
S2_raw_family_balanced,File Download,0.02894204690817623,0.14471023454088117,MI_dir_5_std,0.1868427208008709,0.18750743376252724,0.24425802251963144,0.10555156278149115,0.20917359346881276
S2_raw_family_balanced,Ingress Tool Transfer,0.030672360721146978,0.15336180360573487,HH_jit_5_std,0.10220609422920367,0.10265912413527328,0.18551102753302623,0.351960240390475,0.20210795815646643
S2_raw_family_balanced,Merlin C&C Communication,0.022644261103144207,0.11322130551572103,MI_dir_0.1_std,0.15332428163451067,0.15250250860833364,0.22882611678175901,0.2732888501850762,0.15872490945698733
