candidate,metric,rows,hard_recall,c1_hard_recall,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed,attack_family
A2-LocalRobustDeviation,attack_family_recall,10069,0.0002979441851226537,0.7566789154831661,-75.63809712980435,-97.63626969775252,-61.9076858772076,source,5.0,0.0,27,Ingress Tool Transfer
A2-LocalRobustDeviation,attack_family_recall,9926,0.005440257908523071,0.9981865806971589,-99.27463227886358,-100.0,0.0,source,3.0,0.0,27,Merlin C&C Communication
A2-LocalRobustDeviation,attack_family_recall,19730,0.006791687785098834,0.9916877850988343,-98.48960973137353,-99.49865229110512,-82.99353613332109,source,6.0,0.0,27,Merlin ICMP Flooding
A2-LocalRobustDeviation,attack_family_recall,27722,0.0003967967679099632,0.9993867686314118,-99.89899718635019,-99.98176399006981,-96.72578444747613,source,6.0,0.0,27,Merlin TCP Flooding
A2-LocalRobustDeviation,attack_family_recall,10298,0.0005826374053214216,1.0,-99.94173625946786,-100.0,-96.1038961038961,source,6.0,0.0,27,Merlin UDP Flooding
A2-LocalRobustDeviation,attack_family_recall,369,0.005420054200542005,0.05962059620596206,-5.420054200542005,-11.11111111111111,0.0,source,3.0,0.0,27,Mirai C&C Communication
A2-LocalRobustDeviation,attack_family_recall,27722,0.0003607243344636029,0.9999639275665536,-99.96032032320899,-100.0,-97.26775956284153,source,6.0,0.0,27,Mirai GRE Flooding
A2-LocalRobustDeviation,attack_family_recall,27721,0.00036073734713754915,0.9963926265286245,-99.60318891814869,-100.0,-97.2640218878249,source,6.0,0.0,27,Mirai TCP Flooding
A2-LocalRobustDeviation,attack_family_recall,27722,0.0003967967679099632,0.9999278551331072,-99.95310583651973,-99.995573785445,-96.86221009549796,source,6.0,0.0,27,Mirai UDP Flooding
A2-LocalRobustDeviation,attack_family_recall,167,0.0,0.7305389221556886,-73.05389221556887,-100.0,-71.93548387096774,source,4.0,0.0,27,Reporting
A2-LocalRobustDeviation,attack_family_recall,39711,5.036387902596258e-05,0.7656316889526832,-76.55813250736571,-81.21495327102804,-71.0188958873657,source,5.0,0.0,27,TCP Scan
A2-LocalRobustDeviation,attack_family_recall,39712,0.002719580983078163,0.7917506043513296,-78.90310233682514,-98.0826243877288,-62.08715121535453,source,5.0,0.0,27,Telnet Brute Force
A2-LocalRobustDeviation,attack_family_recall,113,0.0,0.0,0.0,0.0,0.0,episode,60.0,0.0,27,UDP Scan
A2-LocalRobustDeviation,worst_family_recall,179,0.0,0.5586592178770949,-55.865921787709496,,,,,0.0,27,C&C Communication
