candidate,phase,source,records,fresh_resets,score_before_update_records,history_updates,history_rejections,cold_start_records,unreliable_records,phase_state_crossing,label_read_for_state,future_events_used,report_gradient_updates,history_scope,memory_only_events,held_value,seed,provisional_burn_in_records,bounded_shift_clips,minimum_applied_shift,maximum_applied_shift,registered_shift_low,registered_shift_high,bounded_shift_contract,first_event_position,last_event_position,median_event_position_gap,max_event_position_gap
A2-LocalRobustDeviation,select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1,600,584,16,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1,600,587,13,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1,600,579,21,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,processed/iotsim-city-power-1.csv,23,1,23,23,0,23,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,23.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1574.0,1142111.0,878.5,586451.0
A2-LocalRobustDeviation,select,processed/iotsim-combined-cycle-10.csv,6,1,6,6,0,6,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,6.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,17672.0,20400.0,69.0,2459.0
A2-LocalRobustDeviation,select,processed/iotsim-ip-camera-museum-1.csv,40,1,40,40,0,40,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,27,40.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1589773.0,8457328.0,352.0,2146190.0
M1-GlobalNormalConformal,all,GLOBAL_NO_REPORT_ADAPTATION,12069,0,12069,0,0,0,0,False,False,False,0,not_applicable_global_score,0,iotsim-predictive-maintenance,27,,,,,,,,,,,
M2-CappedSourceConformal,report,iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-predictive-maintenance,27,64.0,536.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,report,iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-predictive-maintenance,27,64.0,536.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,report,iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-predictive-maintenance,27,64.0,536.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,report,iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-predictive-maintenance,27,64.0,536.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,report,iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-predictive-maintenance,27,64.0,536.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
