seed,active_label_budget,bank_name,source_roles,train_rows,val_rows,prototype_budget,prototype_count,prototype_local_indices_sha256,radius_quantile,radius,val_distance_mean,val_distance_max,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
44,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.9,2641.267333984375,8369.927734375,7412407.0,False,False,False
44,128,attack_medium,attack_support_medium_train/val,96,32,64,64,57a1cb68498145621ebe42fb325c096b1836ca533cf901f7f704571bdd1e1b19,0.9,7.291316509246826,5.309449195861816,13.2317533493042,False,False,False
44,128,attack_heavy,active_heavy_support_train/val,96,32,64,64,55e00df0b1f0fd0c85ed983f48c3f1eeab521b6d10c20140e121476a5856fa72,0.9,4.722489833831787,2.6889944076538086,19.927709579467773,False,False,False
44,128,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.95,6.288252830505371,4.056262969970703,8.036429405212402,False,False,False
44,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.95,5098.49853515625,8369.927734375,7412407.0,False,False,False
44,128,attack_medium,attack_support_medium_train/val,96,32,64,64,57a1cb68498145621ebe42fb325c096b1836ca533cf901f7f704571bdd1e1b19,0.95,7.96725606918335,5.309449195861816,13.2317533493042,False,False,False
44,128,attack_heavy,active_heavy_support_train/val,96,32,64,64,55e00df0b1f0fd0c85ed983f48c3f1eeab521b6d10c20140e121476a5856fa72,0.95,5.213807106018066,2.6889944076538086,19.927709579467773,False,False,False
45,64,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.9,8.761788368225098,5.714221000671387,10.647994041442871,False,False,False
45,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.9,2641.267333984375,8371.068359375,7412407.0,False,False,False
45,64,attack_medium,attack_support_medium_train/val,96,32,32,32,c860556a9aa51eed51a34bbf4748ef4646a9612ec2e92494df5748be3c9eaeb5,0.9,8.193540573120117,6.7050933837890625,18.11337661743164,False,False,False
45,64,attack_heavy,active_heavy_support_train/val,48,16,32,32,44865ba41bada268f96dbf7674ba3d54a0029c1c5bb46667946108fa94fa3053,0.9,10.689163208007812,159.0035400390625,2482.419677734375,False,False,False
45,64,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
45,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
45,64,attack_medium,attack_support_medium_train/val,96,32,32,32,c860556a9aa51eed51a34bbf4748ef4646a9612ec2e92494df5748be3c9eaeb5,0.95,10.331094741821289,6.7050933837890625,18.11337661743164,False,False,False
45,64,attack_heavy,active_heavy_support_train/val,48,16,32,32,44865ba41bada268f96dbf7674ba3d54a0029c1c5bb46667946108fa94fa3053,0.95,629.642333984375,159.0035400390625,2482.419677734375,False,False,False
45,64,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.9,5.969648361206055,4.056262969970703,8.036429405212402,False,False,False
45,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.9,2641.267333984375,8369.927734375,7412407.0,False,False,False
45,64,attack_medium,attack_support_medium_train/val,96,32,64,64,8f69f867b5fd2bfae2d6f76341db2a32c154af85a952a75a20931f4da79e36be,0.9,6.279390335083008,5.411650657653809,18.11337661743164,False,False,False
45,64,attack_heavy,active_heavy_support_train/val,48,16,64,48,315e8ec92e8160417b335cafd0d075b7bd1af8e94c41e3341dafba123003ff5b,0.9,10.251446723937988,158.71798706054688,2482.419677734375,False,False,False
45,64,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.95,6.288252830505371,4.056262969970703,8.036429405212402,False,False,False
45,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.95,5098.49853515625,8369.927734375,7412407.0,False,False,False
45,64,attack_medium,attack_support_medium_train/val,96,32,64,64,8f69f867b5fd2bfae2d6f76341db2a32c154af85a952a75a20931f4da79e36be,0.95,7.4719014167785645,5.411650657653809,18.11337661743164,False,False,False
45,64,attack_heavy,active_heavy_support_train/val,48,16,64,48,315e8ec92e8160417b335cafd0d075b7bd1af8e94c41e3341dafba123003ff5b,0.95,629.642333984375,158.71798706054688,2482.419677734375,False,False,False
45,128,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.9,8.761788368225098,5.714221000671387,10.647994041442871,False,False,False
45,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.9,2641.267333984375,8371.068359375,7412407.0,False,False,False
45,128,attack_medium,attack_support_medium_train/val,96,32,32,32,c860556a9aa51eed51a34bbf4748ef4646a9612ec2e92494df5748be3c9eaeb5,0.9,8.193540573120117,6.7050933837890625,18.11337661743164,False,False,False
45,128,attack_heavy,active_heavy_support_train/val,96,32,32,32,08a0fad2d3d424e8c31417a53dc51a8b726cb67ca7aff6921e03c6f977347bf4,0.9,7.781939506530762,4.07650089263916,17.87075424194336,False,False,False
45,128,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
45,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
45,128,attack_medium,attack_support_medium_train/val,96,32,32,32,c860556a9aa51eed51a34bbf4748ef4646a9612ec2e92494df5748be3c9eaeb5,0.95,10.331094741821289,6.7050933837890625,18.11337661743164,False,False,False
45,128,attack_heavy,active_heavy_support_train/val,96,32,32,32,08a0fad2d3d424e8c31417a53dc51a8b726cb67ca7aff6921e03c6f977347bf4,0.95,9.972497940063477,4.07650089263916,17.87075424194336,False,False,False
45,128,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.9,5.969648361206055,4.056262969970703,8.036429405212402,False,False,False
45,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.9,2641.267333984375,8369.927734375,7412407.0,False,False,False
