head_id,representation,dataset,holdout,seed,seed_group,config_id,validation_target,support_train_size,support_validation_size,support_val_detection,support_val_margin_median,ood_val_alarm_at_selection,id_calib_alarm_at_selection,ood_val_q99,selection_feasible_on_ood_val,config_param_count,score_direction_fixed,score_direction_or_objective_warning,selection_used_final_eval,selected,selection_rule,rejection_reason
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.875,0.05236556043941928,0.008,0.0098,0.041340001303199765,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.625,0.0010019860366684494,0.0,0.0074,0.009876140545020302,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.875,0.060772104276720265,0.0015,0.005,0.056832665735141764,True,1057,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.375,-0.0027201649071499183,0.002,0.0098,0.011581721013441243,True,817,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.0,-0.02036314709362759,0.01,0.0002,0.05280928169276955,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.375,-0.0033422997901859097,0.0005,0.0072,0.016349043917506616,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.0,-0.02996396869312087,0.005,0.0002,0.060257129613702116,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_7,42,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.25,-0.0074092044626250745,0.01,0.0086,0.008759230354303503,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_7,42,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.5,-0.006170590197768857,0.002,0.0098,0.03058273226252231,True,1057,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_7,42,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.25,-0.011416307701056824,0.0035,0.0074,0.011231774323492797,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
