candidate,split,seed,role,phase,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,attack_score_p95,attack_threshold,threshold_roles
C4_cap20000_seed44,seed_stability,44,sealed_final_ood,all,154900,0.09717882504841834,0.09509360877985797,0.0020852162685603614,14730,323,0.008878411234574387,0.01987935794195187,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,sealed_final_attack,all,110104,0.9985014168422582,0.003505776356898932,0.9949956404853593,386,109553,0.9817416268132397,0.9995049847297901,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,id_calib,select,51497,0.0008350000970930346,0.0008350000970930346,0.0,43,0,0.00031922888447246967,0.0009069109514040937,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,ood_val,select,12205,0.00958623514952888,0.00958623514952888,0.0,117,0,0.0010820635889974303,0.0028059359351559204,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,ood_stress,select,79950,0.003977485928705441,0.0038148843026891807,0.00016260162601626016,305,13,0.000611680740078383,0.0008057025885134596,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,support_val,select,69,1.0,0.028985507246376812,0.9710144927536232,2,67,0.974332233562146,0.9995242777467477,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,same_file_query,select,67749,1.0,0.0034244047882625575,0.9965755952117374,232,67517,0.9869371335974004,0.9995242777467477,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,future_query,select,228649,0.9990422000533569,0.010802583873098067,0.9882396161802588,2470,225960,0.8983840841861227,0.9995125287820884,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,sealed_final_ood,all,154900,0.04029696578437702,0.03848289218850871,0.0018140735958683022,5961,281,0.0060621956454711455,0.013845010997062939,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed45,seed_stability,45,sealed_final_attack,all,110104,0.9984015112984088,0.004686478238756085,0.9937150330596527,516,109412,0.9805013542885739,0.9994854134379251,0.014257910094306644,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,id_calib,select,51497,0.0009515117385478765,0.0009515117385478765,0.0,49,0,0.0003548117231346621,0.0012300850926135688,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,ood_val,select,12205,0.007865628840639082,0.007865628840639082,0.0,96,0,0.001169480632418345,0.0027904208331819298,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,ood_stress,select,79950,0.0042151344590368985,0.0040650406504065045,0.000150093808630394,325,12,0.0005901218196824417,0.0007065557719807312,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,support_val,select,69,1.0,0.014492753623188406,0.9855072463768116,1,68,0.977000428908506,0.9995452300941406,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,same_file_query,select,67749,1.0,0.0004280505985328197,0.9995719494014672,29,67720,0.9898619973861956,0.9995452300941406,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,future_query,select,228649,0.9993177315448569,0.006424694619263587,0.9928930369255934,1469,227024,0.900429032079443,0.9995361761207145,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,sealed_final_ood,all,154900,0.09373789541639768,0.09136216914138154,0.0023757262750161395,14152,368,0.009308109862964264,0.02256944526188883,0.013406811230265204,id_calib|ood_val|ood_stress
C4_cap20000_seed46,seed_stability,46,sealed_final_attack,all,110104,0.9985195814865945,0.0027701082612802443,0.9957494732253143,305,109636,0.9819256598909449,0.9995361761207145,0.013406811230265204,id_calib|ood_val|ood_stress
