evaluation_role,dataset,holdout,method,baseline_category,run_priority,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,feature_input,feature_dim,uses_attack_supports,support_count,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,holdout_bin_2,M4_top64_random32_fixed_guard_LR,component_ablation,required,main_42_46,5,0.9682703709198813,0.9467145072170666,0.9365335579977037,0.8989614243323443,0.8553412462908012,0.05145235024494167,0.7789317507418397,0.9235905044510386,0.0032800000000000004,0.008,1.0,-2.1259460717004464,selected_source_rich_top64,64,True,32,fixed_lr,0.41632086001336577,0.01362574000377208,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M5_Isolation_Forest_top64,unsupervised_anomaly,required,heldout_47_51,5,0.9436777299703264,0.5251720243209147,0.498418651119097,0.004747774480712166,0.005934718100890207,0.007903292193124078,0.0,0.018545994065281898,0.0109,0.0122,0.4,0.6326530780291759,selected_source_rich_top64_frozen_main_protocol,64,False,0,iforest_n100_auto,0.19377585999900476,0.1098625799990259,100.0,1.0
consistency,harder_holdout,holdout_bin_2,M5_Isolation_Forest_top64,unsupervised_anomaly,required,main_42_46,5,0.9464251632047478,0.5493130095303627,0.5014762238492164,0.029376854599406525,0.045548961424332346,0.04563249283027884,0.0,0.10014836795252226,0.01196,0.0131,0.2,0.635013801750058,selected_source_rich_top64_frozen_main_protocol,64,False,0,iforest_n100_auto,0.17775127997156231,0.10135102000785992,100.0,1.0
consistency,harder_holdout,holdout_bin_2,M6_OC_SVM_top64,unsupervised_anomaly,required,heldout_47_51,5,0.35723169139465877,0.13388302676585265,0.5144573013435128,0.04955489614243323,0.007863501483679525,0.011583157415004054,0.0,0.028189910979228485,0.006840000000000001,0.0114,0.8,-33.17165994491695,selected_source_rich_top64_frozen_main_protocol,64,False,0,sgd_ocsvm_nu001,0.029876659985166042,0.010512259986717254,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M6_OC_SVM_top64,unsupervised_anomaly,required,main_42_46,5,0.2310591839762611,0.10194909018595388,0.5084442986445581,0.02982195845697329,0.029970326409495547,0.06618940307013124,0.0,0.14836795252225518,0.00924,0.0157,0.6,-34.90948581910736,selected_source_rich_top64_frozen_main_protocol,64,False,0,sgd_ocsvm_nu001,0.027726120012812317,0.00845694001764059,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M7_HistGB_shallow_top64,nonlinear_tabular,required,heldout_47_51,5,0.9600066172106825,0.9120519154735209,0.9158823507016743,0.8566765578635014,0.8540059347181008,0.023355585253581477,0.8264094955489614,0.8835311572700296,0.007239999999999999,0.0097,1.0,0.0011717969002101299,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.20829047999577596,0.02002594000659883,50.0,1.0
consistency,harder_holdout,holdout_bin_2,M7_HistGB_shallow_top64,nonlinear_tabular,required,main_42_46,5,0.9502669955489613,0.8960095564105046,0.9124383042810491,0.85,0.85,0.024023470210552515,0.8108308605341247,0.8664688427299704,0.009260000000000001,0.0107,0.8,0.000976526769379779,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.1870378799852915,0.017255959974136204,50.0,1.0
consistency,harder_holdout,holdout_bin_2,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,heldout_47_51,5,0.9135089243323442,0.8873237348262997,0.9185221359020621,0.8483679525222552,0.8405044510385757,0.004293708049996412,0.836053412462908,0.8464391691394659,0.00392,0.0057,1.0,0.008269037837698159,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,2.3285061599919574,0.011587820004206151,1057.0,1.0
consistency,harder_holdout,holdout_bin_2,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,main_42_46,5,0.9241105341246291,0.891816935250352,0.9178518706291099,0.8451038575667656,0.8369436201780415,0.0037607690966280547,0.8345697329376854,0.8434718100890207,0.00346,0.0048,1.0,0.010807281263079567,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,1.8830712799914182,0.012080339982639998,1057.0,1.0
consistency,harder_holdout,holdout_bin_2,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,heldout_47_51,5,0.8959728041543027,0.4267544853031633,0.49845965733713077,0.004154302670623146,0.0034124629080118695,0.0004063223720364735,0.002967359050445104,0.00370919881305638,0.00786,0.009,1.0,1077.7768570678686,selected_source_rich_top64,64,True,32,center_lambda0;center_lambda1;center_lambda2,0.019549020007252692,0.010222819994669407,128.0,1.0
consistency,harder_holdout,holdout_bin_2,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,main_42_46,5,0.8963489910979228,0.4277454488067381,0.4985118470691738,0.0043026706231454005,0.003560830860534125,0.000331760827522224,0.002967359050445104,0.00370919881305638,0.0074800000000000005,0.009,1.0,1084.9563445678666,selected_source_rich_top64,64,True,32,center_lambda0;center_lambda1,0.020265900006052107,0.012466840003617108,128.0,1.0
consistency,primary_lowood,primary_lowood,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.9925373090909092,0.9695076293611751,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0036,1.0,-2.646479427395543,original100,100,True,32,fixed_lr,0.9276495600119233,0.017889820015989245,101.0,1.0
consistency,primary_lowood,primary_lowood,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.9925373090909092,0.9695076293611751,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0036,1.0,-2.646479427395543,original100,100,True,32,fixed_lr,0.8914663000265136,0.017807139991782607,101.0,1.0
consistency,primary_lowood,primary_lowood,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.9546770181818183,0.9482192541507887,0.9582932846048424,0.9207272727272727,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.0156,0.0156,0.0,-3.426404387097379,selected_source_rich_top32,32,True,32,fixed_lr,0.12999184000073,0.005910819990094751,33.0,1.0
consistency,primary_lowood,primary_lowood,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.9546770181818183,0.9482192541507887,0.9582932846048424,0.9207272727272727,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.0156,0.0156,0.0,-3.426404387097379,selected_source_rich_top32,32,True,32,fixed_lr,0.1310683999909088,0.006669160001911223,33.0,1.0
consistency,primary_lowood,primary_lowood,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,heldout_47_51,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,selected_source_rich_top64,64,True,32,fixed_lr,0.3640868600108661,0.011202020000200718,65.0,1.0
consistency,primary_lowood,primary_lowood,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,main_42_46,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,selected_source_rich_top64,64,True,32,fixed_lr,0.3314773599850014,0.011436699994374067,65.0,1.0
consistency,primary_lowood,primary_lowood,M3_top64_no_guard_LR,component_ablation,required,heldout_47_51,5,0.930527709090909,0.5730182759049401,0.4994536317953403,0.024,0.009454545454545455,0.0,0.009454545454545455,0.009454545454545455,0.0078,0.0078,1.0,13.478523128182468,selected_source_rich_top64,64,True,32,fixed_lr,0.12137838000198826,0.011936160002369434,65.0,1.0
consistency,primary_lowood,primary_lowood,M3_top64_no_guard_LR,component_ablation,required,main_42_46,5,0.930527709090909,0.5730182759049401,0.4994536317953403,0.024,0.009454545454545455,0.0,0.009454545454545455,0.009454545454545455,0.0078,0.0078,1.0,13.478523128182468,selected_source_rich_top64,64,True,32,fixed_lr,0.11492520000319928,0.010997780016623437,65.0,1.0
consistency,primary_lowood,primary_lowood,M4_top64_random32_fixed_guard_LR,component_ablation,required,heldout_47_51,5,0.9742570327272727,0.9627006964535052,0.9684860666971218,0.9434181818181818,0.9393454545454546,0.027432742697383106,0.904,0.9723636363636363,0.0045,0.0086,1.0,-3.563315266052456,selected_source_rich_top64,64,True,32,fixed_lr,0.32759892001049595,0.010902659979183226,65.0,1.0
consistency,primary_lowood,primary_lowood,M4_top64_random32_fixed_guard_LR,component_ablation,required,main_42_46,5,0.9789303127272728,0.9684138840564792,0.970611603471905,0.9503999999999999,0.944,0.013923047068419361,0.9221818181818182,0.9578181818181818,0.004059999999999999,0.0072,1.0,-3.754668478319939,selected_source_rich_top64,64,True,32,fixed_lr,0.3167075199773535,0.01010856000939384,65.0,1.0
consistency,primary_lowood,primary_lowood,M5_Isolation_Forest_top64,unsupervised_anomaly,required,heldout_47_51,5,0.9437041890909091,0.5464808941492757,0.5067285518501599,0.04872727272727272,0.10574545454545455,0.06650788805513012,0.005818181818181818,0.1869090909090909,0.01646,0.0174,0.0,0.5999329306684467,selected_source_rich_top64_frozen_main_protocol,64,False,0,iforest_n100_auto,0.159878859994933,0.0918565799947828,100.0,1.0
consistency,primary_lowood,primary_lowood,M5_Isolation_Forest_top64,unsupervised_anomaly,required,main_42_46,5,0.9434921454545455,0.5418735763216561,0.507239470077661,0.04436363636363636,0.08130909090909091,0.05447364970696101,0.02327272727272727,0.1469090909090909,0.0147,0.0181,0.0,0.5992769306839192,selected_source_rich_top64_frozen_main_protocol,64,False,0,iforest_n100_auto,0.1621563400141895,0.09337122001452372,100.0,1.0
consistency,primary_lowood,primary_lowood,M6_OC_SVM_top64,unsupervised_anomaly,required,heldout_47_51,5,0.46928136727272723,0.31136643476632714,0.5815703974417542,0.2136727272727273,0.06647272727272727,0.09278016316910608,0.0,0.208,0.00636,0.0112,0.8,-39.0942797401237,selected_source_rich_top64_frozen_main_protocol,64,False,0,sgd_ocsvm_nu001,0.02524720000801608,0.008651860000099987,65.0,1.0
consistency,primary_lowood,primary_lowood,M6_OC_SVM_top64,unsupervised_anomaly,required,main_42_46,5,0.2443062618181818,0.1953204331989745,0.5451870260392873,0.11476363636363636,0.0,0.0,0.0,0.0,0.00594,0.0098,1.0,-36.86707486981713,selected_source_rich_top64_frozen_main_protocol,64,False,0,sgd_ocsvm_nu001,0.024908979993779213,0.007168439996894449,65.0,1.0
consistency,primary_lowood,primary_lowood,M7_HistGB_shallow_top64,nonlinear_tabular,required,heldout_47_51,5,0.977911730909091,0.9510725772876191,0.9527529228634757,0.9112727272727273,0.9085090909090908,0.005203940020363164,0.901090909090909,0.9141818181818182,0.00526,0.0082,1.0,0.0005127120310866634,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.18666515999939293,0.02042054000776261,50.0,1.0
consistency,primary_lowood,primary_lowood,M7_HistGB_shallow_top64,nonlinear_tabular,required,main_42_46,5,0.9627295927272728,0.92577651191065,0.9371924765307573,0.8974545454545455,0.8654545454545455,0.09448249652057426,0.6967272727272728,0.9127272727272727,0.00448,0.0079,1.0,0.0004849165259005166,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.18638635999523104,0.02058653999119997,50.0,1.0
consistency,primary_lowood,primary_lowood,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,heldout_47_51,5,0.9923390254545454,0.9823839010528683,0.9658057560529922,0.9598545454545455,0.9509818181818183,0.00861442188790463,0.9367272727272727,0.9592727272727273,0.0055,0.0068,1.0,0.003871854645968437,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,1.1157550599775277,0.010651400010101498,1057.0,1.0
consistency,primary_lowood,primary_lowood,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,main_42_46,5,0.9880128872727273,0.9758212029672746,0.960024120603015,0.9521454545454546,0.9480727272727272,0.013843039841960817,0.9243636363636364,0.9585454545454546,0.007000000000000001,0.0084,1.0,0.0034982485453714874,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,1.0718309399904684,0.009850079996977002,1057.0,1.0
consistency,primary_lowood,primary_lowood,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,heldout_47_51,5,0.8305622690909089,0.3131656296452645,0.5009988122430334,0.012363636363636365,0.017454545454545455,0.008131156281817417,0.013818181818181818,0.032,0.01254,0.0135,0.0,631.7656574096645,selected_source_rich_top64,64,True,32,center_lambda1;center_lambda2,0.018740519997663796,0.011751939996611328,128.0,1.0
consistency,primary_lowood,primary_lowood,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,main_42_46,5,0.8305622690909089,0.3131656296452645,0.5009988122430334,0.012363636363636365,0.017454545454545455,0.008131156281817417,0.013818181818181818,0.032,0.01254,0.0135,0.0,631.7656574096645,selected_source_rich_top64,64,True,32,center_lambda1;center_lambda2,0.01771370000205934,0.010221279982943088,128.0,1.0
