evaluation_role,dataset,holdout,method,baseline_category,seed_group,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate
consistency,harder_holdout,chrono_late_train_early_eval,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9521712473634958,0.923409223584355,0.9176882661996497,0.0093,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.9516443865562488,0.9239346176298892,0.922650321074139,0.0117,0.8
consistency,harder_holdout,chrono_late_train_early_eval,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.49984657672483845,0.006654991243432574,0.0065382370110916525,0.0085,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.5000105606843324,0.0070052539404553416,0.006654991243432574,0.0085,1.0
consistency,harder_holdout,holdout_bin_2,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0011,1.0
consistency,harder_holdout,holdout_bin_2,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0011,1.0
consistency,harder_holdout,holdout_bin_2,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.8888209593963886,0.8338278931750743,0.8093471810089021,0.0068,1.0
consistency,harder_holdout,holdout_bin_2,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.8888209593963886,0.8338278931750743,0.8093471810089021,0.0068,1.0
consistency,harder_holdout,holdout_bin_2,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.5280333417830995,0.11498516320474779,0.11498516320474779,0.0101,0.0
consistency,harder_holdout,holdout_bin_2,M3_top64_no_guard_LR,component_ablation,main_42_46,0.5280333417830995,0.11498516320474779,0.11498516320474779,0.0101,0.0
consistency,harder_holdout,holdout_bin_2,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9591719726227577,0.9431750741839762,0.9232937685459941,0.0066,1.0
consistency,harder_holdout,holdout_bin_2,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.9365335579977037,0.8989614243323443,0.8553412462908012,0.008,1.0
consistency,harder_holdout,holdout_bin_2,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.498418651119097,0.004747774480712166,0.005934718100890207,0.0122,0.4
consistency,harder_holdout,holdout_bin_2,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.5014762238492164,0.029376854599406525,0.045548961424332346,0.0131,0.2
consistency,harder_holdout,holdout_bin_2,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5144573013435128,0.04955489614243323,0.007863501483679525,0.0114,0.8
consistency,harder_holdout,holdout_bin_2,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.5084442986445581,0.02982195845697329,0.029970326409495547,0.0157,0.6
consistency,harder_holdout,holdout_bin_2,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.9158823507016743,0.8566765578635014,0.8540059347181008,0.0097,1.0
consistency,harder_holdout,holdout_bin_2,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.9124383042810491,0.85,0.85,0.0107,0.8
consistency,harder_holdout,holdout_bin_2,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9185221359020621,0.8483679525222552,0.8405044510385757,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.9178518706291099,0.8451038575667656,0.8369436201780415,0.0048,1.0
consistency,harder_holdout,holdout_bin_2,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.49845965733713077,0.004154302670623146,0.0034124629080118695,0.009,1.0
consistency,harder_holdout,holdout_bin_2,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.4985118470691738,0.0043026706231454005,0.003560830860534125,0.009,1.0
consistency,primary_lowood,primary_lowood,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0036,1.0
consistency,primary_lowood,primary_lowood,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0036,1.0
consistency,primary_lowood,primary_lowood,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9582932846048424,0.9207272727272727,0.9243636363636364,0.0156,0.0
consistency,primary_lowood,primary_lowood,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9582932846048424,0.9207272727272727,0.9243636363636364,0.0156,0.0
consistency,primary_lowood,primary_lowood,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0037,1.0
consistency,primary_lowood,primary_lowood,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0037,1.0
consistency,primary_lowood,primary_lowood,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4994536317953403,0.024,0.009454545454545455,0.0078,1.0
consistency,primary_lowood,primary_lowood,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4994536317953403,0.024,0.009454545454545455,0.0078,1.0
consistency,primary_lowood,primary_lowood,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9684860666971218,0.9434181818181818,0.9393454545454546,0.0086,1.0
consistency,primary_lowood,primary_lowood,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.970611603471905,0.9503999999999999,0.944,0.0072,1.0
consistency,primary_lowood,primary_lowood,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.5067285518501599,0.04872727272727272,0.10574545454545455,0.0174,0.0
consistency,primary_lowood,primary_lowood,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.507239470077661,0.04436363636363636,0.08130909090909091,0.0181,0.0
consistency,primary_lowood,primary_lowood,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5815703974417542,0.2136727272727273,0.06647272727272727,0.0112,0.8
consistency,primary_lowood,primary_lowood,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.5451870260392873,0.11476363636363636,0.0,0.0098,1.0
consistency,primary_lowood,primary_lowood,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.9527529228634757,0.9112727272727273,0.9085090909090908,0.0082,1.0
consistency,primary_lowood,primary_lowood,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.9371924765307573,0.8974545454545455,0.8654545454545455,0.0079,1.0
consistency,primary_lowood,primary_lowood,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9658057560529922,0.9598545454545455,0.9509818181818183,0.0068,1.0
consistency,primary_lowood,primary_lowood,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.960024120603015,0.9521454545454546,0.9480727272727272,0.0084,1.0
consistency,primary_lowood,primary_lowood,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.5009988122430334,0.012363636363636365,0.017454545454545455,0.0135,0.0
consistency,primary_lowood,primary_lowood,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.5009988122430334,0.012363636363636365,0.017454545454545455,0.0135,0.0
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9742555422494457,0.9669327251995439,0.9680729760547321,0.0169,0.0
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9742555422494457,0.9669327251995439,0.9680729760547321,0.0169,0.0
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4974874371859296,0.0,0.0,0.0082,1.0
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4974874371859296,0.0,0.0,0.0082,1.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9782447012714657,0.9623717217787913,0.9573546180159636,0.0088,1.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.9834680815709105,0.9721778791334094,0.96442417331813,0.0072,1.0
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.4983847401202134,0.0036488027366020524,0.020068415051311288,0.0171,0.0
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.49967855239710524,0.01345496009122007,0.03238312428734321,0.0162,0.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5460013866367184,0.12953249714937287,0.09783352337514253,0.0083,1.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.5004360456787931,0.010034207525655644,0.005473204104903079,0.0116,0.8
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.9233441040832616,0.8946408209806158,0.8935005701254276,0.0081,1.0
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.9642276376179645,0.958950969213227,0.958950969213227,0.0076,1.0
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9714066340826137,0.9673888255416191,0.9657924743443557,0.0076,1.0
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.9735966033130303,0.9667046750285063,0.9655644241733181,0.0083,1.0
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.5040069217237843,0.042873432155074116,0.04720638540478905,0.0124,0.0
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.5086000126057884,0.05792474344355758,0.06408209806157354,0.0124,0.0
locked,locked_harder_holdout,holdout_bin_6,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9610841419886647,0.993006993006993,0.979020979020979,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_6,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9610841419886647,0.993006993006993,0.979020979020979,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_6,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9755520861048499,0.97002997002997,0.97002997002997,0.0184,0.0
locked,locked_harder_holdout,holdout_bin_6,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9755520861048499,0.97002997002997,0.97002997002997,0.0184,0.0
locked,locked_harder_holdout,holdout_bin_6,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_6,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1.0
locked,locked_harder_holdout,holdout_bin_6,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4974874371859296,0.0,0.0,0.0082,1.0
locked,locked_harder_holdout,holdout_bin_6,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4974874371859296,0.0,0.0,0.0082,1.0
locked,locked_harder_holdout,holdout_bin_6,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9862991280076707,0.9762237762237762,0.9710289710289711,0.0059,1.0
locked,locked_harder_holdout,holdout_bin_6,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.9801665671012405,0.9686313686313686,0.9640359640359641,0.007,1.0
locked,locked_harder_holdout,holdout_bin_6,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.49886395012023155,0.01818181818181818,0.06013986013986015,0.0169,0.0
locked,locked_harder_holdout,holdout_bin_6,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.5077927098027601,0.05134865134865135,0.09950049950049951,0.0172,0.0
locked,locked_harder_holdout,holdout_bin_6,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5602397602397602,0.1758241758241758,0.0957042957042957,0.0095,1.0
locked,locked_harder_holdout,holdout_bin_6,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.5014221958945577,0.01138861138861139,0.007392607392607392,0.0119,0.8
locked,locked_harder_holdout,holdout_bin_6,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.9233514031388015,0.8963036963036963,0.8953046953046954,0.0081,1.0
locked,locked_harder_holdout,holdout_bin_6,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.9632744140281829,0.9564435564435565,0.9562437562437562,0.0076,1.0
locked,locked_harder_holdout,holdout_bin_6,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9747137284825726,0.9688311688311689,0.9678321678321679,0.0101,0.8
locked,locked_harder_holdout,holdout_bin_6,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.9731514716439339,0.9668331668331668,0.9646353646353646,0.0104,0.8
locked,locked_harder_holdout,holdout_bin_6,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.5044724120101005,0.04375624375624376,0.05514485514485514,0.0125,0.0
locked,locked_harder_holdout,holdout_bin_6,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.507360980727815,0.05154845154845156,0.06233766233766234,0.0125,0.0
locked,locked_harder_holdout,holdout_bin_7,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9792124513892864,1.0,0.9973707274320771,0.002,1.0
locked,locked_harder_holdout,holdout_bin_7,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9792124513892864,1.0,0.9973707274320771,0.002,1.0
locked,locked_harder_holdout,holdout_bin_7,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.9888002677718127,0.9780893952673095,0.9780893952673095,0.0168,0.0
locked,locked_harder_holdout,holdout_bin_7,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.9888002677718127,0.9780893952673095,0.9780893952673095,0.0168,0.0
locked,locked_harder_holdout,holdout_bin_7,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0041,1.0
locked,locked_harder_holdout,holdout_bin_7,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0041,1.0
locked,locked_harder_holdout,holdout_bin_7,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4974874371859296,0.0,0.0,0.0079,1.0
locked,locked_harder_holdout,holdout_bin_7,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4974874371859296,0.0,0.0,0.0079,1.0
locked,locked_harder_holdout,holdout_bin_7,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9889350345064498,0.9815950920245399,0.9780893952673095,0.0103,0.8
locked,locked_harder_holdout,holdout_bin_7,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.9884259157311537,0.9817703768624014,0.9777388255915863,0.0048,1.0
locked,locked_harder_holdout,holdout_bin_7,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.5035792459228658,0.025241016652059595,0.06625766871165643,0.0178,0.0
locked,locked_harder_holdout,holdout_bin_7,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.5052440114683849,0.03260297984224365,0.05118317265556529,0.014,0.0
locked,locked_harder_holdout,holdout_bin_7,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5526915911723385,0.15267309377738825,0.006310254163014899,0.0156,0.6
locked,locked_harder_holdout,holdout_bin_7,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.49875230666919174,0.004907975460122699,0.0021034180543382996,0.0116,0.8
locked,locked_harder_holdout,holdout_bin_7,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.9874341030304897,0.9780893952673095,0.9780893952673095,0.0123,0.6
locked,locked_harder_holdout,holdout_bin_7,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.9838329423217441,0.9766871165644172,0.9714285714285715,0.0114,0.8
locked,locked_harder_holdout,holdout_bin_7,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9678418384648925,0.9721297107800175,0.9665205959684486,0.0072,1.0
locked,locked_harder_holdout,holdout_bin_7,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.960138113882295,0.9621384750219105,0.9517966695880806,0.0091,1.0
locked,locked_harder_holdout,holdout_bin_7,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.49934334247926754,0.015074496056091149,0.0035056967572304996,0.0063,1.0
locked,locked_harder_holdout,holdout_bin_7,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.49934334247926754,0.015074496056091149,0.0035056967572304996,0.0063,1.0
locked,locked_harder_holdout,holdout_bin_8,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0053,1.0
locked,locked_harder_holdout,holdout_bin_8,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0053,1.0
locked,locked_harder_holdout,holdout_bin_8,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.8931512020194872,0.7934272300469484,0.7934272300469484,0.0155,0.0
locked,locked_harder_holdout,holdout_bin_8,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.8931512020194872,0.7934272300469484,0.7934272300469484,0.0155,0.0
locked,locked_harder_holdout,holdout_bin_8,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0042,1.0
locked,locked_harder_holdout,holdout_bin_8,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0042,1.0
locked,locked_harder_holdout,holdout_bin_8,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4974874371859296,0.0,0.0,0.0083,1.0
locked,locked_harder_holdout,holdout_bin_8,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4974874371859296,0.0,0.0,0.0083,1.0
locked,locked_harder_holdout,holdout_bin_8,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9474178403755869,0.9051643192488262,0.892018779342723,0.0065,1.0
locked,locked_harder_holdout,holdout_bin_8,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.9413782527661784,0.8967136150234742,0.8868544600938968,0.0068,1.0
locked,locked_harder_holdout,holdout_bin_8,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.49759360181187623,0.0014084507042253522,0.005164319248826292,0.0179,0.0
locked,locked_harder_holdout,holdout_bin_8,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.4975605728171374,0.00046948356807511736,0.00046948356807511736,0.0154,0.0
locked,locked_harder_holdout,holdout_bin_8,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5388373793851888,0.12769953051643193,0.007042253521126761,0.0147,0.6
locked,locked_harder_holdout,holdout_bin_8,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.4992922358270224,0.007511737089201878,0.007042253521126761,0.0148,0.4
locked,locked_harder_holdout,holdout_bin_8,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.6893322922405888,0.4685446009389672,0.3624413145539906,0.0091,1.0
locked,locked_harder_holdout,holdout_bin_8,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.7722414891358199,0.748356807511737,0.6417840375586854,0.0089,1.0
locked,locked_harder_holdout,holdout_bin_8,M8_DevNet_like_MLP_top64,fewshot_anomaly,heldout_47_51,0.9409984193266803,0.9183098591549296,0.9051643192488263,0.0092,1.0
locked,locked_harder_holdout,holdout_bin_8,M8_DevNet_like_MLP_top64,fewshot_anomaly,main_42_46,0.9399013848585651,0.9169014084507042,0.9075117370892019,0.0092,1.0
locked,locked_harder_holdout,holdout_bin_8,M9_DeepSAD_like_center_top64,semisupervised_anomaly,heldout_47_51,0.5030976478637318,0.01643192488262911,0.017370892018779345,0.0134,0.0
locked,locked_harder_holdout,holdout_bin_8,M9_DeepSAD_like_center_top64,semisupervised_anomaly,main_42_46,0.5029466581734966,0.01643192488262911,0.016901408450704224,0.0134,0.0
