evaluation_role,dataset,holdout,split_protocol,head_id,head_family,head_label,protocol_variant,train_uses_ood_guard,threshold_uses_ood_val_guard,selected_config_id,seed,seed_group,feature_input,feature_dim,support_method,support_count,ood_target,threshold_source,threshold,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,feasible_under_1pct,attack_eval_size,final_ood_eval_size,train_time,inference_time,param_count,selection_used_final_eval,threshold_uses_final_eval,hyperparameter_uses_final_eval
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P0_raw_train_id_threshold,False,False,lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,-4.95345075905269,0.9680729760547321,0.5164,0.01,0.508,0.9267826681870012,0.41135281277860847,0.49748743718592964,0.0,False,877,10000,0.10616909997770563,0.013582199986558408,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P1_raw_train_oodval_threshold,False,True,lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,52.191294881078356,0.0,0.0082,0.0,0.01,0.9267826681870012,0.41135281277860847,0.49748743718592964,0.0,True,877,10000,0.11694139998871833,0.011084700003266335,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P2_guarded_train_id_threshold,True,False,lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,-4.105001834742048,0.9680729760547321,0.0045,0.01,0.0005,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,True,877,10000,0.37551929999608546,0.010456899995915592,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P3_full_lowguard,True,True,lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,-4.102580408336336,0.9680729760547321,0.0045,0.01,0.0005,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,True,877,10000,0.3595853000297211,0.014980799984186888,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P0_raw_train_id_threshold,False,False,mlp_h8_alpha001,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.005690368353389208,0.9680729760547321,0.4781,0.01,0.469,0.882367046750285,0.36135135322231093,0.4982552442944483,0.018244013683010263,False,877,10000,0.7524945000186563,0.00888669997220859,529,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P1_raw_train_oodval_threshold,False,True,mlp_h8_alpha001,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.9981118464469908,0.07411630558722919,0.0134,0.0,0.01,0.882367046750285,0.36135135322231093,0.4982552442944483,0.018244013683010263,False,877,10000,0.7971171999815851,0.00907329999608919,529,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P2_guarded_train_id_threshold,True,False,mlp_h16_alpha001,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.0034220928279683287,0.9669327251995439,0.0069,0.01,0.002,0.9865144811858609,0.9779407481022957,0.9774986677973676,0.9680729760547321,True,877,10000,1.3081112999934703,0.009081800002604723,1057,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P3_full_lowguard,True,True,mlp_h16_alpha001,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.0036309990682640114,0.9657924743443558,0.0064,0.0098,0.002,0.9865144811858609,0.9779407481022957,0.9774986677973676,0.9680729760547321,True,877,10000,1.2754714000038803,0.011201700021047145,1057,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P0_raw_train_id_threshold,False,False,histgb_depth2_iter50_lr005,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.0008980514001295264,0.9703534777651083,0.5795,0.0084,0.5685,0.9579780501710375,0.8693668078983201,0.8728534347908299,0.7548460661345496,False,877,10000,0.12322130001848564,0.01775400002952665,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P1_raw_train_oodval_threshold,False,True,histgb_depth2_iter50_lr005,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.12140935496071886,0.7548460661345496,0.0009,0.0,0.001,0.9579780501710375,0.8693668078983201,0.8728534347908299,0.7548460661345496,True,877,10000,0.1033191999886185,0.01823980000335723,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P2_guarded_train_id_threshold,True,False,histgb_depth2_iter50_lr005,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.0002143267650123109,0.9680729760547321,0.0334,0.0076,0.032,0.9965497149372862,0.9824851760155361,0.9834061986099253,0.9680729760547321,False,877,10000,0.16490390000399202,0.015192999970167875,50,False,False,False
