head_id,head_family,protocol_variant,config_id,pre_registered,uses_final_eval_for_selection,C,hidden,alpha,max_iter,max_depth,learning_rate,l2_regularization,lambda_attack,n_components,gamma
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,center_lambda2,True,False,,,,,,,,2.0,,
DeepSAD_like_center,deepsad_like_center,P1_raw_train_oodval_threshold,center_lambda0,True,False,,,,,,,,0.0,,
DeepSAD_like_center,deepsad_like_center,P1_raw_train_oodval_threshold,center_lambda1,True,False,,,,,,,,1.0,,
DeepSAD_like_center,deepsad_like_center,P1_raw_train_oodval_threshold,center_lambda2,True,False,,,,,,,,2.0,,
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,center_lambda0,True,False,,,,,,,,0.0,,
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,center_lambda1,True,False,,,,,,,,1.0,,
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,center_lambda2,True,False,,,,,,,,2.0,,
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,center_lambda0,True,False,,,,,,,,0.0,,
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,center_lambda1,True,False,,,,,,,,1.0,,
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,center_lambda2,True,False,,,,,,,,2.0,,
Prototype_metric_LR,prototype_metric_lr,P0_raw_train_id_threshold,prototype_metric_lr_C1,True,False,1.0,,,,,,,,,
Prototype_metric_LR,prototype_metric_lr,P1_raw_train_oodval_threshold,prototype_metric_lr_C1,True,False,1.0,,,,,,,,,
Prototype_metric_LR,prototype_metric_lr,P2_guarded_train_id_threshold,prototype_metric_lr_C1,True,False,1.0,,,,,,,,,
Prototype_metric_LR,prototype_metric_lr,P3_full_lowguard,prototype_metric_lr_C1,True,False,1.0,,,,,,,,,
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,rff128_gamma01_C1,True,False,1.0,,,,,,,,128.0,0.1
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,rff128_gamma1_C1,True,False,1.0,,,,,,,,128.0,1.0
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,rff256_gamma01_C1,True,False,1.0,,,,,,,,256.0,0.1
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,rff256_gamma1_C1,True,False,1.0,,,,,,,,256.0,1.0
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,rff128_gamma01_C1,True,False,1.0,,,,,,,,128.0,0.1
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,rff128_gamma1_C1,True,False,1.0,,,,,,,,128.0,1.0
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,rff256_gamma01_C1,True,False,1.0,,,,,,,,256.0,0.1
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,rff256_gamma1_C1,True,False,1.0,,,,,,,,256.0,1.0
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,rff128_gamma01_C1,True,False,1.0,,,,,,,,128.0,0.1
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,rff128_gamma1_C1,True,False,1.0,,,,,,,,128.0,1.0
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,rff256_gamma01_C1,True,False,1.0,,,,,,,,256.0,0.1
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,rff256_gamma1_C1,True,False,1.0,,,,,,,,256.0,1.0
RFF_Logistic,rff_logistic,P3_full_lowguard,rff128_gamma01_C1,True,False,1.0,,,,,,,,128.0,0.1
RFF_Logistic,rff_logistic,P3_full_lowguard,rff128_gamma1_C1,True,False,1.0,,,,,,,,128.0,1.0
RFF_Logistic,rff_logistic,P3_full_lowguard,rff256_gamma01_C1,True,False,1.0,,,,,,,,256.0,0.1
RFF_Logistic,rff_logistic,P3_full_lowguard,rff256_gamma1_C1,True,False,1.0,,,,,,,,256.0,1.0
