protocol,fold,bundle,candidate,causal,feature_dim,train_rows,train_sources,train_attack_families,test_rows,test_attack_rows,test_benign_rows,test_sources,test_attack_families,auroc,average_precision,attack_score_mean,benign_score_mean,score_margin,inner_oof_status,threshold_status,threshold,model_seed,outer_attack_recall,outer_benign_fpr,outer_worst_attack_family_recall
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,CompactProcess69_history_permuted,False,False,69,7724,6,8,947,33,914,2,2,1.0,1.0,0.9702798196305945,0.011026989499247774,0.9592528301313468,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.003943996029467374,597819632,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,C1_207_upper_bound,True,True,207,7724,6,8,947,33,914,2,2,1.0,1.0,0.9908865509389791,0.009026269158362568,0.9818602817806166,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009026232438551145,1520363568,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,TGN9_exact,True,True,9,7542,6,8,1129,215,914,2,8,0.9988295761029973,0.9938469678525526,0.9746644979956793,0.04199070308346709,0.9326737949122123,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009026740401265717,309277530,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,Current20,True,True,20,7542,6,8,1129,215,914,2,8,0.9432904177904433,0.9515930129966503,0.9187889881492083,0.02965797481254994,0.8891310133366583,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.00902765553228358,84953386,1.0,0.937636761487965,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,CompactProcess69,True,True,69,7542,6,8,1129,215,914,2,8,0.9766118772581549,0.956900948567128,0.8588284785929766,0.009689425222264491,0.8491390533707122,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009027416346675365,241902409,0.9627906976744186,0.06783369803063458,0.5555555555555556
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,CompactProcess69_history_permuted,False,False,69,7542,6,8,1129,215,914,2,8,0.9768993944328535,0.9591228751245311,0.8724816252569736,0.009718610521246621,0.8627630147357269,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.0017354274708794469,2016878317,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,C1_207_upper_bound,True,True,207,7542,6,8,1129,215,914,2,8,0.9604651162790698,0.935987805631656,0.9133044631413456,0.009027118594915425,0.9042773445464302,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009026645776913159,123935926,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,TGN9_exact,True,True,9,6640,6,10,2031,137,1894,2,6,1.0,1.0,0.9864252061776603,0.009272265322508175,0.9771529408551521,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009032691555793526,1981461327,1.0,0.21383315733896516,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,Current20,True,True,20,6640,6,10,2031,137,1894,2,6,1.0,1.0,0.970185574885227,0.009034156178186283,0.9611514187070408,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.003294902343876972,1738922867,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69,True,True,69,6640,6,10,2031,137,1894,2,6,0.9999730227610819,0.9994695119469359,0.9846333549500926,0.010252768072290183,0.9743805868778025,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,2041619920,1.0,0.03907074973600845,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69_history_permuted,False,False,69,6640,6,10,2031,137,1894,2,6,1.0,1.0,0.9877777854680121,0.009031410161489296,0.9787463753065228,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,1982629419,1.0,0.03907074973600845,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,C1_207_upper_bound,True,True,207,6640,6,10,2031,137,1894,2,6,0.9999383377396157,0.9992098583906597,0.6828585418493549,0.00953111495240521,0.6733274268969497,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030105852765823,1364484754,1.0,0.04382259767687434,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,TGN9_exact,True,True,9,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.7275245678181272,0.009342802090435252,0.718181765727692,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030860426322446,1742946984,1.0,0.06810982048574446,1.0
