candidate,variant,env_field,weight_mode,role,phase,label,rows,unique_envs,split,seed,held_field,held_value
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-street,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-street,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-street,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-museum,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-museum,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-museum,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-museum,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-museum,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-museum,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-museum,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-museum,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-museum,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-museum,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-museum,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-museum,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-museum
CKM_M0_c4_baseline_seed42_leave_iotsim-stream-consumer,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M0_c4_baseline_seed42_leave_iotsim-stream-consumer,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M0_c4_baseline_seed42_leave_iotsim-stream-consumer,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M0_c4_baseline_seed42_leave_iotsim-stream-consumer,M0_c4_baseline,,class_balanced,ood_stress,fit,2,0,0,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M3_device_family_dro_seed42_leave_iotsim-stream-consumer,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M3_device_family_dro_seed42_leave_iotsim-stream-consumer,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M3_device_family_dro_seed42_leave_iotsim-stream-consumer,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M3_device_family_dro_seed42_leave_iotsim-stream-consumer,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,0,0,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M4_source_family_dro_seed42_leave_iotsim-stream-consumer,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M4_source_family_dro_seed42_leave_iotsim-stream-consumer,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M4_source_family_dro_seed42_leave_iotsim-stream-consumer,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M4_source_family_dro_seed42_leave_iotsim-stream-consumer,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,0,0,leave_device_family,,device_family,iotsim-stream-consumer
CKM_M0_c4_baseline_seed42_leave_iotsim-hydraulic-system,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M0_c4_baseline_seed42_leave_iotsim-hydraulic-system,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M0_c4_baseline_seed42_leave_iotsim-hydraulic-system,M0_c4_baseline,,class_balanced,ood_val,fit,1,2604,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M0_c4_baseline_seed42_leave_iotsim-hydraulic-system,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M3_device_family_dro_seed42_leave_iotsim-hydraulic-system,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M3_device_family_dro_seed42_leave_iotsim-hydraulic-system,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M3_device_family_dro_seed42_leave_iotsim-hydraulic-system,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,2604,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M3_device_family_dro_seed42_leave_iotsim-hydraulic-system,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M4_source_family_dro_seed42_leave_iotsim-hydraulic-system,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M4_source_family_dro_seed42_leave_iotsim-hydraulic-system,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M4_source_family_dro_seed42_leave_iotsim-hydraulic-system,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,2604,1,leave_device_family,,device_family,iotsim-hydraulic-system
CKM_M4_source_family_dro_seed42_leave_iotsim-hydraulic-system,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-hydraulic-system
