phase,source_group,records_scored,memory_updates,context_fit_updates,cold_start_targets,cold_start_ratio,nonphase_raw_events_used,history_update_batches,history_batch_size,repeated_endpoint_occurrences,memory_resets,target_before_update,report_only_source,no_grad,candidate,seed,memory_only_events,all_past_raw_events_update_memory,model_weights_updated,labels_read_for_memory
fit,processed/iotsim-ip-camera-museum-1.csv,215,215,0.0,1,0.004651162790697674,0.0,215,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-stream-consumer-1.csv,4000,4000,0.0,1,0.00025,0.0,4000,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-city-power-1.csv,23,160,137.0,0,0.0,0.0,160,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-combined-cycle-10.csv,6,39,33.0,0,0.0,0.0,39,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-cooler-motor-6.csv,1306,1306,0.0,1,0.0007656967840735069,0.0,1306,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-cooler-motor-7.csv,1306,1306,0.0,1,0.0007656967840735069,0.0,1306,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-cooler-motor-8.csv,292,292,0.0,1,0.003424657534246575,0.0,292,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-cooler-motor-9.csv,96,96,0.0,1,0.010416666666666666,0.0,96,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-hydraulic-system-12.csv,601,601,0.0,1,0.0016638935108153079,0.0,601,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-hydraulic-system-13.csv,597,597,0.0,1,0.0016750418760469012,0.0,597,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-hydraulic-system-14.csv,598,598,0.0,1,0.0016722408026755853,0.0,598,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-hydraulic-system-15.csv,601,601,0.0,1,0.0016638935108153079,0.0,601,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-hydraulic-system-2.csv,603,603,0.0,1,0.001658374792703151,0.0,603,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-ip-camera-museum-1.csv,40,255,215.0,0,0.0,0.0,255,1,0,1,True,False,True,M1-Random,27,,,,
select,processed/iotsim-stream-consumer-2.csv,3000,3000,0.0,1,0.0003333333333333333,0.0,3000,1,0,1,True,False,True,M1-Random,27,,,,
