candidate,regime,feature_set,architecture,role,support_coverage,attack_label,rows,hard_alarm_rate,conflict_review_rate
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Ingress Tool Transfer,1986,0.07653575025176233,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin C&C Communication,5213,0.8202570496834836,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin ICMP Flooding,9886,0.49069391058061906,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin TCP Flooding,12596,0.9914258494760241,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin UDP Flooding,5248,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai C&C Communication,188,0.005319148936170213,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai GRE Flooding,12595,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai TCP Flooding,12595,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai UDP Flooding,12596,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,C&C Communication,91,0.054945054945054944,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,CoAP Amplification,6298,0.8469355350905049,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,Reporting,71,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,TCP Scan,18894,0.44971948766804276,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,Telnet Brute Force,18894,0.32311845030168307,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,UDP Scan,2226,0.017070979335130278,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,File Download,1231,0.9382615759545085,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Ingress Tool Transfer,3702,0.7501350621285792,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin ICMP Flooding,10011,0.9668364798721406,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin TCP Flooding,15000,0.9892666666666666,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin UDP Flooding,4996,0.999599679743795,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai GRE Flooding,15000,0.9998666666666667,0.0
