candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.9518653177363263,0.0,0.7901875453610104,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.6411322527601597,0.0,0.24570824386465642,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.12098669766240475,0.0,0.19358902963039848,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9767674198939185,0.0,0.8991053069999522,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,4.460701222232135e-05,0.0,0.009291543957783985,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,4.459308807134894e-05,0.0,0.009291530717467335,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.0,0.009438887908356033,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0006086427267194157,0.0,0.009827879097860304,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.002044153720359771,0.0,0.01517791285559086,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.0012340600575894694,0.0,0.011841328013264988,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0012340600575894694,0.0,0.010970554078205895,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.0012264922322158627,0.0,0.012962074145934081,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0,0.0,0.01122292348930922,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.008893058161350845,0.0,0.05164564556889352,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.0,0.9812241828358432,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,0.8333333333333334,0.0,0.8736299300309415,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,0.975,0.0,0.9735264945625799,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.042236524537409496,0.0,0.05778607902137487,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9532353707307356,0.0,0.9666283653822971,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9056490126059459,0.0,0.9036925949240688,0.0
