candidate,verifier_threshold,threshold_frontier,support_val_c1_recall,support_val_hard_recall,select_benign_hard_rate,eligible,support_val_rows_used,select_benign_rows_used,report_rows_used,held_value,c1_candidate_threshold,gate_constraint_pass,seed,selected,selected_despite_constraint_failure
M2-TabM-Global,0.9999110698699951,exact_support_val_attack_scores,1.0,0.9130434782608695,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999738931655884,exact_support_val_attack_scores,1.0,0.8985507246376812,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999836683273315,exact_support_val_attack_scores,1.0,0.8840579710144928,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999848008155823,exact_support_val_attack_scores,1.0,0.8695652173913043,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999849200248718,exact_support_val_attack_scores,1.0,0.855072463768116,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999860525131226,exact_support_val_attack_scores,1.0,0.8405797101449275,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999870657920837,exact_support_val_attack_scores,1.0,0.8260869565217391,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999872446060181,exact_support_val_attack_scores,1.0,0.8115942028985508,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999898672103882,exact_support_val_attack_scores,1.0,0.7971014492753623,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999918341636658,exact_support_val_attack_scores,1.0,0.782608695652174,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999948143959045,exact_support_val_attack_scores,1.0,0.7681159420289855,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999949336051941,exact_support_val_attack_scores,1.0,0.7536231884057971,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999954104423523,exact_support_val_attack_scores,1.0,0.7391304347826086,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999957084655762,exact_support_val_attack_scores,1.0,0.7246376811594203,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999958276748657,exact_support_val_attack_scores,1.0,0.7101449275362319,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999964237213135,exact_support_val_attack_scores,1.0,0.6956521739130435,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999966025352478,exact_support_val_attack_scores,1.0,0.6811594202898551,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9999968409538269,exact_support_val_attack_scores,1.0,0.6666666666666666,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
