epoch,weighted_cross_entropy,batches,rows_visited,all_unique_rows_covered,sampling_contract,finite_losses,support_val_used_for_early_stopping,candidate,held_value,seed
8,0.0007327931019056656,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
9,0.0007039562674426367,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
10,0.00037118307286096913,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
11,0.00025780830652564275,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
12,0.00021042214165073494,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
13,0.00013704177024869883,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
14,9.888124151884139e-05,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
15,0.00017111731008579478,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
16,0.0005829395610118663,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
17,0.001298627114906682,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
18,0.0003172206868288963,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
19,0.00034712448744595234,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
20,0.0004549680979445923,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
21,0.0006909582864317001,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
22,0.0025486225893021058,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
23,0.00229208121759632,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
24,0.0017950633919387702,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
25,0.0027036073550738503,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
26,0.0012165020630899989,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
27,0.0009414096460023832,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
28,0.0010526243841979027,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
29,0.001635567875708333,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
30,0.0015392779401792196,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
31,0.0037303427179889936,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
32,0.006655223583811067,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
33,0.0048444634362734005,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
34,0.0025594688917315285,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
35,0.0012984323295237203,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
36,0.0005291030443324441,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
37,0.0005167208208104825,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
38,0.002547347658101833,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
39,0.0008552762107911301,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
40,0.002754188035181947,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
41,0.0013760520558781589,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
42,0.0011945909436200707,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
43,0.0008887258657876632,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
44,0.00043764552985807827,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
45,0.0002280623017442088,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
46,0.0007388284826716044,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
47,0.0009092527389092374,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
48,0.00024068765061898234,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
1,,1,8600,True,coverage_first_attack_family_balanced,True,False,A1-ExtraTrees-CSR,iotsim-stream-consumer,27
1,,1,11204,True,coverage_first_attack_family_balanced,True,False,M1-ExtraTrees-Global,iotsim-hydraulic-system,27
1,0.3127584070914548,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
2,0.02942352663847054,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
3,0.007836016080798277,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
4,0.00476185112768065,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
5,0.002538897840311761,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
6,0.0023381262319920044,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
7,0.0019278637758964557,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
8,0.0023096348869159353,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
9,0.0019723141990849393,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
10,0.0014076073792211046,22,11204,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-hydraulic-system,27
