seed,role,selected_gate_name,selected_margin,rows,before_hard_alarm_rate,after_hard_alarm_rate,after_needs_review_rate,after_suppressed_rate,after_operational_attention_rate,score_mean,benign_covered_fraction,attack_covered_fraction,base_alarm_benign_covered_fraction,base_alarm_attack_covered_fraction
44,medium_attack_eval_report_only,attack_advantage_margin_dev_v1,-69.521484375,2250,0.9915555555555555,0.9915555555555555,0.0,0.0,0.9915555555555555,0.7848229397933705,0.9982222222222222,0.6506666666666666,0.9902222222222222,0.6435555555555555
44,dev_heavy_query_report_only,attack_advantage_margin_dev_v1,-69.521484375,4000,0.9995,0.9995,0.0,0.0,0.9995,0.9174124815245135,1.0,0.09025,0.9995,0.08975
45,id_calib_dev,attack_advantage_margin_dev_v1,-69.51171875,600,0.0,0.0,0.0,0.0,0.0,0.01600468590509971,1.0,0.8116666666666666,0.0,0.0
45,ood_val_dev,attack_advantage_margin_dev_v1,-69.51171875,1500,0.0,0.0,0.0,0.0,0.0,0.11136435505198312,0.95,0.45066666666666666,0.0,0.0
45,support_val_dev,attack_advantage_margin_dev_v1,-69.51171875,32,0.875,0.875,0.0,0.0,0.875,0.8097053983340278,1.0,0.9375,0.875,0.8125
45,final_ood_benign_eval_report_only,attack_advantage_margin_dev_v1,-69.51171875,3000,0.03266666666666666,0.03266666666666666,0.0,0.0,0.03266666666666666,0.11214003631785498,0.9973333333333333,0.6296666666666667,0.03233333333333333,0.0
45,medium_attack_eval_report_only,attack_advantage_margin_dev_v1,-69.51171875,2250,0.9008888888888889,0.9008888888888889,0.0,0.0,0.9008888888888889,0.7679882041764281,0.9982222222222222,0.8582222222222222,0.8995555555555556,0.8173333333333334
45,dev_heavy_query_report_only,attack_advantage_margin_dev_v1,-69.51171875,4000,0.99825,0.99825,0.0,0.0,0.99825,0.8547601858656848,1.0,0.1775,0.99825,0.177
46,id_calib_dev,attack_advantage_margin_dev_v1,-69.51171875,600,0.0,0.0,0.0,0.0,0.0,0.0167167961109151,1.0,0.9266666666666666,0.0,0.0
46,ood_val_dev,attack_advantage_margin_dev_v1,-69.51171875,1500,0.0,0.0,0.0,0.0,0.0,0.13572355272645162,0.95,0.6846666666666666,0.0,0.0
46,support_val_dev,attack_advantage_margin_dev_v1,-69.51171875,32,0.84375,0.84375,0.0,0.0,0.84375,0.8015620344207759,1.0,0.9375,0.84375,0.78125
46,final_ood_benign_eval_report_only,attack_advantage_margin_dev_v1,-69.51171875,3000,0.021666666666666667,0.021666666666666667,0.0,0.0,0.021666666666666667,0.1391654403790847,0.9973333333333333,0.635,0.021333333333333333,0.0
46,medium_attack_eval_report_only,attack_advantage_margin_dev_v1,-69.51171875,2250,0.7644444444444445,0.7644444444444445,0.0,0.0,0.7644444444444445,0.7418172393871005,0.9982222222222222,0.8111111111111111,0.7644444444444445,0.628
46,dev_heavy_query_report_only,attack_advantage_margin_dev_v1,-69.51171875,4000,0.991,0.991,0.0,0.0,0.991,0.8836961251701405,1.0,0.24125,0.991,0.2335
