seed,role,scorer,rows,raw_false_negative_rate,gate_false_negative_rate_among_all_rows,gate_false_negative_rate_among_raw_alarm,hard_alarm_rate,raw_alarm_rate,median_score_strength_hard,median_score_strength_missed,attack_outer_missed_p50,benign_outer_missed_p50
43,support_heavy_val,shared,8,0.0,0.0,0.0,1.0,1.0,0.8432400435570032,nan,nan,nan
43,pseudo_medium_query,two_head,66,0.030303030303030304,0.24242424242424243,0.25,0.7272727272727273,0.9696969696969697,0.7746220551327774,0.2684472979527589,0.12367381155490875,0.0009787341114133596
43,pseudo_medium_query,shared,66,0.06060606060606061,0.13636363636363635,0.14516129032258066,0.803030303030303,0.9393939393939394,0.8630847763772117,0.10627609995989731,0.12267521023750305,0.0008849328733049333
43,pseudo_heavy_query,two_head,35,0.0,0.0,0.0,1.0,1.0,0.9472107180775263,nan,nan,nan
43,pseudo_heavy_query,shared,35,0.05714285714285714,0.02857142857142857,0.030303030303030304,0.9142857142857143,0.9428571428571428,0.8368852835026357,-0.047022053218240684,0.1636107712984085,0.0017090353649109602
43,medium_attack_eval_report_only,two_head,2250,0.028444444444444446,0.1351111111111111,0.13906678865507777,0.8364444444444444,0.9715555555555555,0.6112775793724003,0.19068600125876944,0.10842433199286461,0.0006483834586106241
43,medium_attack_eval_report_only,shared,2250,0.04666666666666667,0.5471111111111111,0.5738927738927739,0.4062222222222222,0.9533333333333334,0.6331883371000131,0.09715325254976995,0.10765961185097694,0.0007792218821123242
44,support_medium_val,two_head,24,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.8333333333333334,0.9166666666666666,0.7542694832204526,0.011657142724134185,0.39483802020549774,0.0005192817188799381
44,support_medium_val,shared,24,0.041666666666666664,0.125,0.13043478260869565,0.8333333333333334,0.9583333333333334,0.6322471668433113,0.07240009985011689,0.39483802020549774,0.0005192817188799381
44,support_heavy_val,two_head,9,0.0,0.0,0.0,1.0,1.0,0.9395191281614712,nan,nan,nan
44,support_heavy_val,shared,9,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,1.0,0.7756754350275491,0.053181417304590334,0.4292953461408615,0.0027667353861033916
44,pseudo_medium_query,two_head,34,0.08823529411764706,0.11764705882352941,0.12903225806451613,0.7941176470588235,0.9117647058823529,0.7486756589400811,0.036294884153074386,0.3947662115097046,0.0005444997223094106
44,pseudo_medium_query,shared,34,0.058823529411764705,0.11764705882352941,0.125,0.8235294117647058,0.9411764705882353,0.7386944153032425,0.011669944401108738,0.39473405480384827,0.0005384850082919002
44,pseudo_heavy_query,two_head,31,0.0,0.03225806451612903,0.03225806451612903,0.967741935483871,1.0,0.9395191281614712,0.9395191281614712,1.0035961866378784,0.009250936098396778
44,pseudo_heavy_query,shared,31,0.03225806451612903,0.03225806451612903,0.03333333333333333,0.9354838709677419,0.967741935483871,0.4148834215013489,0.004616960107827528,0.7846622467041016,0.005244484171271324
44,medium_attack_eval_report_only,two_head,2250,0.008444444444444444,0.12711111111111112,0.12819363514119228,0.8644444444444445,0.9915555555555555,0.6701616787207683,0.28272415046283916,0.39237937331199646,0.0007115048938430846
44,medium_attack_eval_report_only,shared,2250,0.028,0.10266666666666667,0.1056241426611797,0.8693333333333333,0.972,0.4502941384420516,0.018036700868813788,0.3923824280500412,0.0007409186800941825
45,support_medium_val,two_head,25,0.0,0.08,0.08,0.92,1.0,0.8178004036412625,0.571786716716032,0.5653640106320381,0.0009065383346751332
45,support_medium_val,shared,25,0.0,0.04,0.04,0.96,1.0,0.8107422542024179,0.8008634105868846,1.0468101501464844,0.0012975665740668774
45,support_heavy_val,two_head,8,0.0,0.0,0.0,1.0,1.0,0.9430610497326193,nan,nan,nan
45,support_heavy_val,shared,8,0.0,0.0,0.0,1.0,1.0,0.8250679203287814,nan,nan,nan
45,pseudo_medium_query,two_head,28,0.35714285714285715,0.0,0.0,0.6428571428571429,0.6428571428571429,0.777181303580581,-0.007103259719683546,0.23229798674583435,0.0005726690287701786
