evidence_strategy,k,delta_threshold,primary_selects_v1_rate,holdout_bin2_selects_v2_rate,chrono_selects_v2_rate,overall_selection_correct_rate,final_detection_mean,final_ood_alarm_max,feasible_rate,mean_review_cost,label_efficiency,mean_confirmed_attack_count
R4_representation_shift_high_review,8,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,1.0,8.0
R4_representation_shift_high_review,8,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,1.0,8.0
R4_representation_shift_high_review,8,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,1.0,8.0
R5_hybrid_active_review,8,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.8333333333333334,6.666666666666667
R5_hybrid_active_review,8,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.8333333333333334,6.666666666666667
R5_hybrid_active_review,8,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.8333333333333334,6.666666666666667
R2_V2_high_V1_low_disagreement_review,16,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,14.666666666666666,0.3333333333333333,5.333333333333333
R2_V2_high_V1_low_disagreement_review,16,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,14.666666666666666,0.3333333333333333,5.333333333333333
R2_V2_high_V1_low_disagreement_review,16,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,14.666666666666666,0.3333333333333333,5.333333333333333
R1_kcenter_confirmed_attack_validation,16,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,1.0,16.0
R3_near_threshold_uncertainty_review,16,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.6875,11.0
R3_near_threshold_uncertainty_review,16,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.6875,11.0
R3_near_threshold_uncertainty_review,16,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.6875,11.0
R4_representation_shift_high_review,16,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,1.0,16.0
R4_representation_shift_high_review,16,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,1.0,16.0
R4_representation_shift_high_review,16,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,1.0,16.0
R5_hybrid_active_review,16,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.7916666666666666,12.666666666666666
R5_hybrid_active_review,16,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.7916666666666666,12.666666666666666
R5_hybrid_active_review,16,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,16.0,0.7916666666666666,12.666666666666666
R2_V2_high_V1_low_disagreement_review,32,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,21.333333333333332,0.3333333333333333,10.666666666666666
R2_V2_high_V1_low_disagreement_review,32,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,21.333333333333332,0.3333333333333333,10.666666666666666
R2_V2_high_V1_low_disagreement_review,32,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,21.333333333333332,0.3333333333333333,10.666666666666666
R1_kcenter_confirmed_attack_validation,32,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,1.0,32.0
R3_near_threshold_uncertainty_review,32,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.6458333333333334,20.666666666666668
R3_near_threshold_uncertainty_review,32,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.6458333333333334,20.666666666666668
R3_near_threshold_uncertainty_review,32,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.6458333333333334,20.666666666666668
R4_representation_shift_high_review,32,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,1.0,32.0
R4_representation_shift_high_review,32,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,1.0,32.0
R4_representation_shift_high_review,32,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,1.0,32.0
R5_hybrid_active_review,32,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.8645833333333334,27.666666666666668
R5_hybrid_active_review,32,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.8645833333333334,27.666666666666668
R5_hybrid_active_review,32,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,32.0,0.8645833333333334,27.666666666666668
