regime,feature_set,model,role,phase,role_kind,rows,threshold,hard_alarm_rate,score_mean,score_p50,score_p95
label_rich_upper,evidence,histgb_stronger,id_calib,select,id,51497,0.11299418272766062,0.003689535312736664,0.0021312380071858736,0.0002841976775070225,0.0021866169137052588
label_rich_upper,evidence,histgb_stronger,support_val,select,attack,69,0.11299418272766062,0.9855072463768116,0.9571242607074424,0.9997362480333373,0.9997640008532884
label_rich_upper,evidence,histgb_stronger,same_file_query,select,attack,67749,0.11299418272766062,0.9814757413393556,0.9623910334064442,0.9997640008532884,0.9997640008532884
label_rich_upper,evidence,histgb_stronger,future_query,select,attack,120000,0.11299418272766062,0.9844833333333334,0.9597867604279322,0.9987567291630023,0.9997640008532884
label_rich_upper,evidence,histgb_stronger,ood_val,select,ood,12205,0.11299418272766062,0.0063908234330192545,0.004394849349976732,0.0005296032324475147,0.00429638405078495
label_rich_upper,evidence,histgb_stronger,ood_stress,select,ood,79950,0.11299418272766062,0.006779237023139462,0.0036956593143112637,0.00020546923692099553,0.004256073005913148
label_rich_upper,evidence,histgb_stronger,sealed_final_attack,all,attack,110104,0.11299418272766062,0.9067881275884618,0.8650788281195962,0.9974631349331483,0.9997640008532884
label_rich_upper,evidence,histgb_stronger,sealed_final_ood,all,ood,120000,0.11299418272766062,0.012625,0.009877854245813467,0.00019612454775721203,0.022301976405008136
label_rich_upper,temporal,histgb_stronger,id_calib,select,id,51497,0.005380154396444494,0.00023302328290968405,0.00018344054064757913,0.00017249878112370122,0.00017249878112370122
label_rich_upper,temporal,histgb_stronger,support_val,select,attack,69,0.005380154396444494,1.0,0.9940154226952167,0.9984130379387184,0.9996981650725909
label_rich_upper,temporal,histgb_stronger,same_file_query,select,attack,67749,0.005380154396444494,1.0,0.9925194755468624,0.9997744104124188,0.999823082271504
label_rich_upper,temporal,histgb_stronger,future_query,select,attack,120000,0.005380154396444494,0.9997583333333333,0.9963926812428068,0.9998123690538784,0.9998232751184359
label_rich_upper,temporal,histgb_stronger,ood_val,select,ood,12205,0.005380154396444494,0.004834084391642769,0.0014098871670614355,0.00017249878112370122,0.00019965181422778626
label_rich_upper,temporal,histgb_stronger,ood_stress,select,ood,79950,0.005380154396444494,0.010006253908692933,0.001854951169296058,0.00015887279831511007,0.000468057298312681
label_rich_upper,temporal,histgb_stronger,sealed_final_attack,all,attack,110104,0.005380154396444494,1.0,0.9816898581394992,0.9997954500014233,0.9998223908462358
label_rich_upper,temporal,histgb_stronger,sealed_final_ood,all,ood,120000,0.005380154396444494,0.08354166666666667,0.04885946056605275,0.00015887279831511007,0.5026362254985359
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,select,id,51497,0.0009688643963781627,0.0010680233800027185,0.0001737318144056436,0.00016914271402706222,0.0001704261058757152
label_rich_upper,raw_plus_temporal,histgb_stronger,support_val,select,attack,69,0.0009688643963781627,1.0,0.9732192800167105,0.999834815376491,0.9998503221690695
label_rich_upper,raw_plus_temporal,histgb_stronger,same_file_query,select,attack,67749,0.0009688643963781627,1.0,0.9997028224967149,0.999834815376491,0.999834815376491
label_rich_upper,raw_plus_temporal,histgb_stronger,future_query,select,attack,120000,0.0009688643963781627,0.999925,0.9770901826015421,0.999834815376491,0.999834815376491
label_rich_upper,raw_plus_temporal,histgb_stronger,ood_val,select,ood,12205,0.0009688643963781627,0.010077836952068825,0.0007512831140912764,0.000171479947658674,0.00025116150989943026
label_rich_upper,raw_plus_temporal,histgb_stronger,ood_stress,select,ood,79950,0.0009688643963781627,0.0034771732332707942,0.0002630912708443092,0.00016914271402706222,0.00018586097008274543
label_rich_upper,raw_plus_temporal,histgb_stronger,sealed_final_attack,all,attack,110104,0.0009688643963781627,0.9997456949792923,0.9786105580017754,0.999834815376491,0.999834815376491
label_rich_upper,raw_plus_temporal,histgb_stronger,sealed_final_ood,all,ood,120000,0.0009688643963781627,0.06475,0.002905711878349779,0.00016914271402706222,0.0012669465095606135
label_rich_upper,raw_plus_temporal,mlp_small,id_calib,select,id,51497,0.06890443891286747,0.0003495349243645261,0.00012454376976570828,5.085988732389524e-07,2.7421382037573272e-05
label_rich_upper,raw_plus_temporal,mlp_small,support_val,select,attack,69,0.06890443891286747,1.0,0.986088385184606,0.9999985694885254,1.0
label_rich_upper,raw_plus_temporal,mlp_small,same_file_query,select,attack,67749,0.06890443891286747,0.9996752719597337,0.9973858276912729,1.0,1.0
label_rich_upper,raw_plus_temporal,mlp_small,future_query,select,attack,120000,0.06890443891286747,0.9897333333333334,0.9827163609692258,0.9999983310699463,1.0
label_rich_upper,raw_plus_temporal,mlp_small,ood_val,select,ood,12205,0.06890443891286747,0.010077836952068825,0.0039360797007718775,1.8385975408818922e-07,0.00027968727517873015
label_rich_upper,raw_plus_temporal,mlp_small,ood_stress,select,ood,79950,0.06890443891286747,0.0015509693558474046,0.0007747892728646705,2.9770185960842355e-07,7.563444341940367e-06
label_rich_upper,raw_plus_temporal,mlp_small,sealed_final_attack,all,attack,110104,0.06890443891286747,0.9997911065901329,0.9895083764333295,0.9999865293502808,1.0
label_rich_upper,raw_plus_temporal,mlp_small,sealed_final_ood,all,ood,120000,0.06890443891286747,0.002925,0.0015306968627849917,7.426417028000287e-07,9.980628819903313e-05
