regime,feature_set,model,role,phase,source_group,device,rows,hard_alarm_rate,score_mean
support_all_benign,raw_plus_evidence,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9471668889558147,0.9412165067439122
support_all_benign,raw_plus_evidence,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.21353632562909206,0.18439545057159124
support_all_benign,raw_plus_evidence,histgb_stronger,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.7545086645221541,0.7423572950834094
support_all_benign,raw_plus_evidence,histgb_stronger,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,1.0,0.9798785712888551
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.011038430089942763,0.006848157341738958
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.003290826820238585,0.0026393923332766016
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0020567667626491155,0.0018937386157824023
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.004905968928863451,0.003597893269039461
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0028559771521827824,0.0013509224759675636
support_all_benign,raw_plus_evidence,histgb_stronger,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.009893683552220138,0.005514025931572106
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.934543704134273,0.916067265328184
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.009396288466055908,0.006758904462059086
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.02606224977398941,0.012348751707963873
label_rich_upper,raw115,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0032563118922294583,0.00024312036666442944
label_rich_upper,raw115,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0036566332218506132,0.00024951491154169504
label_rich_upper,raw115,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0055877070445020955,0.0002550903642072236
label_rich_upper,raw115,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.002434570906877663,0.0001985804705187735
label_rich_upper,raw115,histgb_stronger,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9995014771694587
label_rich_upper,raw115,histgb_stronger,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.998875171710765
label_rich_upper,raw115,histgb_stronger,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.9776817728369679
label_rich_upper,raw115,histgb_stronger,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.9998328558628578
label_rich_upper,raw115,histgb_stronger,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,1.0,0.9991839366358137
label_rich_upper,raw115,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,1.0,0.9978326541031957
label_rich_upper,raw115,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,1.0,0.9992289124144026
label_rich_upper,raw115,histgb_stronger,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,1.0,0.9996215318289537
label_rich_upper,raw115,histgb_stronger,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,1.0,0.9033705522314743
label_rich_upper,raw115,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.011038430089942763,0.0002810601628687412
label_rich_upper,raw115,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.013986013986013986,0.00020542551077862138
