group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.5404545454545455,0.4576306544445945,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5304646464646465,0.4676205534344935,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5204747474747475,0.4776104524243925,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5104848484848485,0.4876003514142915,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5004949494949495,0.49759025040419047,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4905050505050505,0.5075801493940895,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.48051515151515156,0.5175700483839885,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.47052525252525257,0.5275599473738875,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4605353535353536,0.5375498463637864,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4505454545454546,0.5475397453536854,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4405555555555556,0.5575296443435844,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4305656565656566,0.5675195433334834,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4205757575757576,0.5775094423233824,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4105858585858586,0.5874993413132814,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.4005959595959596,0.5974892403031804,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.3906060606060606,0.6074791392930794,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.38061616161616163,0.6174690382829784,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.37062626262626264,0.6274589372728774,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.36063636363636364,0.6374488362627764,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.35064646464646465,0.6474387352526754,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.34065656565656566,0.6574286342425744,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.33066666666666666,0.6674185332324734,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.32067676767676767,0.6774084322223723,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.3106868686868687,0.6873983312122713,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.3006969696969697,0.6973882302021703,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.2907070707070707,0.7073781291920693,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.2807171717171717,0.7173680281819683,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.2707272727272727,0.7273579271718673,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.2607373737373737,0.7373478261617663,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.2507474747474747,0.7473377251516653,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.24075757575757573,0.7573276241415643,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.23076767676767673,0.7673175231314633,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.22077777777777774,0.7773074221213623,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.21078787878787875,0.7872973211112613,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.20079797979797975,0.7972872201011603,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.19080808080808076,0.8072771190910593,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.18081818181818188,0.8172670180809581,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.17082828282828288,0.8272569170708571,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.1608383838383839,0.8372468160607561,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.1508484848484849,0.8472367150506551,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.1408585858585859,0.8572266140405541,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.1308686868686869,0.8672165130304531,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.12087878787878792,0.8772064120203521,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.11088888888888893,0.8871963110102511,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.10089898989898993,0.8971862100001501,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.09090909090909094,0.9071761089900491,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.08091919191919195,0.9171660079799481,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.07092929292929295,0.9271559069698471,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.06093939393939396,0.9371458059597461,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.05094949494949497,0.947135704949645,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.040959595959595974,0.957125603939544,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.03096969696969698,0.967115502929443,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.020979797979797987,0.977105401919342,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.010989898989898994,0.987095300909241,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.001,0.99708519989914,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009899328859060404,0.997095267013234,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009798657718120805,0.9971053341273279,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009697986577181209,0.997115401241422,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009597315436241611,0.9971254683555159,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009496644295302014,0.9971355354696099,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009395973154362416,0.9971456025837038,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009295302013422818,0.9971556696977978,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009194630872483222,0.9971657368118917,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0009093959731543624,0.9971758039259857,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008993288590604027,0.9971858710400796,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008892617449664429,0.9971959381541736,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008791946308724832,0.9972060052682675,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008691275167785235,0.9972160723823615,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008590604026845638,0.9972261394964554,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000848993288590604,0.9972362066105495,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008389261744966443,0.9972462737246434,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008288590604026845,0.9972563408387374,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008187919463087249,0.9972664079528313,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0008087248322147651,0.9972764750669253,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007986577181208054,0.9972865421810192,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007885906040268456,0.9972966092951132,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007785234899328859,0.9973066764092071,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007684563758389262,0.9973167435233011,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007583892617449665,0.997326810637395,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007483221476510067,0.997336877751489,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
