base_detector,strategy,budget,seed,seed_group,attack_high_detection,attack_review_rate,attack_total_captured,OOD_high_alarm,OOD_review_rate,OOD_total_burden,high_alert_count_attack,high_alert_count_ood,review_count_attack,review_count_ood,feasible_high_alarm,feasible_total_burden,high_alert_attack_fraction,review_burden_ratio
dA,OR_policy,32,48,heldout_support_47_51,0.9861818181818182,0.0,0.9861818181818182,0.015,0.0,0.015,1356,150,0,0,False,True,0.900398406374502,0.0
dA,AND_policy,32,48,heldout_support_47_51,0.0014545454545454545,0.0,0.0014545454545454545,0.0001,0.0,0.0001,2,1,0,0,True,True,0.6666666666666666,0.0
dA,mode_gated_arbitration,32,48,heldout_support_47_51,0.9847272727272727,0.0014545454545454545,0.9861818181818182,0.0043,0.0107,0.015,1354,43,2,107,True,True,0.9692197566213314,0.0107
Transformer,base_only,32,48,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,48,heldout_support_47_51,0.9847272727272727,0.0,0.9847272727272727,0.0043,0.0,0.0043,1354,43,0,0,True,True,0.9692197566213314,0.0
Transformer,OR_policy,32,48,heldout_support_47_51,0.9861818181818182,0.0,0.9861818181818182,0.0151,0.0,0.0151,1356,151,0,0,False,True,0.8998009289980093,0.0
Transformer,AND_policy,32,48,heldout_support_47_51,0.0014545454545454545,0.0,0.0014545454545454545,0.0001,0.0,0.0001,2,1,0,0,True,True,0.6666666666666666,0.0
Transformer,mode_gated_arbitration,32,48,heldout_support_47_51,0.9847272727272727,0.0014545454545454545,0.9861818181818182,0.0043,0.0108,0.0151,1354,43,2,108,True,True,0.9692197566213314,0.0108
dA,base_only,32,49,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0045,0.0,0.0045,1370,45,0,0,True,True,0.9681978798586572,0.0
dA,OR_policy,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0153,0.0,0.0153,1370,153,0,0,False,True,0.8995403808273145,0.0
dA,AND_policy,32,49,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
dA,mode_gated_arbitration,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0045,0.0108,0.0153,1370,45,0,108,True,True,0.9681978798586572,0.0108
Transformer,base_only,32,49,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0045,0.0,0.0045,1370,45,0,0,True,True,0.9681978798586572,0.0
Transformer,OR_policy,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0154,0.0,0.0154,1370,154,0,0,False,True,0.8989501312335958,0.0
Transformer,AND_policy,32,49,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
Transformer,mode_gated_arbitration,32,49,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0045,0.0109,0.0154,1370,45,0,109,True,True,0.9681978798586572,0.0109
dA,base_only,32,50,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,50,heldout_support_47_51,1.0,0.0,1.0,0.0031,0.0,0.0031,1375,31,0,0,True,True,0.9779516358463727,0.0
dA,OR_policy,32,50,heldout_support_47_51,1.0,0.0,1.0,0.0139,0.0,0.0139,1375,139,0,0,False,True,0.9081902245706737,0.0
dA,AND_policy,32,50,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
dA,mode_gated_arbitration,32,50,heldout_support_47_51,1.0,0.0,1.0,0.0031,0.0108,0.0139,1375,31,0,108,True,True,0.9779516358463727,0.0108
Transformer,base_only,32,50,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,50,heldout_support_47_51,1.0,0.0,1.0,0.0031,0.0,0.0031,1375,31,0,0,True,True,0.9779516358463727,0.0
Transformer,OR_policy,32,50,heldout_support_47_51,1.0,0.0,1.0,0.014,0.0,0.014,1375,140,0,0,False,True,0.9075907590759076,0.0
Transformer,AND_policy,32,50,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
Transformer,mode_gated_arbitration,32,50,heldout_support_47_51,1.0,0.0,1.0,0.0031,0.0109,0.014,1375,31,0,109,True,True,0.9779516358463727,0.0109
dA,base_only,32,51,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,51,heldout_support_47_51,0.984,0.0,0.984,0.0083,0.0,0.0083,1353,83,0,0,True,True,0.942200557103064,0.0
dA,OR_policy,32,51,heldout_support_47_51,0.984,0.0,0.984,0.019,0.0,0.019,1353,190,0,0,False,True,0.8768632534024627,0.0
dA,AND_policy,32,51,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0001,0.0,0.0001,4,1,0,0,True,True,0.8,0.0
dA,mode_gated_arbitration,32,51,heldout_support_47_51,0.984,0.0,0.984,0.0083,0.0107,0.019,1353,83,0,107,True,True,0.942200557103064,0.0107
Transformer,base_only,32,51,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,51,heldout_support_47_51,0.984,0.0,0.984,0.0083,0.0,0.0083,1353,83,0,0,True,True,0.942200557103064,0.0
Transformer,OR_policy,32,51,heldout_support_47_51,0.984,0.0,0.984,0.0191,0.0,0.0191,1353,191,0,0,False,True,0.8762953367875648,0.0
Transformer,AND_policy,32,51,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0001,0.0,0.0001,4,1,0,0,True,True,0.8,0.0
Transformer,mode_gated_arbitration,32,51,heldout_support_47_51,0.984,0.0,0.984,0.0083,0.0108,0.0191,1353,83,0,108,True,True,0.942200557103064,0.0108
