variant,role,seeds,rows,hard_alarm_rate_mean,hard_alarm_rate_min,hard_alarm_rate_max,hard_alarm_rate_std,conflict_review_rate_mean,conflict_review_rate_min,conflict_review_rate_max,conflict_review_rate_std,raw_alarm_rate_mean,raw_alarm_rate_min,raw_alarm_rate_max,raw_alarm_rate_std
device_time_balanced,ood_stress,5,79950,0.00034771732332702,0.0003377110694183,0.0003627267041901,9.359993462874448e-06,0.007734834271419582,0.0059287054409005,0.0093683552220137,0.0013009236495016238,0.00808255159474668,0.0062664165103189,0.009718574108818,0.0013003655361597368
device_time_balanced,ood_val,5,12205,0.0,0.0,0.0,0.0,0.009356820975010201,0.0090126997132322,0.0100778369520688,0.0003786716922012869,0.009356820975010201,0.0090126997132322,0.0100778369520688,0.0003786716922012869
device_time_balanced,same_file_query,5,67749,0.9940574768631271,0.9874832100842816,0.9987306085698682,0.0046212307009865046,0.00592481069831286,0.0012398706991985,0.0125167899157183,0.004626507939127639,0.99998228756144,0.9999704792690668,1.0,1.4462145524070992e-05
device_time_balanced,sealed_final_attack,5,110104,0.9775848288890504,0.9760771634091404,0.979355881711836,0.0010493914851677423,0.020869359877933542,0.0191727820969265,0.0223606771779408,0.0010224839411755837,0.998454188766984,0.9983833466540724,0.9985286638087626,4.8876059169837396e-05
device_time_balanced,sealed_final_ood,5,154900,0.00346804389928982,0.0022982569399612,0.003989670755326,0.0006160097744615949,0.066271142672692,0.0447966429954809,0.11302130406714,0.023956707867067592,0.06973918657198189,0.0485797288573273,0.1153195610071013,0.023389289146327343
device_time_balanced,support_val,5,69,0.9768115942028986,0.9565217391304348,0.9855072463768116,0.011594202898550737,0.023188405797101443,0.0144927536231884,0.0434782608695652,0.011594202898550721,1.0,1.0,1.0,0.0
fit_tail_source_balanced,future_query,5,228649,0.9954602906638559,0.9910911484414976,0.9973365289154992,0.0022324336801573925,0.00259349483269112,0.0003411342275715,0.0074306032390257,0.002543285704783996,0.9980537854965471,0.9964312111577134,0.9987054393415234,0.0008401613661538426
fit_tail_source_balanced,id_calib,5,51497,0.0,0.0,0.0,0.0,0.00463327960852084,0.0,0.0100005825582072,0.0044869606481247855,0.00463327960852084,0.0,0.0100005825582072,0.0044869606481247855
fit_tail_source_balanced,ood_stress,5,79950,0.00134834271419632,0.0002376485303314,0.003264540337711,0.0013290201948763347,0.007164477798624081,0.0064040025015634,0.0095184490306441,0.001180790959262559,0.00851282051282048,0.0068667917448405,0.0098561601000625,0.001350603364893268
fit_tail_source_balanced,ood_val,5,12205,0.00022941417451861142,8.19336337566571e-05,0.0004096681687832,0.00012041735728550394,0.0015731257681277603,0.0006554690700532,0.0028676771814829,0.0008378089655822413,0.0018025399426464,0.0009832036050798,0.0030315444489963,0.0007455510473463387
