evaluation_role,holdout,adapter,seed,selected_config_id,model_type,train_time,inference_time,parameter_count,hard_negative_count
locked,holdout_bin_8,A0_lr_baseline,43,lr_fixed_guard,lr,0.4930356999975629,0.017583400011062622,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,43,lr_tail_q0.975_w8.0_a1.0,lr,1.010179800010519,0.02160460001323372,65,50
locked,holdout_bin_8,A2_linear_svm_margin,43,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.06488670001272112,0.019538299995474517,65,0
locked,holdout_bin_8,A0_lr_baseline,44,lr_fixed_guard,lr,0.5023117999953683,0.017172399995615706,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,1.0081576999800745,0.016321800008881837,65,50
locked,holdout_bin_8,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.04300260002491996,0.013552799995522946,65,0
locked,holdout_bin_8,A0_lr_baseline,45,lr_fixed_guard,lr,0.5778885000036098,0.01746199998888187,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,45,lr_tail_q0.975_w8.0_a1.0,lr,0.9643652999948245,0.017496899992693216,65,50
locked,holdout_bin_8,A2_linear_svm_margin,45,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.08999790000962093,0.014608799974666908,65,0
locked,holdout_bin_8,A0_lr_baseline,46,lr_fixed_guard,lr,0.4612918999919202,0.017925199994351715,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,46,lr_tail_q0.975_w8.0_a1.0,lr,1.0273545999953058,0.019307300011860207,65,50
locked,holdout_bin_8,A2_linear_svm_margin,46,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.10286519999499433,0.01841779999085702,65,0
locked,holdout_bin_8,A0_lr_baseline,47,lr_fixed_guard,lr,0.4814777999999933,0.024873599992133677,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,47,lr_tail_q0.975_w4.0_a1.0,lr,1.0121581999992486,0.015708999999333173,65,50
locked,holdout_bin_8,A2_linear_svm_margin,47,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07288429999607615,0.01485169999068603,65,0
locked,holdout_bin_8,A0_lr_baseline,48,lr_fixed_guard,lr,0.5001702000154182,0.02034970000386238,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,48,lr_tail_q0.975_w8.0_a1.0,lr,1.0496630000125151,0.017787199991289526,65,50
locked,holdout_bin_8,A2_linear_svm_margin,48,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.04028330001165159,0.013723599986406043,65,0
locked,holdout_bin_8,A0_lr_baseline,49,lr_fixed_guard,lr,0.4692505999992136,0.019615299999713898,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,49,lr_tail_q0.95_w4.0_a1.0,lr,1.0163463999924716,0.020350600010715425,65,100
locked,holdout_bin_8,A2_linear_svm_margin,49,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.08085979998577386,0.014037099987035617,65,0
locked,holdout_bin_8,A0_lr_baseline,50,lr_fixed_guard,lr,0.5205303000111599,0.01978059997782111,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,50,lr_tail_q0.975_w4.0_a1.0,lr,1.018274999980349,0.017895099997986108,65,50
locked,holdout_bin_8,A2_linear_svm_margin,50,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07017789999372326,0.012708900001598522,65,0
locked,holdout_bin_8,A0_lr_baseline,51,lr_fixed_guard,lr,0.48061759999836795,0.014096799975959584,65,0
locked,holdout_bin_8,A1_low_fpr_weighted_lr,51,lr_tail_q0.975_w8.0_a1.0,lr,0.8748823000059929,0.015229099983116612,65,50
locked,holdout_bin_8,A2_linear_svm_margin,51,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06010589998913929,0.015244499983964488,65,0
consistency,primary_lowood,A0_lr_baseline,42,lr_fixed_guard,lr,0.5302817999909166,0.02381840001908131,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,42,lr_tail_q0.95_w4.0_a1.0,lr,1.0657366999948863,0.022045199992135167,65,100
consistency,primary_lowood,A2_linear_svm_margin,42,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.06849350000265986,0.018104099988704547,65,0
consistency,primary_lowood,A0_lr_baseline,43,lr_fixed_guard,lr,0.5300121000036597,0.020472000003792346,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,43,lr_tail_q0.95_w4.0_a1.0,lr,1.016091299999971,0.024227900023106486,65,100
consistency,primary_lowood,A2_linear_svm_margin,43,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.056473400007234886,0.014631199999712408,65,0
consistency,primary_lowood,A0_lr_baseline,44,lr_fixed_guard,lr,0.49578609998570755,0.026853399991523474,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,1.0560604000056628,0.023638500017113984,65,50
consistency,primary_lowood,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.05171070000506006,0.017651000001933426,65,0
consistency,primary_lowood,A0_lr_baseline,45,lr_fixed_guard,lr,0.5877313000091817,0.023169000021880493,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,45,lr_tail_q0.975_w8.0_a1.0,lr,1.1175004999968223,0.018249999993713573,65,50
consistency,primary_lowood,A2_linear_svm_margin,45,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07843619998311624,0.01943429998937063,65,0
consistency,primary_lowood,A0_lr_baseline,46,lr_fixed_guard,lr,0.5490338000236079,0.020862900011707097,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,46,lr_tail_q0.95_w4.0_a1.0,lr,1.0568948999862187,0.030903699982445687,65,100
consistency,primary_lowood,A2_linear_svm_margin,46,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07547659997362643,0.015761999995447695,65,0
consistency,primary_lowood,A0_lr_baseline,47,lr_fixed_guard,lr,0.47408159999758936,0.019787099998211488,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,47,lr_tail_q0.975_w8.0_a1.0,lr,1.0574567000148818,0.021949600020889193,65,50
consistency,primary_lowood,A2_linear_svm_margin,47,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07872749998932704,0.014941600005840883,65,0
consistency,primary_lowood,A0_lr_baseline,48,lr_fixed_guard,lr,0.559787200007122,0.023845799994887784,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,48,lr_tail_q0.95_w4.0_a1.0,lr,0.8585025999927893,0.02015130000654608,65,100
consistency,primary_lowood,A2_linear_svm_margin,48,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.10061689998838119,0.0206385999917984,65,0
consistency,primary_lowood,A0_lr_baseline,49,lr_fixed_guard,lr,0.5121464999974705,0.028732200007652864,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,49,lr_tail_q0.975_w8.0_a1.0,lr,1.0324717999901623,0.024226200010161847,65,50
consistency,primary_lowood,A2_linear_svm_margin,49,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.05760670002200641,0.023960799997439608,65,0
consistency,primary_lowood,A0_lr_baseline,50,lr_fixed_guard,lr,0.4610464999859687,0.02028890000656247,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,50,lr_tail_q0.95_w4.0_a1.0,lr,0.9797241000051145,0.01970960001926869,65,100
