evaluation_role,dataset,holdout,adapter,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,hard_negative_count_mean,provenance_clean_rate
consistency,harder_holdout,holdout_bin_2,A2_linear_svm_margin,heldout_47_51,5,0.9419433234421366,0.8885012456545647,0.8691088976037458,0.7928783382789317,0.7267062314540059,0.06710185672810953,0.6194362017804155,0.7848664688427299,0.0029,0.0045,1.0,354.43054043536995,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha1e-05_a1.0,0.0701764799945522,0.015717880008742212,65.0,0.0,1.0
consistency,harder_holdout,holdout_bin_2,A2_linear_svm_margin,main_42_46,5,0.9400201928783382,0.8870478773666587,0.8718018877771648,0.7942136498516321,0.7068249258160237,0.05573532532983951,0.6602373887240356,0.798219584569733,0.0019200000000000003,0.0047,1.0,501.87575425068997,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha1e-05_a1.0,0.06967085999785923,0.01639028000063263,65.0,0.0,1.0
consistency,primary_lowood,primary_lowood,A0_lr_baseline,heldout_47_51,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,lr_fixed_guard,0.5056100999936461,0.023474980000173673,65.0,0.0,1.0
consistency,primary_lowood,primary_lowood,A0_lr_baseline,main_42_46,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,lr_fixed_guard,0.5385690200026148,0.023035140009596944,65.0,0.0,1.0
consistency,primary_lowood,primary_lowood,A1_low_fpr_weighted_lr,heldout_47_51,5,0.983488669090909,0.9723149436071203,0.9676264961169483,0.9527272727272728,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0038,0.0038,1.0,-4.420544447971952,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,0.9827931200037711,0.021924960013711824,65.0,70.0,1.0
consistency,primary_lowood,primary_lowood,A1_low_fpr_weighted_lr,main_42_46,5,0.9834487127272726,0.9722484399783454,0.9676096847875743,0.9527272727272728,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0038,0.0038,1.0,-4.420165048702007,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.0624567599967123,0.02381306000170298,65.0,80.0,1.0
consistency,primary_lowood,primary_lowood,A2_linear_svm_margin,heldout_47_51,5,0.9603877672727272,0.9167240569749564,0.8522101416171768,0.8733090909090908,0.7259636363636364,0.1770213789208561,0.4269090909090909,0.8909090909090909,0.00512,0.0164,0.8,-1745.1068587328107,sgd_hinge_alpha1e-05_a1.0,0.06778142000548541,0.02008195999660529,65.0,0.0,1.0
consistency,primary_lowood,primary_lowood,A2_linear_svm_margin,main_42_46,5,0.9614364872727273,0.910792210547729,0.844149474645957,0.8469818181818182,0.8029090909090909,0.1154784513546693,0.6247272727272727,0.9098181818181819,0.007819999999999999,0.0139,0.8,-1837.6845595396553,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.0661180799943395,0.01711651999503374,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A0_lr_baseline,heldout_47_51,5,0.9811110604332953,0.9727854578991535,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0045,0.0045,1.0,-4.102580408336336,lr_fixed_guard,0.5280977800081018,0.019599799998104572,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A0_lr_baseline,main_42_46,5,0.9811110604332953,0.9727854578991535,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0045,0.0045,1.0,-4.102580408336336,lr_fixed_guard,0.5175459400052205,0.019906720006838442,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A1_low_fpr_weighted_lr,heldout_47_51,5,0.9811136374002281,0.9728356247049561,0.9831070976318307,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.004079999999999999,0.0042,1.0,-4.114068844621859,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.0434806000033858,0.026010900002438574,65.0,70.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A1_low_fpr_weighted_lr,main_42_46,5,0.9810759407069556,0.972827290021989,0.9831082436125896,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0039,0.0039,1.0,-4.109648427469117,lr_tail_q0.975_w8.0_a1.0,1.0244319800054655,0.019852239999454468,65.0,50.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A2_linear_svm_margin,heldout_47_51,5,0.9819513911060433,0.9208513419865942,0.8569134154237551,0.8834663625997721,0.7464082098061573,0.21703829632993427,0.36830102622576966,0.9122006841505131,0.0052,0.0087,1.0,-1022.1239551216989,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.06779162000166253,0.015964319999329745,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,A2_linear_svm_margin,main_42_46,5,0.984271448118586,0.9349635762821558,0.8721257370088757,0.8925883694412772,0.8462941847206386,0.03803552810984797,0.8015963511972634,0.9007981755986317,0.006500000000000001,0.011,0.8,-1819.5614734323347,sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.08737641999614425,0.02077898000134155,65.0,0.0,1.0
